entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0025/ID00003/000004	stage	STG0025	ID00003	4	01_스테이지 xlsx 모음/STG0025(14화)-ID00003-script-통합.xlsx	bf5d46bd6683e45fa2329d84895a4b375cac610be7cc1e1b4baefe7df898d815	15f2fac6e288e8a62572ef6bd4cf37f8e1c8b748e91f714ad4dfb8e383a78649	~지구연방군 극동지부 장관실~		　　　　　　～지구연방군 극동지부　사령관실～	　　　　　　～走姥尻号浦　駅疑走採　紫敬淫叔～		46	[]	imported	
STG0025/ID00003/000005	stage	STG0025	ID00003	5	01_스테이지 xlsx 모음/STG0025(14화)-ID00003-script-통합.xlsx	bf5d46bd6683e45fa2329d84895a4b375cac610be7cc1e1b4baefe7df898d815	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레이디	傾戚巨		6	[]	imported	
STG0025/ID00003/000006	stage	STG0025	ID00003	6	01_스테이지 xlsx 모음/STG0025(14화)-ID00003-script-통합.xlsx	bf5d46bd6683e45fa2329d84895a4b375cac610be7cc1e1b4baefe7df898d815	28855644a7df18b577aaa844b7f061ad0b18d05fcedf1100a3c0f30a95374467	각 부대 모두 고생하셨습니다.		각 부대 모두 수고하셨습니다.이렇게 무사히	唖　採企　乞砧　呪壱馬写柔艦陥．戚係惟　巷紫備		46	[]	imported	
STG0025/ID00003/000007	stage	STG0025	ID00003	7	01_스테이지 xlsx 모음/STG0025(14화)-ID00003-script-통합.xlsx	bf5d46bd6683e45fa2329d84895a4b375cac610be7cc1e1b4baefe7df898d815	594274f43d22d0a410f9e477ff24a51e5e9df22a236a379cf54a844385e58235	이렇게 무사히 재집결하게 된것을 기쁘게 생각합니다		재집결하게 된 것을 기쁘게 생각합니다	仙増衣馬惟　吉　依聖　奄孜惟　持唖杯艦陥		40	[]	imported	
STG0025/ID00003/000008	stage	STG0025	ID00003	8	01_스테이지 xlsx 모음/STG0025(14화)-ID00003-script-통합.xlsx	bf5d46bd6683e45fa2329d84895a4b375cac610be7cc1e1b4baefe7df898d815	4e8329f64c8c5e2ea25f912c5631a78b48d940dc630bf3c144dd86a90a31579c	오쓰카		오오츠카	神神苧朝		8	[]	imported	
STG0025/ID00003/000009	stage	STG0025	ID00003	9	01_스테이지 xlsx 모음/STG0025(14화)-ID00003-script-통합.xlsx	bf5d46bd6683e45fa2329d84895a4b375cac610be7cc1e1b4baefe7df898d815	575d66b0ac9a059cf9fb6a002892870a0d8a6affbc122c28efe630cb57408de9	그렇지만, 상황은 좋지 않네요		하지만 상황이 좋지 않습니다	馬走幻　雌伐戚　疏走　省柔艦陥		30	[]	imported	
STG0025/ID00003/000010	stage	STG0025	ID00003	10	01_스테이지 xlsx 모음/STG0025(14화)-ID00003-script-통합.xlsx	bf5d46bd6683e45fa2329d84895a4b375cac610be7cc1e1b4baefe7df898d815	18d9390e8be82343cad1d737151abd62ea44c322f79eedce7d8e9d4b5d82f25f	시로타		시로타	獣稽展		6	[]	imported	
STG0025/ID00003/000011	stage	STG0025	ID00003	11	01_스테이지 xlsx 모음/STG0025(14화)-ID00003-script-통합.xlsx	bf5d46bd6683e45fa2329d84895a4b375cac610be7cc1e1b4baefe7df898d815	47d28785933cac5462946e0613350d35c8a9eed1241f1aaad66f772e016809e2	에휴...		네…각 방면 모두 상황이	革…唖　号檎　乞砧　雌伐戚		26	[]	imported	
STG0025/ID00003/000012	stage	STG0025	ID00003	12	01_스테이지 xlsx 모음/STG0025(14화)-ID00003-script-통합.xlsx	bf5d46bd6683e45fa2329d84895a4b375cac610be7cc1e1b4baefe7df898d815	f365c48b7c2fdd504db86ca491227196953ea35ec101c1771d97d5319287c480	각 방면 모두 상황이 악화되고 있다고 할 수 있습니다		악화되고 있다고 할 수 있습니다	焦鉢鞠壱　赤陥壱　拝　呪　赤柔艦陥		34	[]	imported	
STG0025/ID00003/000013	stage	STG0025	ID00003	13	01_스테이지 xlsx 모음/STG0025(14화)-ID00003-script-통합.xlsx	bf5d46bd6683e45fa2329d84895a4b375cac610be7cc1e1b4baefe7df898d815	b6d6a8298429bd37732a07b50eccf43d6e02170d40cd786dc557ea15caa41c39	오토		옷토	進塘		4	[]	imported	
