entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0007b/ID00003/000004	stage	STG0007b	ID00003	4	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	08667fadcc2ee1b28d0c57e1987beedf8b552ca7aac226381ab07bb61e6371c6	～제2신도쿄시 시가지～	　　　　　　　　～제2 신도쿄시 시가지～	　　　　　　　　～제2 신도쿄시 시가지～	　　　　　～薦２重亀底獣　獣亜走～		34	[]	imported	
STG0007b/ID00003/000005	stage	STG0007b	ID00003	5	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	코우지	코우지	코우지	坪酔走		6	[]	imported	
STG0007b/ID00003/000006	stage	STG0007b	ID00003	6	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………	………	………	………		6	[]	imported	
STG0007b/ID00003/000007	stage	STG0007b	ID00003	7	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	fa9340198eeaa266f350a59c09940fabea3390fb9800cf2afc7cba1324d1e800	알토	알토	알토	硝塘		4	[]	imported	
STG0007b/ID00003/000008	stage	STG0007b	ID00003	8	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………	………	………	………		6	[]	imported	
STG0007b/ID00003/000009	stage	STG0007b	ID00003	9	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	9af21164f24e02819540c28abb14cc670e3e78b3173aef9cd2b55bc0d74e09ad	사야카	사야카	사야카	紫醤朝		6	[]	imported	
STG0007b/ID00003/000010	stage	STG0007b	ID00003	10	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	51b154c1323e8be9e49d7e36c46f2b0da8194e56f929b90a7f6b21b7ec8df2bb	《영화『솔레스탈 비잉』》…	《영화『솔레스탈 빙』》…	《영화『솔레스탈 빙』》…	《慎鉢　『車傾什纏　搾跡』》…		30	[]	imported	
STG0007b/ID00003/000011	stage	STG0007b	ID00003	11	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	de0d4f06ac62a1b7a0bfaa692fd156f13f0a107e3eb775853dbe4e52351df319	미셸	미셸	미셸	耕斜		4	[]	imported	
STG0007b/ID00003/000012	stage	STG0007b	ID00003	12	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	037f1e2693a795b77bb16cf2678aac7f9852d0d2b6ada88936a7f0b0f0e33550	상상 이상의 파괴력이었구나…	상상 이상의 파괴력이었어…	상상 이상의 파괴력이었어…	雌雌　戚雌税　督雨径戚醸嬢…		28	[]	imported	
STG0007b/ID00003/000013	stage	STG0007b	ID00003	13	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	수즈네	스즈네	스즈네	什綜革		6	[]	imported	
STG0007b/ID00003/000014	stage	STG0007b	ID00003	14	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	f08c9fa26d5632ab54c8e82879d5dfb6549a0028b4eec2aba386b85e3ffccf24	무슨 일이야,모두.	왜 그래,다들.	왜 그래,다들.	訊　益掘，陥級？		16	[]	imported	
STG0007b/ID00003/000015	stage	STG0007b	ID00003	15	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	094edc2cec546223e337ce793a435977fd5e75a3b3d0a4b02fab567d5436131f	자신들이 모델이 된 영화,재미 없었다?	자신들이 모델이 된 영화,재미없었어?	자신들이 모델이 된 영화,재미없었어?	酔軒級戚　乞季戚　吉　慎鉢，仙耕蒸醸嬢？		40	[]	imported	
STG0007b/ID00003/000016	stage	STG0007b	ID00003	16	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	수즈네	스즈네	스즈네	什綜革		6	[]	imported	
STG0007b/ID00003/000017	stage	STG0007b	ID00003	17	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	05eaa881f18b33b0466aa0d67ae0104ba7959c9dcb6b960f4bb9f3db7dcd18cf	악의 손끝이 된 어로우즈와 싸움	악의 앞잡이가 된 애로우즈와 싸우는	악의 앞잡이가 된 애로우즈와 싸우는	焦税　蒋説戚亜　吉　嬢稽綜人　塾酔澗		36	[]	imported	
STG0007b/ID00003/000018	stage	STG0007b	ID00003	18	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	6287c93fb0febba57eac174809d251a5392b1f96d89c0c6978d86b18b60ecd34	솔레스탈 비잉과 ZEXIS의 활약…	천상천하와 ZEXIS의 활약….	천상천하와 ZEXIS의 활약….	車傾什纏　搾跡引　ＺＥＸＩＳ税　醗鉦…		38	[]	imported	
STG0007b/ID00003/000019	stage	STG0007b	ID00003	19	01_스테이지 xlsx 모음/STG0007b(5화B)-ID00003-script-통합.xlsx	71b8257c6fa5b9109519064af44a3ffe6d1a4ab9bf53a0beec3469f8e5117db2	07a5ff6cd655d9c876b6d5644e888509fcb1ad4a143c920cc0e9634f0430e0bb	가슴이 부드러운 액션 대작	가슴이 뻥 뚫리는 액션 대작이네.	가슴이 뻥 뚫리는 액션 대작이네.	亜戎戚　蚕　欣軒澗　衝芝　企拙戚革		34	[]	imported	
