entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0056/ID00003/000004	stage	STG0056	ID00003	4	01_스테이지 xlsx 모음/STG0056(38화A)-ID00003-script-통합.xlsx	4710c397a400cfcbdb10b279bc6c220b102284d13c14d970f79d51357becbd9a	b630994f5dfc6ab8a17b07d38073e4adf8bfd38db6ada8c6f97dc8b5cd577a66	~프론티어 선단 행정부내 집무실~		　　　　～프론티어 함대 행정부 내 집무실～	　　　　～覗経銅嬢　敗企　楳舛採　鎧　増巷叔～		46	[]	imported	
STG0056/ID00003/000005	stage	STG0056	ID00003	5	01_스테이지 xlsx 모음/STG0056(38화A)-ID00003-script-통합.xlsx	4710c397a400cfcbdb10b279bc6c220b102284d13c14d970f79d51357becbd9a	2767e6313cbed4eb0ad6f27fb2489dee6c231859bb0d88f38f1c97aaa81d69bc	미시마		미시마	耕獣原		6	[]	imported	
STG0056/ID00003/000006	stage	STG0056	ID00003	6	01_스테이지 xlsx 모음/STG0056(38화A)-ID00003-script-통합.xlsx	4710c397a400cfcbdb10b279bc6c220b102284d13c14d970f79d51357becbd9a	34eba0ee8d63b2ba5720f88a5b51ea88c24f9c2087a385652afa8f2d2efce0b0	...수고하셨습니다, 오즈마 소령.		…수고하셨습니다,오즈마 소좌	…呪壱馬写柔艦陥，神綜原　社疎		30	[]	imported	
STG0056/ID00003/000007	stage	STG0056	ID00003	7	01_스테이지 xlsx 모음/STG0056(38화A)-ID00003-script-통합.xlsx	4710c397a400cfcbdb10b279bc6c220b102284d13c14d970f79d51357becbd9a	2be0d0b9cfe811b8ea9db814ebb838b5b44d257e0f6879fb651c82ad1d06ce12	$c의 보급의 건, 잘 받았습니다		$c의 보급 건,알겠습니다	$ｃ税　左厭　闇，硝畏柔艦陥		28	"[""$c""]"	imported	
STG0056/ID00003/000008	stage	STG0056	ID00003	8	01_스테이지 xlsx 모음/STG0056(38화A)-ID00003-script-통합.xlsx	4710c397a400cfcbdb10b279bc6c220b102284d13c14d970f79d51357becbd9a	5c5285e5bf5832d410d3ca25c68cbeeb7c034db1910f907c84cd15278637700d	오즈마		오즈마	神綜原		6	[]	imported	
STG0056/ID00003/000009	stage	STG0056	ID00003	9	01_스테이지 xlsx 모음/STG0056(38화A)-ID00003-script-통합.xlsx	4710c397a400cfcbdb10b279bc6c220b102284d13c14d970f79d51357becbd9a	407ec5950aa075b59488075b0fd00d733069b19316ae1e04d3128b19154b5abe	신청했었다, 예의 것은?		신청했던,그 물건은?	重短梅揮，益　弘闇精？		22	[]	imported	
STG0056/ID00003/000010	stage	STG0056	ID00003	10	01_스테이지 xlsx 모음/STG0056(38화A)-ID00003-script-통합.xlsx	4710c397a400cfcbdb10b279bc6c220b102284d13c14d970f79d51357becbd9a	2767e6313cbed4eb0ad6f27fb2489dee6c231859bb0d88f38f1c97aaa81d69bc	미시마		미시마	耕獣原		6	[]	imported	
STG0056/ID00003/000011	stage	STG0056	ID00003	11	01_스테이지 xlsx 모음/STG0056(38화A)-ID00003-script-통합.xlsx	4710c397a400cfcbdb10b279bc6c220b102284d13c14d970f79d51357becbd9a	ff3363c6f679a9529551b541b0d3bca6f1a4da510a0e684db7a8e2f6e55b16dc	이것이 반응탄과 MDE탄에 관한		이것이 반응탄과 ＭＤＥ탄에 관한	戚依戚　鋼誓添引　ＭＤＥ添拭　淫廃		34	[]	imported	
STG0056/ID00003/000012	stage	STG0056	ID00003	12	01_스테이지 xlsx 모음/STG0056(38화A)-ID00003-script-통합.xlsx	4710c397a400cfcbdb10b279bc6c220b102284d13c14d970f79d51357becbd9a	de738ff69cce81589c7087e60a071953057e877158003e4b202112b05af0910b	하워드 대통령의 사용 허가 사인입니다		하워드 대통령의 사용 허가 사인입니다	馬趨球　企搭敬税　紫遂　買亜　紫昔脊艦陥		40	[]	imported	
STG0056/ID00003/000013	stage	STG0056	ID00003	13	01_스테이지 xlsx 모음/STG0056(38화A)-ID00003-script-통합.xlsx	4710c397a400cfcbdb10b279bc6c220b102284d13c14d970f79d51357becbd9a	5c5285e5bf5832d410d3ca25c68cbeeb7c034db1910f907c84cd15278637700d	오즈마		오즈마	神綜原		6	[]	imported	
STG0056/ID00003/000014	stage	STG0056	ID00003	14	01_스테이지 xlsx 모음/STG0056(38화A)-ID00003-script-통합.xlsx	4710c397a400cfcbdb10b279bc6c220b102284d13c14d970f79d51357becbd9a	01311173b2dc501f0c8a608b1f5b1b63a92b4aaf5b8e90a9bc43ec0ab7ec74b3	이것으로 S.M.S도 전력업이군		이걸로 Ｓ．Ｍ．Ｓ도 전력 업이군	戚杏稽　Ｓ．Ｍ．Ｓ亀　穿径　穣戚浦		34	[]	imported	
STG0056/ID00003/000015	stage	STG0056	ID00003	15	01_스테이지 xlsx 모음/STG0056(38화A)-ID00003-script-통합.xlsx	4710c397a400cfcbdb10b279bc6c220b102284d13c14d970f79d51357becbd9a	5426473d4c61e68c7fc6b46a9c9f2dbfcc17254a44fb4519f4b3fc0469e47118	캐시		캐시	蝶獣		4	[]	imported	
