entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0033a/ID00003/000004	stage	STG0033a	ID00003	4	01_스테이지 xlsx 모음/STG0033a(21화)-ID00003-script-통합.xlsx	dcbed2ade4844b48d45b1d45f2e22a5dd44fbe9cf9914c56d29cae1c84518eee	b1c14da0f0d5a6173b3dc41b62238db1298cca4c39a01b9e8449f8e9605a331a	~넬 아가마 브리핑룸~		　　　　　　　～넬・아가마 브리핑룸～	　　　　　　　～楽・焼亜原　崎軒芭結～		38	[]	imported	
STG0033a/ID00003/000005	stage	STG0033a	ID00003	5	01_스테이지 xlsx 모음/STG0033a(21화)-ID00003-script-통합.xlsx	dcbed2ade4844b48d45b1d45f2e22a5dd44fbe9cf9914c56d29cae1c84518eee	ffcb16ddb06f2d28280d96b46848a45a3f88edc84b30007dd57facc6aca65c4e	카렌		카렌	朝兄		4	[]	imported	
STG0033a/ID00003/000006	stage	STG0033a	ID00003	6	01_스테이지 xlsx 모음/STG0033a(21화)-ID00003-script-통합.xlsx	dcbed2ade4844b48d45b1d45f2e22a5dd44fbe9cf9914c56d29cae1c84518eee	44557e80efbd612aa8e9fb673ae4ea67ec81f3efed0c068a4504f8580d441625	뭐하고 있었어, 진호야!?		무슨 짓이야,지노!	巷充　憎戚醤，走葛！		20	[]	imported	
STG0033a/ID00003/000007	stage	STG0033a	ID00003	7	01_스테이지 xlsx 모음/STG0033a(21화)-ID00003-script-통합.xlsx	dcbed2ade4844b48d45b1d45f2e22a5dd44fbe9cf9914c56d29cae1c84518eee	a1d57d1ec88567614e6b6ee44e91de64004138bf6237349f8cb0eef753d356cb	너 나나리 SP대장이잖아!		너,나나리의 SP대장이잖아!	格，蟹蟹軒税　ＳＰ企舌戚摂焼！		30	[]	imported	
STG0033a/ID00003/000008	stage	STG0033a	ID00003	8	01_스테이지 xlsx 모음/STG0033a(21화)-ID00003-script-통합.xlsx	dcbed2ade4844b48d45b1d45f2e22a5dd44fbe9cf9914c56d29cae1c84518eee	3ea5810962939f1c47eee3276cf1eb7001863148126dbc1a2b9121674ab51882	지노		지노	走葛		4	[]	imported	
STG0033a/ID00003/000009	stage	STG0033a	ID00003	9	01_스테이지 xlsx 모음/STG0033a(21화)-ID00003-script-통합.xlsx	dcbed2ade4844b48d45b1d45f2e22a5dd44fbe9cf9914c56d29cae1c84518eee	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0033a/ID00003/000010	stage	STG0033a	ID00003	10	01_스테이지 xlsx 모음/STG0033a(21화)-ID00003-script-통합.xlsx	dcbed2ade4844b48d45b1d45f2e22a5dd44fbe9cf9914c56d29cae1c84518eee	ffcb16ddb06f2d28280d96b46848a45a3f88edc84b30007dd57facc6aca65c4e	카렌		카렌	朝兄		4	[]	imported	
STG0033a/ID00003/000011	stage	STG0033a	ID00003	11	01_스테이지 xlsx 모음/STG0033a(21화)-ID00003-script-통합.xlsx	dcbed2ade4844b48d45b1d45f2e22a5dd44fbe9cf9914c56d29cae1c84518eee	56c0609d73917f45bd563745f1acf1a48c3bc6eb7095b2b9eea7ed56854aea48	지노...?		지노…?	走葛…？		8	[]	imported	
STG0033a/ID00003/000012	stage	STG0033a	ID00003	12	01_스테이지 xlsx 모음/STG0033a(21화)-ID00003-script-통합.xlsx	dcbed2ade4844b48d45b1d45f2e22a5dd44fbe9cf9914c56d29cae1c84518eee	3ea5810962939f1c47eee3276cf1eb7001863148126dbc1a2b9121674ab51882	지노		지노	走葛		4	[]	imported	
STG0033a/ID00003/000013	stage	STG0033a	ID00003	13	01_스테이지 xlsx 모음/STG0033a(21화)-ID00003-script-통합.xlsx	dcbed2ade4844b48d45b1d45f2e22a5dd44fbe9cf9914c56d29cae1c84518eee	3698a95ce1ba4466ad71079ed298cc22e1e4e65a81eb80ff75eea2e7684478db	기사로서 변명하고 싶지 않다.		…기사로서 변명은 하고 싶지 않아…	…奄紫稽辞　痕誤精　馬壱　粛走　省焼…		38	[]	imported	
