entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0042/ID00003/000002	stage	STG0042	ID00003	2	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
STG0042/ID00003/000003	stage	STG0042	ID00003	3	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	4638b7289a44bc31e179be94857bb9d1b43fb6c3099c37494ed43eb080820d2b	그럼 대통령 각하.		…그럼,대통령 각하…	…益軍，企搭敬　唖馬…		22	[]	imported	
STG0042/ID00003/000004	stage	STG0042	ID00003	4	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	b3e016deeac056d31eeb2067940cc808bea093ac091920c84b7a0f3237403cfd	전시 국제법에 관한 합의도 끝났기 때문에,		전시 국제법에 관한 합의도 끝났으니,	穿獣　厩薦狛拭　淫廃　杯税亀　魁概生艦，		40	[]	imported	
STG0042/ID00003/000005	stage	STG0042	ID00003	5	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	191925ab41dcb61fa58ba857b8e713098ad66caed94c9664713e65817559600e	당신과 측근 분들을 석방하겠습니다		당신과 측근 분들을 해방합니다	雁重引　著悦　歳級聖　背号杯艦陥		32	[]	imported	
STG0042/ID00003/000006	stage	STG0042	ID00003	6	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	b22b5673a98e3af052872b9a62707d1ac9f8853b5b4d08819e1be3806c725ed7	대통령		대통령	企搭敬		6	[]	imported	
STG0042/ID00003/000007	stage	STG0042	ID00003	7	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	f10e1ef4bb90cdc7c1629d038e30d3ca4c81965f9f32b1346a0ed31df7c68da9	샤아 아즈나블… 지금이라면 아직 늦지 않았습니다.		샤아・아즈나블…지금이라면,아직 늦지 않았습니다	時焼・焼綜蟹鷺…走榎戚虞檎，焼送　簡走　省紹柔艦陥		50	[]	imported	
STG0042/ID00003/000008	stage	STG0042	ID00003	8	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	726b03e34b8d0f6d6c079e92c6ea8d5700396425049620b627cc91855ee7fa84	다시 생각할 생각은 없나요?		다시 생각할 생각은 없습니까?	陥獣　持唖拝　持唖精　蒸柔艦猿？		32	[]	imported	
STG0042/ID00003/000009	stage	STG0042	ID00003	9	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
STG0042/ID00003/000010	stage	STG0042	ID00003	10	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	8cac5cd4df7d5c6402fc71998a9bf582b7ab4f6b4c8d51b11e32e80034ec4307	여기서 뒤집을 것 같은 가벼운 마음이라면,		여기서 물러설 정도로 가벼운 마음이라면,	食奄辞　弘君竺　舛亀稽　亜梱錘　原製戚虞檎，		44	[]	imported	
STG0042/ID00003/000011	stage	STG0042	ID00003	11	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	fe1372967ecf95a8db91179df45aea27a5067e56ce8f22bb226fcd49c139d1d6	처음부터 아버지의 뒤를 잇지는 않았답니다		처음부터 아버지의 뒤를 잇지 않았습니다	坦製採斗　焼獄走税　及研　責走　省紹柔艦陥		42	[]	imported	
STG0042/ID00003/000012	stage	STG0042	ID00003	12	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	623b11bc121b41949a0520afa39f4a37e22acfce10708628f5e51621134fa8b3	시린		시린	獣鍵		4	[]	imported	
STG0042/ID00003/000013	stage	STG0042	ID00003	13	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	6574d07296fe559259d3c4ed3c3504e0b1b7f6565f035eaedf5cffe154b36db7	당신에게는 $c가 모였던		당신에게는,$c가 모은	雁重拭惟澗，$ｃ亜　乞精		24	"[""$c""]"	imported	
STG0042/ID00003/000014	stage	STG0042	ID00003	14	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	af6545af6db19e5650d81ffd7c97252441228495ae07e2d62361bfced351a20b	전쟁을 원하는 누군가의 데이터 전부를 건넸어요.		전쟁을 바라는 누군가의 데이터를 전부 넘겼습니다	穿戦聖　郊虞澗　刊浦亜税　汽戚斗研　穿採　角医柔艦陥		52	[]	imported	
STG0042/ID00003/000015	stage	STG0042	ID00003	15	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	60a8c88effd48d75b523b421f4af6bd04e67b15286693a3996abab72db479007	그래도요?		그래도 그러시겠습니까?	益掘亀　益君獣畏柔艦猿？		24	[]	imported	
STG0042/ID00003/000016	stage	STG0042	ID00003	16	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	0209cec4bc5be76a55832ed6095dfe08cc8771deb4b8a2a03d1660132e84e37a	클라우스		클라우스	適虞酔什		8	[]	imported	
STG0042/ID00003/000017	stage	STG0042	ID00003	17	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	8f6c7f29a89a20ac7c066c0986db481b96212c6ee855f2a1f69cc15de0bc2e4d	다른 차원이나 다른 별로부터의 침략자가 나타나는 가운데,		이차원이나 이성에서 침략자가 나타나는 가운데,	戚託据戚蟹　戚失拭辞　徴繰切亜　蟹展蟹澗　亜錘汽，		50	[]	imported	
STG0042/ID00003/000018	stage	STG0042	ID00003	18	01_스테이지 xlsx 모음/STG0042(24화B)-ID00003-script-통합.xlsx	4f5641b51cbb2450f61679c85eae1b54973aa19ba22aca9c59d74f668c85bfad	5a438b8b703a413634e9965f0e36ec446e76a1facf6022bf8833219e17bc1f4b	인류끼리 싸우고 있을 여유가 없는 것은		인류끼리 싸우고 있을 여유가 없다는 건	昔嫌晦軒　塾酔壱　赤聖　食政亜　蒸陥澗　闇		42	[]	imported	
