entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0051b/ID00003/000004	stage	STG0051b	ID00003	4	01_스테이지 xlsx 모음/STG0051b(33화)-ID00003-script-통합.xlsx	a48f6acc4fdd76bc46b12a09e0a0b4c39a3e2838c73964d52d0a057c51f73ec5	bd2856090faf700e8e3e934c79e34d47be59c036b25b44915a1621dac9dead65	~프톨레마이오스 2개 의무실~		　　　　　～프톨레마이오스2개 의무실～	　　　　　～覗島傾原戚神什２鯵　税巷叔～		40	[]	imported	
STG0051b/ID00003/000005	stage	STG0051b	ID00003	5	01_스테이지 xlsx 모음/STG0051b(33화)-ID00003-script-통합.xlsx	a48f6acc4fdd76bc46b12a09e0a0b4c39a3e2838c73964d52d0a057c51f73ec5	8df7fafcd76acbdce9752ff25b551ec16fc4e47287db50263aea62d2d91095dd	밀레나		밀레이나	腔傾戚蟹		8	[]	imported	
STG0051b/ID00003/000006	stage	STG0051b	ID00003	6	01_스테이지 xlsx 모음/STG0051b(33화)-ID00003-script-통합.xlsx	a48f6acc4fdd76bc46b12a09e0a0b4c39a3e2838c73964d52d0a057c51f73ec5	4c22cbe69aa8714de8f9219d33d061cf9563d782080a1471382e4241944860ae	…$l씨의 신체에 특별한 이상은 보이지 않습니다.		…$l님의 몸에는 특히 이상은 보이지 않습니다	…$ｌ還税　倖拭澗　働備　戚雌精　左戚走　省柔艦陥		50	"[""$l""]"	imported	
STG0051b/ID00003/000007	stage	STG0051b	ID00003	7	01_스테이지 xlsx 모음/STG0051b(33화)-ID00003-script-통합.xlsx	a48f6acc4fdd76bc46b12a09e0a0b4c39a3e2838c73964d52d0a057c51f73ec5	82ed578e4ba210eedeb6da36360d047d1d4bb3659b67b06ffd966d85bfc4b504	과로가 원인이라고 생각됩니다		과로가 원인이라고 생각됩니다	引稽亜　据昔戚虞壱　持唖桔艦陥		30	[]	imported	
STG0051b/ID00003/000008	stage	STG0051b	ID00003	8	01_스테이지 xlsx 모음/STG0051b(33화)-ID00003-script-통합.xlsx	a48f6acc4fdd76bc46b12a09e0a0b4c39a3e2838c73964d52d0a057c51f73ec5	fa9340198eeaa266f350a59c09940fabea3390fb9800cf2afc7cba1324d1e800	알토		알토	硝塘		4	[]	imported	
STG0051b/ID00003/000009	stage	STG0051b	ID00003	9	01_스테이지 xlsx 모음/STG0051b(33화)-ID00003-script-통합.xlsx	a48f6acc4fdd76bc46b12a09e0a0b4c39a3e2838c73964d52d0a057c51f73ec5	790de80a24cb5f3f0215bc4e01f2901701b2c27ded2be44b7d7d91f9e28dc571	무리도 아닌데...		무리도 아니지…	巷軒亀　焼艦走…		16	[]	imported	
STG0051b/ID00003/000010	stage	STG0051b	ID00003	10	01_스테이지 xlsx 모음/STG0051b(33화)-ID00003-script-통합.xlsx	a48f6acc4fdd76bc46b12a09e0a0b4c39a3e2838c73964d52d0a057c51f73ec5	d87c96fb2b7a2f069ef343272026264d6de0ec369978db040b58642957cc3351	계속 쫓던 남자가 눈앞에 나타났으니		계속 쫓던 남자가 눈앞에 나타났으니까	域紗　耐揮　害切亜　勧蒋拭　蟹展概生艦猿		40	[]	imported	
STG0051b/ID00003/000011	stage	STG0051b	ID00003	11	01_스테이지 xlsx 모음/STG0051b(33화)-ID00003-script-통합.xlsx	a48f6acc4fdd76bc46b12a09e0a0b4c39a3e2838c73964d52d0a057c51f73ec5	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	갑아		코우지	坪酔走		6	[]	imported	
STG0051b/ID00003/000012	stage	STG0051b	ID00003	12	01_스테이지 xlsx 모음/STG0051b(33화)-ID00003-script-통합.xlsx	a48f6acc4fdd76bc46b12a09e0a0b4c39a3e2838c73964d52d0a057c51f73ec5	1abb6451d7f96338d62b00b31a1b8ef4d150627f6513a4a4d6ede6df7ea18730	설마 그 녀석이 전쟁의 배후에서,		설마 그 녀석이 전쟁의 흑막이고,덤으로	竺原　益　橿汐戚　穿戦税　比厳戚壱，棋生稽		42	[]	imported	
STG0051b/ID00003/000013	stage	STG0051b	ID00003	13	01_스테이지 xlsx 모음/STG0051b(33화)-ID00003-script-통합.xlsx	a48f6acc4fdd76bc46b12a09e0a0b4c39a3e2838c73964d52d0a057c51f73ec5	15eb6915763f8a5c33d0982cc0ceb5d146337639f5e55992e9f6828992eba265	내친김에 이 세계의 시간을 정지시키려고 했다니...		이 세계의 시간을 정지시키려 하고 있었다니…	戚　室域税　獣娃聖　舛走獣徹形　馬壱　赤醸陥艦…		48	[]	imported	
STG0051b/ID00003/000014	stage	STG0051b	ID00003	14	01_스테이지 xlsx 모음/STG0051b(33화)-ID00003-script-통합.xlsx	a48f6acc4fdd76bc46b12a09e0a0b4c39a3e2838c73964d52d0a057c51f73ec5	6f42d8c360d18f29d6f3eb31b4566d00027dcf6d3990efd479a16ce8c1f811ed	소스케		소스케	社什追		6	[]	imported	
