entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0013/ID00003/000004	stage	STG0013	ID00003	4	01_스테이지 xlsx 모음/STG0013(10화A)-ID00003-script-통합.xlsx	f4f342dd91a32e88eecf762182bbe54c3b9c5d16587dbf50da706311cd59a143	bf572d61e18b082c6afd13a3ce9af2dbd4b91d51cde8d10a90a145c59dedfbd6	~루이스 할레비 병실~		　　　　　　　　～루이스・할레비 병실～	　　　　　　　　～欠戚什・拝傾搾　佐叔～		40	[]	imported	
STG0013/ID00003/000005	stage	STG0013	ID00003	5	01_스테이지 xlsx 모음/STG0013(10화A)-ID00003-script-통합.xlsx	f4f342dd91a32e88eecf762182bbe54c3b9c5d16587dbf50da706311cd59a143	80ec84910c92aaa83913a1540a0efe4612a67aa2da69475f0151d73554563b7c	루이스		루이스	欠戚什		6	[]	imported	
STG0013/ID00003/000006	stage	STG0013	ID00003	6	01_스테이지 xlsx 모음/STG0013(10화A)-ID00003-script-통합.xlsx	f4f342dd91a32e88eecf762182bbe54c3b9c5d16587dbf50da706311cd59a143	d0867f12403418a04fd9a1e34332214dc53ad3426f069c707625ca787f82cbb3	…그렇군.		…그런가	…益訓亜		8	[]	imported	
STG0013/ID00003/000007	stage	STG0013	ID00003	7	01_스테이지 xlsx 모음/STG0013(10화A)-ID00003-script-통합.xlsx	f4f342dd91a32e88eecf762182bbe54c3b9c5d16587dbf50da706311cd59a143	881a88acc97003a685909ac9aaf53a333051c4a706f6a2bfc5de4946fb1bba40	인더스트리얼7에 갈거야		인더스트리얼7에 가는구나	昔希什闘軒杖７拭　亜澗姥蟹		26	[]	imported	
STG0013/ID00003/000008	stage	STG0013	ID00003	8	01_스테이지 xlsx 모음/STG0013(10화A)-ID00003-script-통합.xlsx	f4f342dd91a32e88eecf762182bbe54c3b9c5d16587dbf50da706311cd59a143	8519acbef64d76c09015c515a4aa88411615337e077d686ab3ebbcacdf39d5bf	사지		사지	紫走		4	[]	imported	
STG0013/ID00003/000009	stage	STG0013	ID00003	9	01_스테이지 xlsx 모음/STG0013(10화A)-ID00003-script-통합.xlsx	f4f342dd91a32e88eecf762182bbe54c3b9c5d16587dbf50da706311cd59a143	3ee9773118246349a0e18ec8c509fc186964daf9219b9165bc753f25cd0465ef	응…….		응…애너하임 공전의	誓…蕉格馬績　因穿税		20	[]	imported	
STG0013/ID00003/000010	stage	STG0013	ID00003	10	01_스테이지 xlsx 모음/STG0013(10화A)-ID00003-script-통합.xlsx	f4f342dd91a32e88eecf762182bbe54c3b9c5d16587dbf50da706311cd59a143	a045cafe05ef1eb006a7d2787b81d261cd44a756219defe77cc3be3468788617	애너하임공전의 대기권외실습이, 슬슬 시작되니까		대기권 외 실습이 슬슬 시작되니까	企奄映　須　叔柔戚　十十　獣拙鞠艦猿		36	[]	imported	
STG0013/ID00003/000011	stage	STG0013	ID00003	11	01_스테이지 xlsx 모음/STG0013(10화A)-ID00003-script-통합.xlsx	f4f342dd91a32e88eecf762182bbe54c3b9c5d16587dbf50da706311cd59a143	80ec84910c92aaa83913a1540a0efe4612a67aa2da69475f0151d73554563b7c	루이스		루이스	欠戚什		6	[]	imported	
STG0013/ID00003/000012	stage	STG0013	ID00003	12	01_스테이지 xlsx 모음/STG0013(10화A)-ID00003-script-통합.xlsx	f4f342dd91a32e88eecf762182bbe54c3b9c5d16587dbf50da706311cd59a143	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0013/ID00003/000013	stage	STG0013	ID00003	13	01_스테이지 xlsx 모음/STG0013(10화A)-ID00003-script-통합.xlsx	f4f342dd91a32e88eecf762182bbe54c3b9c5d16587dbf50da706311cd59a143	8519acbef64d76c09015c515a4aa88411615337e077d686ab3ebbcacdf39d5bf	사지		사지	紫走		4	[]	imported	
