entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0099/ID00003/000002	stage	STG0099	ID00003	2	01_스테이지 xlsx 모음/STG0099(60화)-ID00003-script-통합.xlsx	49cc5be272fe1edabca9f9ce7aeb91ba5807466f16c99d89bf6bac393538f78b	6d13935fae69e32c736ac42982c1026a87538a9f866f4a13b9321fd0af88842d	시몬		시몬	獣佼		4	[]	imported	
STG0099/ID00003/000003	stage	STG0099	ID00003	3	01_스테이지 xlsx 모음/STG0099(60화)-ID00003-script-통합.xlsx	49cc5be272fe1edabca9f9ce7aeb91ba5807466f16c99d89bf6bac393538f78b	e1f955a84f7a79bd788f5910f630b5dcab85a20b0e17265ea9cd2a64676e310d	(깜깜하다...)		(정말 어둡다…)	（舛源　嬢脚陥…）		18	[]	imported	
STG0099/ID00003/000004	stage	STG0099	ID00003	4	01_스테이지 xlsx 모음/STG0099(60화)-ID00003-script-통합.xlsx	49cc5be272fe1edabca9f9ce7aeb91ba5807466f16c99d89bf6bac393538f78b	6d13935fae69e32c736ac42982c1026a87538a9f866f4a13b9321fd0af88842d	시몬		시몬	獣佼		4	[]	imported	
STG0099/ID00003/000005	stage	STG0099	ID00003	5	01_스테이지 xlsx 모음/STG0099(60화)-ID00003-script-통합.xlsx	49cc5be272fe1edabca9f9ce7aeb91ba5807466f16c99d89bf6bac393538f78b	536a5140a64562efe1ebbf5946f5389cfce66205e2e3c0be4d9e36ccfe4ea75e	(마치 흙 속에 있는 것 같다...)		(마치 땅속에 있는 것 같아…)	（原帖　競紗拭　赤澗　依　旭焼…）		34	[]	imported	
STG0099/ID00003/000006	stage	STG0099	ID00003	6	01_스테이지 xlsx 모음/STG0099(60화)-ID00003-script-통합.xlsx	49cc5be272fe1edabca9f9ce7aeb91ba5807466f16c99d89bf6bac393538f78b	6d13935fae69e32c736ac42982c1026a87538a9f866f4a13b9321fd0af88842d	시몬		시몬	獣佼		4	[]	imported	
STG0099/ID00003/000007	stage	STG0099	ID00003	7	01_스테이지 xlsx 모음/STG0099(60화)-ID00003-script-통합.xlsx	49cc5be272fe1edabca9f9ce7aeb91ba5807466f16c99d89bf6bac393538f78b	0439eb4e16011bec924361985b233cba6f344d55e9760c212c18a8f40d48e2f3	(우리... 안티스파이럴이라고...)		(우리들… 안티 스파이럴과…)	（酔軒級…　照銅　什督戚群引…）		32	[]	imported	
STG0099/ID00003/000008	stage	STG0099	ID00003	8	01_스테이지 xlsx 모음/STG0099(60화)-ID00003-script-통합.xlsx	49cc5be272fe1edabca9f9ce7aeb91ba5807466f16c99d89bf6bac393538f78b	be514e0b85c359d9e9ab880b4764f12c1c6fbd341bc692b9108d69db9185cf1d	카미나		카미나	朝耕蟹		6	[]	imported	
STG0099/ID00003/000009	stage	STG0099	ID00003	9	01_스테이지 xlsx 모음/STG0099(60화)-ID00003-script-통합.xlsx	49cc5be272fe1edabca9f9ce7aeb91ba5807466f16c99d89bf6bac393538f78b	e6e13a41cd62082686a652f2d1cd3f2d773f44fd52d8ad27c4a068700d0438d3	야, 일어나!		어이,일어나!	嬢戚，析嬢蟹！		14	[]	imported	
STG0099/ID00003/000010	stage	STG0099	ID00003	10	01_스테이지 xlsx 모음/STG0099(60화)-ID00003-script-통합.xlsx	49cc5be272fe1edabca9f9ce7aeb91ba5807466f16c99d89bf6bac393538f78b	d59609f216bca892c4561a3fefd6181f403971701a4804853014b57663daebae	시몬!		시몬!	獣佼！		6	[]	imported	
STG0099/ID00003/000011	stage	STG0099	ID00003	11	01_스테이지 xlsx 모음/STG0099(60화)-ID00003-script-통합.xlsx	49cc5be272fe1edabca9f9ce7aeb91ba5807466f16c99d89bf6bac393538f78b	6d13935fae69e32c736ac42982c1026a87538a9f866f4a13b9321fd0af88842d	시몬		시몬	獣佼		4	[]	imported	
