entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0031b/ID00003/000004	stage	STG0031b	ID00003	4	01_스테이지 xlsx 모음/STG0031b(19화)-ID00003-script-통합.xlsx	919a8a39b9aa7b736b0eedbf543ad14090c652894b70209e8659aac8f6babcd8	a8c752bfbd7caf88b98871464f39a069f4cc0523e3d399119c1f82949317836b	~NERV 발령소~		　　　　　　　　　～NERV 발령소～	　　　　　　　　　～ＮＥＲＶ　降敬社～		38	[]	imported	
STG0031b/ID00003/000005	stage	STG0031b	ID00003	5	01_스테이지 xlsx 모음/STG0031b(19화)-ID00003-script-통합.xlsx	919a8a39b9aa7b736b0eedbf543ad14090c652894b70209e8659aac8f6babcd8	740c4e515a75869e1f7987c35cea2594fb2bb7d2c06f840be89424b2c985f151	마코토		마코토	原坪塘		6	[]	imported	
STG0031b/ID00003/000006	stage	STG0031b	ID00003	6	01_스테이지 xlsx 모음/STG0031b(19화)-ID00003-script-통합.xlsx	919a8a39b9aa7b736b0eedbf543ad14090c652894b70209e8659aac8f6babcd8	03b79856466346ca9ee8f9951409dde4ccd19ee3b095a130d7c3f60a74d77016	현재 목표는 우리의 바로 위를 침공.		현재,목표는 우리의 바로 위에 침공…	薄仙，鯉妊澗　酔軒税　郊稽　是拭　徴因…		40	[]	imported	
STG0031b/ID00003/000007	stage	STG0031b	ID00003	7	01_스테이지 xlsx 모음/STG0031b(19화)-ID00003-script-통합.xlsx	919a8a39b9aa7b736b0eedbf543ad14090c652894b70209e8659aac8f6babcd8	460a2f71d136ffe545f57d6644df7efe282911a881af2c384cbd2ac641e0cb5c	지오프론트를향해천공중입니다		지오프론트를 향해 천공 중입니다	走神覗経闘研　狽背　探因　掻脊艦陥		34	[]	imported	
STG0031b/ID00003/000008	stage	STG0031b	ID00003	8	01_스테이지 xlsx 모음/STG0031b(19화)-ID00003-script-통합.xlsx	919a8a39b9aa7b736b0eedbf543ad14090c652894b70209e8659aac8f6babcd8	fe5902d3b9d21745a9b34955dbc18ba062c7e41ca05ece675f059ffcc7a4c535	시겔		시게루	獣惟欠		6	[]	imported	
STG0031b/ID00003/000009	stage	STG0031b	ID00003	9	01_스테이지 xlsx 모음/STG0031b(19화)-ID00003-script-통합.xlsx	919a8a39b9aa7b736b0eedbf543ad14090c652894b70209e8659aac8f6babcd8	b823b5188e5469ee4a7651b6961401bfcb250aaca51095c342e01cf6b22cae91	$c가 주변에 부대를 전개하고 있는데,		$c가 주변에 부대를 전개하고 있습니다만,	$ｃ亜　爽痕拭　採企研　穿鯵馬壱　赤柔艦陥幻，		46	"[""$c""]"	imported	
STG0031b/ID00003/000010	stage	STG0031b	ID00003	10	01_스테이지 xlsx 모음/STG0031b(19화)-ID00003-script-통합.xlsx	919a8a39b9aa7b736b0eedbf543ad14090c652894b70209e8659aac8f6babcd8	8a109732b473d52b2a8cd833eba6ca2dbd0eebad7994f8a3c1ed25fe1100ab05	저 장거리 사격을 경계해서 손을 쓸 수 없는 상황입니다		장거리 사격 때문에 손을 쓰지 못하고 있습니다	舌暗軒　紫維　凶庚拭　謝聖　床走　公馬壱　赤柔艦陥		50	[]	imported	
STG0031b/ID00003/000011	stage	STG0031b	ID00003	11	01_스테이지 xlsx 모음/STG0031b(19화)-ID00003-script-통합.xlsx	919a8a39b9aa7b736b0eedbf543ad14090c652894b70209e8659aac8f6babcd8	20fdc17ce138c21be750038d9de943a8f0d7a31a7aead8d655d91d573fe32640	리츠코		리츠코	軒苧坪		6	[]	imported	
STG0031b/ID00003/000012	stage	STG0031b	ID00003	12	01_스테이지 xlsx 모음/STG0031b(19화)-ID00003-script-통합.xlsx	919a8a39b9aa7b736b0eedbf543ad14090c652894b70209e8659aac8f6babcd8	29ab499e29f4c3057843afdd5123568b3390f11be4d69b19774ceb371a6b5530	어쩔 수 없지.		어쩔 수 없네요	嬢多　呪　蒸革推		16	[]	imported	
STG0031b/ID00003/000013	stage	STG0031b	ID00003	13	01_스테이지 xlsx 모음/STG0031b(19화)-ID00003-script-통합.xlsx	919a8a39b9aa7b736b0eedbf543ad14090c652894b70209e8659aac8f6babcd8	b9ab687290c7c56ca9de7ce271081d3d3da34ee2add172235b7065f51bef1bf9	견제하고 조금이라도 사도의 행동을 제한해 주는 것만으로		견제해서,조금이라도 사도의 행동을 제한해 주는	胃薦背辞，繕榎戚虞亀　紫亀税　楳疑聖　薦廃背　爽澗		50	[]	imported	
