entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0091/ID00003/000002	stage	STG0091	ID00003	2	01_스테이지 xlsx 모음/STG0091(52화B)-ID00003-script-통합.xlsx	34afa9be8ed73bb0555d9672f83e15607d66e58706ddf6f033cc9ea248b98541	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
STG0091/ID00003/000003	stage	STG0091	ID00003	3	01_스테이지 xlsx 모음/STG0091(52화B)-ID00003-script-통합.xlsx	34afa9be8ed73bb0555d9672f83e15607d66e58706ddf6f033cc9ea248b98541	53e9f8a9433a07e52aef22210e174c0d2eeed7999e41a747fd94b762d3d25e00	카구라!		카구라！	朝姥虞！		8	[]	imported	
STG0091/ID00003/000004	stage	STG0091	ID00003	4	01_스테이지 xlsx 모음/STG0091(52화B)-ID00003-script-통합.xlsx	34afa9be8ed73bb0555d9672f83e15607d66e58706ddf6f033cc9ea248b98541	eef42e86dad533ab1f2bc87e20f162b7ebb7e9780fab90d7a8804772782e1ecc	카구라		카구라	朝姥虞		6	[]	imported	
STG0091/ID00003/000005	stage	STG0091	ID00003	5	01_스테이지 xlsx 모음/STG0091(52화B)-ID00003-script-통합.xlsx	34afa9be8ed73bb0555d9672f83e15607d66e58706ddf6f033cc9ea248b98541	27f8d595b94848f40275697a0a455db0c158336f8e4555d1cb517a7a7e117c86	얘는 좋아!		이 녀석은 좋군！	戚　橿汐精　疏浦！		18	[]	imported	
STG0091/ID00003/000006	stage	STG0091	ID00003	6	01_스테이지 xlsx 모음/STG0091(52화B)-ID00003-script-통합.xlsx	34afa9be8ed73bb0555d9672f83e15607d66e58706ddf6f033cc9ea248b98541	f6cb2379973b2ed6128847fb169718923c3c14c167642720c7c5653c71286a29	무슨 말인지 모르겠지만 이렇게 마주쳤다면		무슨 이유인지는 모르겠지만,이렇게 얼굴을	巷充　戚政昔走澗　乞牽畏走幻，戚係惟　杖閏聖		44	[]	imported	
STG0091/ID00003/000007	stage	STG0091	ID00003	7	01_스테이지 xlsx 모음/STG0091(52화B)-ID00003-script-통합.xlsx	34afa9be8ed73bb0555d9672f83e15607d66e58706ddf6f033cc9ea248b98541	b9827edfe3012b98088521155b7add6973301b36a46b883a90a7adb598fed9da	할 일은 하나...!		마주했으니 할 일은 하나…！	原爽梅生艦　拝　析精　馬蟹…！		30	[]	imported	
STG0091/ID00003/000008	stage	STG0091	ID00003	8	01_스테이지 xlsx 모음/STG0091(52화B)-ID00003-script-통합.xlsx	34afa9be8ed73bb0555d9672f83e15607d66e58706ddf6f033cc9ea248b98541	eef42e86dad533ab1f2bc87e20f162b7ebb7e9780fab90d7a8804772782e1ecc	카구라		카구라	朝姥虞		6	[]	imported	
STG0091/ID00003/000009	stage	STG0091	ID00003	9	01_스테이지 xlsx 모음/STG0091(52화B)-ID00003-script-통합.xlsx	34afa9be8ed73bb0555d9672f83e15607d66e58706ddf6f033cc9ea248b98541	220f931e7923d9e8e2e376301993696b01ea14c521f6e50025057f98a7962788	결판을 내겠어, 아마타(アマタ！)!		결판을 내주겠어,아마타！	衣毒聖　鎧爽畏嬢，焼原展！		26	[]	imported	
STG0091/ID00003/000010	stage	STG0091	ID00003	10	01_스테이지 xlsx 모음/STG0091(52화B)-ID00003-script-통합.xlsx	34afa9be8ed73bb0555d9672f83e15607d66e58706ddf6f033cc9ea248b98541	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
STG0091/ID00003/000011	stage	STG0091	ID00003	11	01_스테이지 xlsx 모음/STG0091(52화B)-ID00003-script-통합.xlsx	34afa9be8ed73bb0555d9672f83e15607d66e58706ddf6f033cc9ea248b98541	5f13e03442a30578cf9dbf2bb955f86d4ae58ddbee13c5851c07331fa6906999	카구라앗!!		카구라아아！！	朝姥虞焼焼！！		14	[]	imported	
