entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0049/ID00003/000004	stage	STG0049	ID00003	4	01_스테이지 xlsx 모음/STG0049(31화)-ID00003-script-통합.xlsx	102e78c9a2a282e5bad172e5c464a82653506bdd18426f8f6ef58745137833c5	39adb489d0bbdead255223c06ad3539107d89b1371fb82cfd7bee9e51bd4be96	~네엘 아가마 격납고~		　　　　　　　～넬・아가마 격납고～	　　　　　　　～楽・焼亜原　維崖壱～		36	[]	imported	
STG0049/ID00003/000005	stage	STG0049	ID00003	5	01_스테이지 xlsx 모음/STG0049(31화)-ID00003-script-통합.xlsx	102e78c9a2a282e5bad172e5c464a82653506bdd18426f8f6ef58745137833c5	9f6eb77d0cdcada3c71fcdb67d8f4d15f15485eb3534fa9b6669026eaa997fec	카미유		카미유	朝耕政		6	[]	imported	
STG0049/ID00003/000006	stage	STG0049	ID00003	6	01_스테이지 xlsx 모음/STG0049(31화)-ID00003-script-통합.xlsx	102e78c9a2a282e5bad172e5c464a82653506bdd18426f8f6ef58745137833c5	50c465ffdf11728b3e085c816390658832cfce7ef6d35d8dcb704973f08e2dee	신...		신…	重…		4	[]	imported	
STG0049/ID00003/000007	stage	STG0049	ID00003	7	01_스테이지 xlsx 모음/STG0049(31화)-ID00003-script-통합.xlsx	102e78c9a2a282e5bad172e5c464a82653506bdd18426f8f6ef58745137833c5	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신		신	重		2	[]	imported	
STG0049/ID00003/000008	stage	STG0049	ID00003	8	01_스테이지 xlsx 모음/STG0049(31화)-ID00003-script-통합.xlsx	102e78c9a2a282e5bad172e5c464a82653506bdd18426f8f6ef58745137833c5	a659609d771d10e2ec549a067282604cbebe7f71cfd3ddb45f4f8e9c9610f9d8	…찾았구나…		…찾았나…	…達紹蟹…		10	[]	imported	
STG0049/ID00003/000009	stage	STG0049	ID00003	9	01_스테이지 xlsx 모음/STG0049(31화)-ID00003-script-통합.xlsx	102e78c9a2a282e5bad172e5c464a82653506bdd18426f8f6ef58745137833c5	9f6eb77d0cdcada3c71fcdb67d8f4d15f15485eb3534fa9b6669026eaa997fec	카미유		카미유	朝耕政		6	[]	imported	
STG0049/ID00003/000010	stage	STG0049	ID00003	10	01_스테이지 xlsx 모음/STG0049(31화)-ID00003-script-통합.xlsx	102e78c9a2a282e5bad172e5c464a82653506bdd18426f8f6ef58745137833c5	a555993d5188ec197d76696d7fbbb957c6e42427087ee3a963848711cf7ac1df	너... 혼자 오브에 갈 생각이야?		너…혼자서 오브로 갈 생각인가?	格…肇切辞　神崎稽　哀　持唖昔亜？		34	[]	imported	
STG0049/ID00003/000011	stage	STG0049	ID00003	11	01_스테이지 xlsx 모음/STG0049(31화)-ID00003-script-통합.xlsx	102e78c9a2a282e5bad172e5c464a82653506bdd18426f8f6ef58745137833c5	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신		신	重		2	[]	imported	
STG0049/ID00003/000012	stage	STG0049	ID00003	12	01_스테이지 xlsx 모음/STG0049(31화)-ID00003-script-통합.xlsx	102e78c9a2a282e5bad172e5c464a82653506bdd18426f8f6ef58745137833c5	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0049/ID00003/000013	stage	STG0049	ID00003	13	01_스테이지 xlsx 모음/STG0049(31화)-ID00003-script-통합.xlsx	102e78c9a2a282e5bad172e5c464a82653506bdd18426f8f6ef58745137833c5	9f6eb77d0cdcada3c71fcdb67d8f4d15f15485eb3534fa9b6669026eaa997fec	카미유		카미유	朝耕政		6	[]	imported	
STG0049/ID00003/000014	stage	STG0049	ID00003	14	01_스테이지 xlsx 모음/STG0049(31화)-ID00003-script-통합.xlsx	102e78c9a2a282e5bad172e5c464a82653506bdd18426f8f6ef58745137833c5	fa8ba89086c1d268d28aae67ef6d9bd6c636270f0e9e2bf54957166aa490835b	$c의 진로에는 UG의 부대가 전개하고 있다.		$c의 진로에는 UG의 부대가 전개	$ｃ税　遭稽拭澗　ＵＧ税　採企亜　穿鯵		38	"[""$c""]"	imported	
STG0049/ID00003/000015	stage	STG0049	ID00003	15	01_스테이지 xlsx 모음/STG0049(31화)-ID00003-script-통합.xlsx	102e78c9a2a282e5bad172e5c464a82653506bdd18426f8f6ef58745137833c5	22b068163605b82c725ccbaacf5e751f335969c66a771eb0d651b277df05d134	그걸 데스티니 단기로 돌파하는 건...		하고 있다.그것을 데스티니 단기로 돌파하는 것은	馬壱　赤陥．益依聖　汽什銅艦　舘奄稽　宜督馬澗　依精		52	[]	imported	
STG0049/ID00003/000016	stage	STG0049	ID00003	16	01_스테이지 xlsx 모음/STG0049(31화)-ID00003-script-통합.xlsx	102e78c9a2a282e5bad172e5c464a82653506bdd18426f8f6ef58745137833c5	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신		신	重		2	[]	imported	
