entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0065/ID00003/000004	stage	STG0065	ID00003	4	01_스테이지 xlsx 모음/STG0065(37화C)-ID00003-script-통합.xlsx	a66f5d05fa644dad94222318103b9c67d9508b559ced75e50262f29ffb13d195	ba02bb7ca4fa46725c79b21b20d5699507038ab3080188b878ff13a28f118829	~프톨레마이오스 2개 브릿지~		　　　　　　～프톨레마이오스 2개 함교～	　　　　　　～覗島傾原戚神什　２鯵　敗嘘～		42	[]	imported	
STG0065/ID00003/000005	stage	STG0065	ID00003	5	01_스테이지 xlsx 모음/STG0065(37화C)-ID00003-script-통합.xlsx	a66f5d05fa644dad94222318103b9c67d9508b559ced75e50262f29ffb13d195	6f42d8c360d18f29d6f3eb31b4566d00027dcf6d3990efd479a16ce8c1f811ed	소스케		소스케	社什追		6	[]	imported	
STG0065/ID00003/000006	stage	STG0065	ID00003	6	01_스테이지 xlsx 모음/STG0065(37화C)-ID00003-script-통합.xlsx	a66f5d05fa644dad94222318103b9c67d9508b559ced75e50262f29ffb13d195	3e6c8335bd5b1fd42559b4736a0626ce74425a4650c18bcfa8a3235e2937e318	자신에게 이야기란 무엇일까요, 스멜라기 함장님?		저에게 할 이야기라니 무슨 말씀이시죠,함장님?	煽拭惟　拝　戚醤奄虞艦　巷充　源掌戚獣倉，敗舌還？		50	[]	imported	
STG0065/ID00003/000007	stage	STG0065	ID00003	7	01_스테이지 xlsx 모음/STG0065(37화C)-ID00003-script-통합.xlsx	a66f5d05fa644dad94222318103b9c67d9508b559ced75e50262f29ffb13d195	c0607eeb100baf498bcf09f06ea043ca051f5c7785ea19fb98ce7a12ef4e8e2e	스멜라기		스메라기	什五虞奄		8	[]	imported	
STG0065/ID00003/000008	stage	STG0065	ID00003	8	01_스테이지 xlsx 모음/STG0065(37화C)-ID00003-script-통합.xlsx	a66f5d05fa644dad94222318103b9c67d9508b559ced75e50262f29ffb13d195	0904bb4e74a3f7eba2b2f41b79447437acfe5dfce3acc2f71777bba0a52600c6	짐작 가는 데는 있을걸?		짐작 가는 게 있을 텐데?	像拙　亜澗　惟　赤聖　度汽？		28	[]	imported	
STG0065/ID00003/000009	stage	STG0065	ID00003	9	01_스테이지 xlsx 모음/STG0065(37화C)-ID00003-script-통합.xlsx	a66f5d05fa644dad94222318103b9c67d9508b559ced75e50262f29ffb13d195	6f42d8c360d18f29d6f3eb31b4566d00027dcf6d3990efd479a16ce8c1f811ed	소스케		소스케	社什追		6	[]	imported	
STG0065/ID00003/000010	stage	STG0065	ID00003	10	01_스테이지 xlsx 모음/STG0065(37화C)-ID00003-script-통합.xlsx	a66f5d05fa644dad94222318103b9c67d9508b559ced75e50262f29ffb13d195	95e4ae02b5762d7249075c9a6f11d5fae3ff04af32a812236943f9510f2ccfdc	전회의 작전에 있어서의 자신의 불미스러운 점에		…지난번 작전에서 제가 한심했던 것에 대한	…走貝腰　拙穿拭辞　薦亜　廃宿梅揮　依拭　企廃		46	[]	imported	
STG0065/ID00003/000011	stage	STG0065	ID00003	11	01_스테이지 xlsx 모음/STG0065(37화C)-ID00003-script-통합.xlsx	a66f5d05fa644dad94222318103b9c67d9508b559ced75e50262f29ffb13d195	9ad87bb4fed48fc49afd46e96e899a5c339fa0f8191c23f144815541bfe297b1	붙어있을까요		말씀이시죠	源掌戚獣倉		10	[]	imported	
STG0065/ID00003/000012	stage	STG0065	ID00003	12	01_스테이지 xlsx 모음/STG0065(37화C)-ID00003-script-통합.xlsx	a66f5d05fa644dad94222318103b9c67d9508b559ced75e50262f29ffb13d195	c0607eeb100baf498bcf09f06ea043ca051f5c7785ea19fb98ce7a12ef4e8e2e	스멜라기		스메라기	什五虞奄		8	[]	imported	
STG0065/ID00003/000013	stage	STG0065	ID00003	13	01_스테이지 xlsx 모음/STG0065(37화C)-ID00003-script-통합.xlsx	a66f5d05fa644dad94222318103b9c67d9508b559ced75e50262f29ffb13d195	e8549eaa0918fc1b91093ef8a690f35aa9b8017094b7fc0e741c6839904b869d	자각이 있다면, 좋아.		자각하고 있다면 됐어	切唖馬壱　赤陥檎　菊嬢		22	[]	imported	
