entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0313/ID00003/000004	dlc	DLC0313	ID00003	4	!DLC/DLC0313_cpk/DLC0313(DLC-13)-ID00003-script-통합.xlsx	5e690a945b1fbd1aa0886593049ad2d6c90f9d689e1447bc4b5a1d67afa006c1	ff15b5fc1bb992b45c49266198bf50f33ff7b60a1db234c29898512de293ed98	~마크로스 쿼터 격납고~		　　　　　　～마크로스・쿼터 격납고～	　　　　　　～原滴稽什・汀斗　維崖壱～		38	[]	imported	
DLC0313/ID00003/000005	dlc	DLC0313	ID00003	5	!DLC/DLC0313_cpk/DLC0313(DLC-13)-ID00003-script-통합.xlsx	5e690a945b1fbd1aa0886593049ad2d6c90f9d689e1447bc4b5a1d67afa006c1	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0313/ID00003/000006	dlc	DLC0313	ID00003	6	!DLC/DLC0313_cpk/DLC0313(DLC-13)-ID00003-script-통합.xlsx	5e690a945b1fbd1aa0886593049ad2d6c90f9d689e1447bc4b5a1d67afa006c1	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
DLC0313/ID00003/000007	dlc	DLC0313	ID00003	7	!DLC/DLC0313_cpk/DLC0313(DLC-13)-ID00003-script-통합.xlsx	5e690a945b1fbd1aa0886593049ad2d6c90f9d689e1447bc4b5a1d67afa006c1	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		ＡＧ	ＡＧ		4	[]	imported	
DLC0313/ID00003/000008	dlc	DLC0313	ID00003	8	!DLC/DLC0313_cpk/DLC0313(DLC-13)-ID00003-script-통합.xlsx	5e690a945b1fbd1aa0886593049ad2d6c90f9d689e1447bc4b5a1d67afa006c1	439d891a8393262e6438b39fa3b3eb200ff4b0d417323bf6d09748497330863b	뭘 무뚝뚝해요, $n씨?		뭘 그렇게 시무룩해 있나요,$n 씨？	校　益係惟　獣巷決背　赤蟹推，$ｎ　松？		40	"[""$n""]"	imported	
DLC0313/ID00003/000009	dlc	DLC0313	ID00003	9	!DLC/DLC0313_cpk/DLC0313(DLC-13)-ID00003-script-통합.xlsx	5e690a945b1fbd1aa0886593049ad2d6c90f9d689e1447bc4b5a1d67afa006c1	cee398283dc632b5eaaa43a8badb6feb2d394999c6c9e3849ab362cbb4502954	시뮬레이션 결과는 아주 훌륭하잖아요		시뮬레이션 결과는 아주 좋았잖아요	獣皇傾戚芝　衣引澗　焼爽　疏紹摂焼推		36	[]	imported	
DLC0313/ID00003/000010	dlc	DLC0313	ID00003	10	!DLC/DLC0313_cpk/DLC0313(DLC-13)-ID00003-script-통합.xlsx	5e690a945b1fbd1aa0886593049ad2d6c90f9d689e1447bc4b5a1d67afa006c1	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0313/ID00003/000011	dlc	DLC0313	ID00003	11	!DLC/DLC0313_cpk/DLC0313(DLC-13)-ID00003-script-통합.xlsx	5e690a945b1fbd1aa0886593049ad2d6c90f9d689e1447bc4b5a1d67afa006c1	8670131f4b28325b1766dafc3265ccafabc363479b559a8b67582becbb735de3	하지만, 그 바알을 시작으로 해서,		하지만,그 바알을 비롯해서	馬走幻，益　郊硝聖　搾茎背辞		28	[]	imported	
DLC0313/ID00003/000012	dlc	DLC0313	ID00003	12	!DLC/DLC0313_cpk/DLC0313(DLC-13)-ID00003-script-통합.xlsx	5e690a945b1fbd1aa0886593049ad2d6c90f9d689e1447bc4b5a1d67afa006c1	609aab6ac1ff5cf1892f04f02aa55f1811c4b2439b9557a05ad5ffa9e8a0f64d	적은 점점 강력해지고 있다…		적은 점점 강력해지고 있어…	旋精　繊繊　悪径背走壱　赤嬢…		30	[]	imported	
DLC0313/ID00003/000013	dlc	DLC0313	ID00003	13	!DLC/DLC0313_cpk/DLC0313(DLC-13)-ID00003-script-통합.xlsx	5e690a945b1fbd1aa0886593049ad2d6c90f9d689e1447bc4b5a1d67afa006c1	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
