entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0100b/ID00003/000002	stage	STG0100b	ID00003	2	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	af441cd351d1b34015435c39155813c44a7720e762b1cc4f65d035551f78a79a	킹		킹	天		2	[]	imported	
STG0100b/ID00003/000003	stage	STG0100b	ID00003	3	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	cbbbead86353c9a8f52d953948332e8d5ce6b0f1740968cf68a5363ab3d1ea15	…드디어 왔구나…		…드디어 왔나…	…球巨嬢　尽蟹…		16	[]	imported	
STG0100b/ID00003/000004	stage	STG0100b	ID00003	4	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	af441cd351d1b34015435c39155813c44a7720e762b1cc4f65d035551f78a79a	킹		킹	天		2	[]	imported	
STG0100b/ID00003/000005	stage	STG0100b	ID00003	5	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	91a9e9dfc6aeddc557967cda4e4420a52957833b66ba2a5fb4b5cf8ae76503ed	어드벤트가 쓰러진 지금,		어드벤트가 쓰러진 지금,	嬢球坤闘亜　床君遭　走榎，		26	[]	imported	
STG0100b/ID00003/000006	stage	STG0100b	ID00003	6	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	37b10f8b8202bcc8cb5358a98aa640478fdfc6e9b3b995b84e6a7e3446edf4e2	개혁파는 이미 와해되었다고 말해도 좋다		개혁파는 이미 괴멸했다고 해도 좋다	鯵舶督澗　戚耕　雨瑚梅陥壱　背亀　疏陥		38	[]	imported	
STG0100b/ID00003/000007	stage	STG0100b	ID00003	7	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	af441cd351d1b34015435c39155813c44a7720e762b1cc4f65d035551f78a79a	킹		킹	天		2	[]	imported	
STG0100b/ID00003/000008	stage	STG0100b	ID00003	8	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	1774364f6e412db979e0d3dcdf931a4fa792208071c145723b1b9909d3d24179	인류는 새로운 시대를 맞이한다…		인류는 새로운 시대를 맞이한다…	昔嫌澗　歯稽錘　獣企研　限戚廃陥…		34	[]	imported	
STG0100b/ID00003/000009	stage	STG0100b	ID00003	9	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	794e388e9b1547171915461590a874f2a629b953bd090e1b64a84af40db44a8f	그래… 태극의 사자인 그들의 손에 의해…		그래… 태극의 사자인 그들의 손에 의해…	益掘…　殿駅税　紫切昔　益級税　謝拭　税背…		44	[]	imported	
STG0100b/ID00003/000010	stage	STG0100b	ID00003	10	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	92cabe635b04a042f6f42cf8105339b21504a712e2c78e8c3c0eefdacc0a7c19	퀸		퀸	蹄		2	[]	imported	
STG0100b/ID00003/000011	stage	STG0100b	ID00003	11	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	e22ffff39b0b29b423f34d3a5cccc755307decfba0d797a2268f35ba366e2153	인류는 새로운 시대를 맞이한다…		인류는 새로운 시대를 맞이한다…	昔嫌澗　歯稽錘　獣企研　限戚廃陥…		34	[]	imported	
STG0100b/ID00003/000012	stage	STG0100b	ID00003	12	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	92cabe635b04a042f6f42cf8105339b21504a712e2c78e8c3c0eefdacc0a7c19	퀸		퀸	蹄		2	[]	imported	
STG0100b/ID00003/000013	stage	STG0100b	ID00003	13	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	17989e7efee094e548b35534c59a298343647c0d20c7f7d4b510d1c8680de1ac	하지만 그전에 해야할 일이 있어		하지만,그 전에 해야 할 일이 있다	馬走幻，益　穿拭　背醤　拝　析戚　赤陥		38	[]	imported	
STG0100b/ID00003/000014	stage	STG0100b	ID00003	14	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	92cabe635b04a042f6f42cf8105339b21504a712e2c78e8c3c0eefdacc0a7c19	퀸		퀸	蹄		2	[]	imported	
STG0100b/ID00003/000015	stage	STG0100b	ID00003	15	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	1f216fdb230eacf960d5a1ede28494a30106e0fcdd36eac9495dd9b2f31f37fe	그러니까 잠에서 깨고...		그러니,눈을 떠…	益君艦，勧聖　彊…		18	[]	imported	
STG0100b/ID00003/000016	stage	STG0100b	ID00003	16	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	92cabe635b04a042f6f42cf8105339b21504a712e2c78e8c3c0eefdacc0a7c19	퀸		퀸	蹄		2	[]	imported	
STG0100b/ID00003/000017	stage	STG0100b	ID00003	17	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	b4177be32ecf4466b167e22a7210b46e7b702718453c068c8e521cdbd805fed0	아사킴 다윈...		아사킴・도윈…	焼紫鉄・亀制…		14	[]	imported	
STG0100b/ID00003/000018	stage	STG0100b	ID00003	18	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	c2810db52aa2f7c536f3c36f4e789593c531096fe5699bb3cecd71a8cbb6fe6e	아사킴		아사킴	焼紫鉄		6	[]	imported	
STG0100b/ID00003/000019	stage	STG0100b	ID00003	19	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0100b/ID00003/000020	stage	STG0100b	ID00003	20	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0100b/ID00003/000021	stage	STG0100b	ID00003	21	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	0e1775c4fec6ea01bed3ea706efe7a3157f880fefd132988c527296eaf5b2ba2	신지군!!		신지 군!!	重走　浦！！		12	[]	imported	
STG0100b/ID00003/000022	stage	STG0100b	ID00003	22	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	eec9e9abf1a23ce26381a647741177ff47348ee93fedc5fd0432740af0649705	신지		신지	重走		4	[]	imported	
STG0100b/ID00003/000023	stage	STG0100b	ID00003	23	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	3b23dbaa4bdddd9ba9d52926ba40b67c15830b026694f22400af19ffe2d2e8c2	내가 어떻게 되든 좋아!		내가 어떻게 되든 상관없어!	鎧亜　嬢胸惟　鞠窮　雌淫蒸嬢！		30	[]	imported	
STG0100b/ID00003/000024	stage	STG0100b	ID00003	24	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	cf3a3d6a0cf1586a24beca38a0c35d8c04aaad3bd3b6903229d3b51d9c7c2d60	세계가 어떻게 되든 좋아!		세계가 어떻게 되든 상관없어!	室域亜　嬢胸惟　鞠窮　雌淫蒸嬢！		32	[]	imported	
STG0100b/ID00003/000025	stage	STG0100b	ID00003	25	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	eec9e9abf1a23ce26381a647741177ff47348ee93fedc5fd0432740af0649705	신지		신지	重走		4	[]	imported	
STG0100b/ID00003/000026	stage	STG0100b	ID00003	26	01_스테이지 xlsx 모음/STG0100b(에필로그)-ID00003-script-통합.xlsx	529ba6a11bc78f9a68ca7c576120365f12b9583e0f64ed9fa78f6b07548c4dc4	3dfa618bcac454d2777011b6a27fff949ba108e0ac1d11ab124ee61471cc385f	하지만 아야나미는...!		하지만 아야나미는…！	馬走幻　焼醤蟹耕澗…！		22	[]	imported	
