entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0079/ID00003/000004	stage	STG0079	ID00003	4	01_스테이지 xlsx 모음/STG0079(47화B)-ID00003-script-통합.xlsx	eccade62a3d332e56cadd0c45c928952e1ab543467ea9485fa4a822c15652b35	882c31721338e8f855a42bed14b2050249402c0ff616ea9afc7c294190b2c5f1	~제3신도쿄시~		　　　　　　　　　　～제3신도쿄시～	　　　　　　　　　　～薦３重亀底獣～		36	[]	imported	
STG0079/ID00003/000005	stage	STG0079	ID00003	5	01_스테이지 xlsx 모음/STG0079(47화B)-ID00003-script-통합.xlsx	eccade62a3d332e56cadd0c45c928952e1ab543467ea9485fa4a822c15652b35	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
STG0079/ID00003/000006	stage	STG0079	ID00003	6	01_스테이지 xlsx 모음/STG0079(47화B)-ID00003-script-통합.xlsx	eccade62a3d332e56cadd0c45c928952e1ab543467ea9485fa4a822c15652b35	548070a97024e79a475d8c47bc1d1d45f43f809120160689dd4a0ec0b8735b9c	토우시상과 켄스케상도		토우지 씨랑 켄스케 씨도	塘酔走　松櫛　痛什追　松亀		26	[]	imported	
STG0079/ID00003/000007	stage	STG0079	ID00003	7	01_스테이지 xlsx 모음/STG0079(47화B)-ID00003-script-통합.xlsx	eccade62a3d332e56cadd0c45c928952e1ab543467ea9485fa4a822c15652b35	284853b8d4b865ce6a5166c2a3801507ee95f4786d0f4464757955382f3493fd	제3신도쿄시에 왔었구나		제3신도쿄시에 왔었구나	薦３重亀底獣拭　尽醸姥蟹		24	[]	imported	
STG0079/ID00003/000008	stage	STG0079	ID00003	8	01_스테이지 xlsx 모음/STG0079(47화B)-ID00003-script-통합.xlsx	eccade62a3d332e56cadd0c45c928952e1ab543467ea9485fa4a822c15652b35	17de9647feefed3a95e980e73dc5d86eac2410c588c528b85f64caa47f4c7632	켄스케		켄스케	痛什追		6	[]	imported	
STG0079/ID00003/000009	stage	STG0079	ID00003	9	01_스테이지 xlsx 모음/STG0079(47화B)-ID00003-script-통합.xlsx	eccade62a3d332e56cadd0c45c928952e1ab543467ea9485fa4a822c15652b35	e4f12f1ac44d951128dd32240f81e08e2a6166ce1c9d4c422c733931a76c9448	토우지 여동생의 병문안으로 말이죠.		토우지 여동생 병문안 때문에 말이야	塘酔走　食疑持　佐庚照　凶庚拭　源戚醤		38	[]	imported	
STG0079/ID00003/000010	stage	STG0079	ID00003	10	01_스테이지 xlsx 모음/STG0079(47화B)-ID00003-script-통합.xlsx	eccade62a3d332e56cadd0c45c928952e1ab543467ea9485fa4a822c15652b35	6f0ba64c9259f5cdf9e32136600ef58fe3ab90118df8d659bf25559f98995ea1	그랬더니 갑자기 대피하라고 해서,		그랬더니 갑자기 대피하라고 해서	益隈希艦　逢切奄　企杷馬虞壱　背辞		34	[]	imported	
STG0079/ID00003/000011	stage	STG0079	ID00003	11	01_스테이지 xlsx 모음/STG0079(47화B)-ID00003-script-통합.xlsx	eccade62a3d332e56cadd0c45c928952e1ab543467ea9485fa4a822c15652b35	66304b92401496cba5bee45a8622cbf17c74c00333c23de7659f2ebb1767796b	$c가 와서, 매우 당황했어		$c가 와서 엄청 당황했어	$ｃ亜　人辞　畳短　雁伐梅嬢		28	"[""$c""]"	imported	
STG0079/ID00003/000012	stage	STG0079	ID00003	12	01_스테이지 xlsx 모음/STG0079(47화B)-ID00003-script-통합.xlsx	eccade62a3d332e56cadd0c45c928952e1ab543467ea9485fa4a822c15652b35	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
STG0079/ID00003/000013	stage	STG0079	ID00003	13	01_스테이지 xlsx 모음/STG0079(47화B)-ID00003-script-통합.xlsx	eccade62a3d332e56cadd0c45c928952e1ab543467ea9485fa4a822c15652b35	526323e94d8683669ca73a7ecc9b5f934c5ee68cd3fa0b6ae04f65c0fd9b97d7	왠지 즐거울 것 같네요, 켄스케(ケンスケ)씨		뭔가 즐거워 보이시네요,켄스케 씨	杭亜　荘暗趨　左戚獣革推，痛什追　松		36	[]	imported	
