entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0068b/ID00003/000002	stage	STG0068b	ID00003	2	01_스테이지 xlsx 모음/STG0068b(40화C)-ID00003-script-통합.xlsx	e82ba1f2e783bd494ddeea35f41a28c4620753071348b00603ae823854591981	d6e5b194b3631fbe5e3cb7876a094ba77897d7a7febfe795e9ec17c50146f602	성각		호시키쿠	硲獣徹庭		8	[]	imported	
STG0068b/ID00003/000003	stage	STG0068b	ID00003	3	01_스테이지 xlsx 모음/STG0068b(40화C)-ID00003-script-통합.xlsx	e82ba1f2e783bd494ddeea35f41a28c4620753071348b00603ae823854591981	9625a3133a35ec6ba2a737bb22879509569f18a7bdcea780ba8907459f4f0ac7	사리포를 만났어		샐리・포와 만났어	侍軒・匂人　幻概嬢		18	[]	imported	
STG0068b/ID00003/000004	stage	STG0068b	ID00003	4	01_스테이지 xlsx 모음/STG0068b(40화C)-ID00003-script-통합.xlsx	e82ba1f2e783bd494ddeea35f41a28c4620753071348b00603ae823854591981	156ca7c5a5b7924504743afe8add456d40a03f7167e62f43c65203034968374c	오비		우페이	酔凪戚		6	[]	imported	
STG0068b/ID00003/000005	stage	STG0068b	ID00003	5	01_스테이지 xlsx 모음/STG0068b(40화C)-ID00003-script-통합.xlsx	e82ba1f2e783bd494ddeea35f41a28c4620753071348b00603ae823854591981	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0068b/ID00003/000006	stage	STG0068b	ID00003	6	01_스테이지 xlsx 모음/STG0068b(40화C)-ID00003-script-통합.xlsx	e82ba1f2e783bd494ddeea35f41a28c4620753071348b00603ae823854591981	d6e5b194b3631fbe5e3cb7876a094ba77897d7a7febfe795e9ec17c50146f602	성각		호시키쿠	硲獣徹庭		8	[]	imported	
STG0068b/ID00003/000007	stage	STG0068b	ID00003	7	01_스테이지 xlsx 모음/STG0068b(40화C)-ID00003-script-통합.xlsx	e82ba1f2e783bd494ddeea35f41a28c4620753071348b00603ae823854591981	4620201c7cc345801f72263b67c91a47aed764f2f8804fc185b0607c518411ef	그녀는 프리벤터의 일원으로서,		그녀는 프리벤터의 일원으로서	益橿澗　覗軒坤斗税　析据生稽辞		30	[]	imported	
STG0068b/ID00003/000008	stage	STG0068b	ID00003	8	01_스테이지 xlsx 모음/STG0068b(40화C)-ID00003-script-통합.xlsx	e82ba1f2e783bd494ddeea35f41a28c4620753071348b00603ae823854591981	d247ccafa058a861b9483d65389abbc63bd65a1026aa4fde688848a8eb98eff5	마리메이어군의 잔당을 쫓고 있었다고 한다		마리메이아군의 잔당을 쫓고 있었다고 해	原軒五戚焼浦税　接雁聖　耐壱　赤醸陥壱　背		42	[]	imported	
STG0068b/ID00003/000009	stage	STG0068b	ID00003	9	01_스테이지 xlsx 모음/STG0068b(40화C)-ID00003-script-통합.xlsx	e82ba1f2e783bd494ddeea35f41a28c4620753071348b00603ae823854591981	156ca7c5a5b7924504743afe8add456d40a03f7167e62f43c65203034968374c	오비		우페이	酔凪戚		6	[]	imported	
STG0068b/ID00003/000010	stage	STG0068b	ID00003	10	01_스테이지 xlsx 모음/STG0068b(40화C)-ID00003-script-통합.xlsx	e82ba1f2e783bd494ddeea35f41a28c4620753071348b00603ae823854591981	271bb214d5dbb9540258ee1f367089ce9656873a47759f2f86bbcaf8efe78ba5	저 여자도 계속 싸우고 있는지…		그 여자도 계속 싸우고 있나…	益　食切亀　域紗　塾酔壱　赤蟹…		32	[]	imported	
STG0068b/ID00003/000011	stage	STG0068b	ID00003	11	01_스테이지 xlsx 모음/STG0068b(40화C)-ID00003-script-통합.xlsx	e82ba1f2e783bd494ddeea35f41a28c4620753071348b00603ae823854591981	d6e5b194b3631fbe5e3cb7876a094ba77897d7a7febfe795e9ec17c50146f602	성각		호시키쿠	硲獣徹庭		8	[]	imported	
