entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0078/ID00003/000004	stage	STG0078	ID00003	4	01_스테이지 xlsx 모음/STG0078(46화B)-ID00003-script-통합.xlsx	740f21faec75977b4e88abbeefd4e5ae0d816add6f19cdc7b4b7c60498b40c81	1b8ef832bd3a4a02934c4167d128edcb48582c8c27d9eb83ffbd25afd73cdf03	~드래곤즈 하이브 살롱~		　　　　　　　～드래곤즈 하이브 살롱～	　　　　　　　～球掘逸綜　馬戚崎　詞荊～		40	[]	imported	
STG0078/ID00003/000005	stage	STG0078	ID00003	5	01_스테이지 xlsx 모음/STG0078(46화B)-ID00003-script-통합.xlsx	740f21faec75977b4e88abbeefd4e5ae0d816add6f19cdc7b4b7c60498b40c81	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0078/ID00003/000006	stage	STG0078	ID00003	6	01_스테이지 xlsx 모음/STG0078(46화B)-ID00003-script-통합.xlsx	740f21faec75977b4e88abbeefd4e5ae0d816add6f19cdc7b4b7c60498b40c81	d91538c6db9ee85b2cccb8fcef9479530471a83815a471b9ccf005e418957cbb	...아무로 대위가 암살당했다!?		…아무로 대위가 암살당했다고！？	…焼巷稽　企是亜　章詞雁梅陥壱！？		34	[]	imported	
STG0078/ID00003/000007	stage	STG0078	ID00003	7	01_스테이지 xlsx 모음/STG0078(46화B)-ID00003-script-통합.xlsx	740f21faec75977b4e88abbeefd4e5ae0d816add6f19cdc7b4b7c60498b40c81	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0078/ID00003/000008	stage	STG0078	ID00003	8	01_스테이지 xlsx 모음/STG0078(46화B)-ID00003-script-통합.xlsx	740f21faec75977b4e88abbeefd4e5ae0d816add6f19cdc7b4b7c60498b40c81	97f91afba484ffc56959e1851335dfb8881591cf7ceca225c10a13c4eb6e8b2e	정확하게는 미수야.		정확히는 미수야	舛溌備澗　耕呪醤		16	[]	imported	
STG0078/ID00003/000009	stage	STG0078	ID00003	9	01_스테이지 xlsx 모음/STG0078(46화B)-ID00003-script-통합.xlsx	740f21faec75977b4e88abbeefd4e5ae0d816add6f19cdc7b4b7c60498b40c81	a6deb472cae99d5aef2f0ecafc277253a856a2863c4727c6a81d244d47326643	범인은 체포되었어요		범인은 체포되었어	骨昔精　端匂鞠醸嬢		18	[]	imported	
STG0078/ID00003/000010	stage	STG0078	ID00003	10	01_스테이지 xlsx 모음/STG0078(46화B)-ID00003-script-통합.xlsx	740f21faec75977b4e88abbeefd4e5ae0d816add6f19cdc7b4b7c60498b40c81	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	갑아		코우지	坪酔走		6	[]	imported	
STG0078/ID00003/000011	stage	STG0078	ID00003	11	01_스테이지 xlsx 모음/STG0078(46화B)-ID00003-script-통합.xlsx	740f21faec75977b4e88abbeefd4e5ae0d816add6f19cdc7b4b7c60498b40c81	12657e736853cae346756efa1f563ea5da41a3af37fadb698a7529d1d9f7b897	역시 범인은...		역시 범인은…	蝕獣　骨昔精…		14	[]	imported	
STG0078/ID00003/000012	stage	STG0078	ID00003	12	01_스테이지 xlsx 모음/STG0078(46화B)-ID00003-script-통합.xlsx	740f21faec75977b4e88abbeefd4e5ae0d816add6f19cdc7b4b7c60498b40c81	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0078/ID00003/000013	stage	STG0078	ID00003	13	01_스테이지 xlsx 모음/STG0078(46화B)-ID00003-script-통합.xlsx	740f21faec75977b4e88abbeefd4e5ae0d816add6f19cdc7b4b7c60498b40c81	ed9784a578c28b8986c52514e07231bac716f5988e1402a17a732c051bf77994	모두의 예상대로, 네오 지온의 인간이여		모두의 예상대로 네오・지온 사람이야	乞砧税　森雌企稽　革神・走紳　紫寓戚醤		38	[]	imported	
