entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0048/ID00003/000004	stage	STG0048	ID00003	4	01_스테이지 xlsx 모음/STG0048(30화)-ID00003-script-통합.xlsx	3f347961b07edeeadf08c229ca7e2943b809ce0eb6b276770de1cbbf4f59cd16	902d4b48aed23e68509bd0cfb9c84ed8dd78ed5c5f4aa3d824367f1ae6d0e964	~투아허 데 다낭 함장실~		　　　　　～투아하・데・다난 함장실～	　　　　　～燈焼馬・汽・陥貝　敗舌叔～		38	[]	imported	
STG0048/ID00003/000005	stage	STG0048	ID00003	5	01_스테이지 xlsx 모음/STG0048(30화)-ID00003-script-통합.xlsx	3f347961b07edeeadf08c229ca7e2943b809ce0eb6b276770de1cbbf4f59cd16	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
STG0048/ID00003/000006	stage	STG0048	ID00003	6	01_스테이지 xlsx 모음/STG0048(30화)-ID00003-script-통합.xlsx	3f347961b07edeeadf08c229ca7e2943b809ce0eb6b276770de1cbbf4f59cd16	8bb366fb62a52817e0b1ff6ffa9f4a29da92eb9388e952074b8cc7ac759b770a	...그럼, 다시.		…그럼,다시 한번.투아하・데・다난에	…益軍，陥獣　廃腰．燈焼馬・汽・陥貝拭		38	[]	imported	
STG0048/ID00003/000007	stage	STG0048	ID00003	7	01_스테이지 xlsx 모음/STG0048(30화)-ID00003-script-통합.xlsx	3f347961b07edeeadf08c229ca7e2943b809ce0eb6b276770de1cbbf4f59cd16	031cc4c815d57ebee8552fadb2802c74bc9747c9f3dfb2b6484cce35b9eefb9a	투아허 데 다낭에 오신 것을 환영합니다, 치도리 카나메씨		오신 것을 환영합니다,치도리 카나메 씨	神重　依聖　発慎杯艦陥，帖亀軒　朝蟹五　松		42	[]	imported	
STG0048/ID00003/000008	stage	STG0048	ID00003	8	01_스테이지 xlsx 모음/STG0048(30화)-ID00003-script-통합.xlsx	3f347961b07edeeadf08c229ca7e2943b809ce0eb6b276770de1cbbf4f59cd16	5522eea27f7d2d12d5887c99d046be62e139b7e41d8a08fdd04c47ebb78d7856	카나메		카나메	朝蟹五		6	[]	imported	
STG0048/ID00003/000009	stage	STG0048	ID00003	9	01_스테이지 xlsx 모음/STG0048(30화)-ID00003-script-통합.xlsx	3f347961b07edeeadf08c229ca7e2943b809ce0eb6b276770de1cbbf4f59cd16	9a9dfde64a45f5f5580ba89343188c276872949ce5b481b15fffbe0543a6d298	하아...		네…	革…		4	[]	imported	
STG0048/ID00003/000010	stage	STG0048	ID00003	10	01_스테이지 xlsx 모음/STG0048(30화)-ID00003-script-통합.xlsx	3f347961b07edeeadf08c229ca7e2943b809ce0eb6b276770de1cbbf4f59cd16	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
STG0048/ID00003/000011	stage	STG0048	ID00003	11	01_스테이지 xlsx 모음/STG0048(30화)-ID00003-script-통합.xlsx	3f347961b07edeeadf08c229ca7e2943b809ce0eb6b276770de1cbbf4f59cd16	9556f24051e0b8ee058423b54b0af6415977c5c51d7e20a075661fdf89f6e49c	기분이 좋으신가 봐요.		기분이 안 좋아 보이시네요	奄歳戚　照　疏焼　左戚獣革推		28	[]	imported	
STG0048/ID00003/000012	stage	STG0048	ID00003	12	01_스테이지 xlsx 모음/STG0048(30화)-ID00003-script-통합.xlsx	3f347961b07edeeadf08c229ca7e2943b809ce0eb6b276770de1cbbf4f59cd16	a519ccba0bfa159d55e33611bd4647e901611e1496bbec8c864fc62074351441	...혹시, 사가라씨와 무슨 일이 있다던가?		…혹시 사가라 씨와 무슨 일이 있었나요?	…箸獣　紫亜虞　松人　巷充　析戚　赤醸蟹推？		44	[]	imported	
STG0048/ID00003/000013	stage	STG0048	ID00003	13	01_스테이지 xlsx 모음/STG0048(30화)-ID00003-script-통합.xlsx	3f347961b07edeeadf08c229ca7e2943b809ce0eb6b276770de1cbbf4f59cd16	5522eea27f7d2d12d5887c99d046be62e139b7e41d8a08fdd04c47ebb78d7856	카나메		카나메	朝蟹五		6	[]	imported	
