entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0022/ID00003/000004	stage	STG0022	ID00003	4	01_스테이지 xlsx 모음/STG0022(11화C)-ID00003-script-통합.xlsx	93a1d6ee5139081ae6df98772476cd0ad3e253cfe735cf2d06644a0278eb03a1	d02cd026cd4a638390a75482d44d48c85b5550baa573b181ee83b5f9795160a5	~지상 전함 브리지~		　　　　　　　　～지상전함 브리지～	　　　　　　　　～走雌穿敗　崎軒走～		36	[]	imported	
STG0022/ID00003/000005	stage	STG0022	ID00003	5	01_스테이지 xlsx 모음/STG0022(11화C)-ID00003-script-통합.xlsx	93a1d6ee5139081ae6df98772476cd0ad3e253cfe735cf2d06644a0278eb03a1	b48d2ffa91ead62c1047689b864fd25cf87abcab69ab46b3622990b18e027572	보손		보슨	左充		4	[]	imported	
STG0022/ID00003/000006	stage	STG0022	ID00003	6	01_스테이지 xlsx 모음/STG0022(11화C)-ID00003-script-통합.xlsx	93a1d6ee5139081ae6df98772476cd0ad3e253cfe735cf2d06644a0278eb03a1	391827f7b67c5e0828cd5d4b7bd3eae1d2e00179d0e8840c8bf676a9a5e74795	이상이 아코바 거리의 상황입니다		…이상이 아・코바 마을의 상황입니다	…戚雌戚　焼・坪郊　原聖税　雌伐脊艦陥		38	[]	imported	
STG0022/ID00003/000007	stage	STG0022	ID00003	7	01_스테이지 xlsx 모음/STG0022(11화C)-ID00003-script-통합.xlsx	93a1d6ee5139081ae6df98772476cd0ad3e253cfe735cf2d06644a0278eb03a1	323fcf87022bb4ddcb006e2abb72474e1eff854b3349bed1fc1cb5360a5d3d72	테이타니아		테이타니아	砺戚展艦焼		10	[]	imported	
STG0022/ID00003/000008	stage	STG0022	ID00003	8	01_스테이지 xlsx 모음/STG0022(11화C)-ID00003-script-통합.xlsx	93a1d6ee5139081ae6df98772476cd0ad3e253cfe735cf2d06644a0278eb03a1	4a0f964fb8eb00f52e9b6f30ab4f1327945abbaceba57520d1d834b209fe2896	너희가 조율 중인 PS...		네놈들이 조정 중인 PS…	革叶級戚　繕舛　掻昔　ＰＳ…		28	[]	imported	
STG0022/ID00003/000009	stage	STG0022	ID00003	9	01_스테이지 xlsx 모음/STG0022(11화C)-ID00003-script-통합.xlsx	93a1d6ee5139081ae6df98772476cd0ad3e253cfe735cf2d06644a0278eb03a1	ed7807efd6cd559f97c17c0d74be0e42a785d0cc047a3dafd310e4a4241928eb	라다 니바(ラダ··ニーバは)는 어떻게 되어 있어?		라다・니바는 어떻게 되어가고 있지?	虞陥・艦郊澗　嬢胸惟　鞠嬢亜壱　赤走？		38	[]	imported	
STG0022/ID00003/000010	stage	STG0022	ID00003	10	01_스테이지 xlsx 모음/STG0022(11화C)-ID00003-script-통합.xlsx	93a1d6ee5139081ae6df98772476cd0ad3e253cfe735cf2d06644a0278eb03a1	b48d2ffa91ead62c1047689b864fd25cf87abcab69ab46b3622990b18e027572	보손		보슨	左充		4	[]	imported	
STG0022/ID00003/000011	stage	STG0022	ID00003	11	01_스테이지 xlsx 모음/STG0022(11화C)-ID00003-script-통합.xlsx	93a1d6ee5139081ae6df98772476cd0ad3e253cfe735cf2d06644a0278eb03a1	2d9e0194299e33873fd2dc1466d9ada4d6750004dae02b8662e81250f40bbd2b	하... 테스트는 순조롭게 진행되고 있습니다.		네…테스트는 순조롭게 진행되고 있습니다.몇번의	革…砺什闘澗　授繕罫惟　遭楳鞠壱　赤柔艦陥．護腰税		50	[]	imported	
STG0022/ID00003/000012	stage	STG0022	ID00003	12	01_스테이지 xlsx 모음/STG0022(11화C)-ID00003-script-통합.xlsx	93a1d6ee5139081ae6df98772476cd0ad3e253cfe735cf2d06644a0278eb03a1	41374da0442f1b2554ce8079e614469c4fe1c7a1f9dbf66825fa7a80fdbc0e03	앞으로 몇번의 실전을 반복하면, 실용도 문제 없을까 하고		실전을 반복하면 실용에도 문제없을 것 같습니다	叔穿聖　鋼差馬檎　叔遂拭亀　庚薦蒸聖　依　旭柔艦陥		50	[]	imported	
STG0022/ID00003/000013	stage	STG0022	ID00003	13	01_스테이지 xlsx 모음/STG0022(11화C)-ID00003-script-통합.xlsx	93a1d6ee5139081ae6df98772476cd0ad3e253cfe735cf2d06644a0278eb03a1	323fcf87022bb4ddcb006e2abb72474e1eff854b3349bed1fc1cb5360a5d3d72	테이타니아		테이타니아	砺戚展艦焼		10	[]	imported	
