entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0270-45화후분기/ID00003/000004	stage	STG0270-45화후분기	ID00003	4	01_스테이지 xlsx 모음/STG0270(45화후분기)-ID00003-script-통합.xlsx	4d26b1ff1a8f8ad8f421e15ba50d5dc5425076e12855036e5546f831b8af2a02	3fdec48383c7133f64da396ba110e97dc1b7c1aeb2436bfbb22304eee4557138	~미스릴 서태평양전대 고관용 집무실~		　　～미스릴 서태평양 전대 고관용 집무실～	　　～耕什険　辞殿汝丞　穿企　壱淫遂　増巷叔～		46	[]	imported	
STG0270-45화후분기/ID00003/000005	stage	STG0270-45화후분기	ID00003	5	01_스테이지 xlsx 모음/STG0270(45화후분기)-ID00003-script-통합.xlsx	4d26b1ff1a8f8ad8f421e15ba50d5dc5425076e12855036e5546f831b8af2a02	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
STG0270-45화후분기/ID00003/000006	stage	STG0270-45화후분기	ID00003	6	01_스테이지 xlsx 모음/STG0270(45화후분기)-ID00003-script-통합.xlsx	4d26b1ff1a8f8ad8f421e15ba50d5dc5425076e12855036e5546f831b8af2a02	d779ca1a5d56d3eeefc68051d7b62997b8d34d69b8e7c48e91bd103d802c19a4	미케네의 신들…		…미케네의 신들…	…耕追革税　重級…		18	[]	imported	
STG0270-45화후분기/ID00003/000007	stage	STG0270-45화후분기	ID00003	7	01_스테이지 xlsx 모음/STG0270(45화후분기)-ID00003-script-통합.xlsx	4d26b1ff1a8f8ad8f421e15ba50d5dc5425076e12855036e5546f831b8af2a02	56b24574d0fdd64ccff4166c238fd736e258f1d8ab0f25f80bdc4d4a2c13b9c3	무서운 적이군요		무서운 적이네요	巷辞錘　旋戚革推		16	[]	imported	
STG0270-45화후분기/ID00003/000008	stage	STG0270-45화후분기	ID00003	8	01_스테이지 xlsx 모음/STG0270(45화후분기)-ID00003-script-통합.xlsx	4d26b1ff1a8f8ad8f421e15ba50d5dc5425076e12855036e5546f831b8af2a02	4e8329f64c8c5e2ea25f912c5631a78b48d940dc630bf3c144dd86a90a31579c	오쓰카		오오누키	神神刊徹		8	[]	imported	
STG0270-45화후분기/ID00003/000009	stage	STG0270-45화후분기	ID00003	9	01_스테이지 xlsx 모음/STG0270(45화후분기)-ID00003-script-통합.xlsx	4d26b1ff1a8f8ad8f421e15ba50d5dc5425076e12855036e5546f831b8af2a02	3185d9e75c749471dc9a38a6025981417791fdff39f7affc5c459bedd1562e44	음...		음…	製…		4	[]	imported	
STG0270-45화후분기/ID00003/000010	stage	STG0270-45화후분기	ID00003	10	01_스테이지 xlsx 모음/STG0270(45화후분기)-ID00003-script-통합.xlsx	4d26b1ff1a8f8ad8f421e15ba50d5dc5425076e12855036e5546f831b8af2a02	9e7587848a77980d4cd27dc42e769d0da63cfdf649b0429e14008a06ab5b4062	유일한 구원은, 패거리들이 바알이나 제미니스와		유일한 희망은 녀석들이 바알이나 제미니스와	政析廃　費諺精　橿汐級戚　郊硝戚蟹　薦耕艦什人		46	[]	imported	
STG0270-45화후분기/ID00003/000011	stage	STG0270-45화후분기	ID00003	11	01_스테이지 xlsx 모음/STG0270(45화후분기)-ID00003-script-통합.xlsx	4d26b1ff1a8f8ad8f421e15ba50d5dc5425076e12855036e5546f831b8af2a02	f8437192c61c9757b800f931d633530ac749c3e551f30936eb9f185fd1141370	적대하고 있는 모양이다		적대하고 있다는 것 같다는 사실이다	旋企馬壱　赤陥澗　依　旭陥澗　紫叔戚陥		38	[]	imported	
STG0270-45화후분기/ID00003/000012	stage	STG0270-45화후분기	ID00003	12	01_스테이지 xlsx 모음/STG0270(45화후분기)-ID00003-script-통합.xlsx	4d26b1ff1a8f8ad8f421e15ba50d5dc5425076e12855036e5546f831b8af2a02	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
STG0270-45화후분기/ID00003/000013	stage	STG0270-45화후분기	ID00003	13	01_스테이지 xlsx 모음/STG0270(45화후분기)-ID00003-script-통합.xlsx	4d26b1ff1a8f8ad8f421e15ba50d5dc5425076e12855036e5546f831b8af2a02	f5c00a204da60e6f93e2da6638b1bba48541eec26aa7127003de4fc98e2947ed	하지만 그런 존재가		하지만 그런 존재가 인류를 위해 움직여	馬走幻　益訓　糎仙亜　昔嫌研　是背　崇送食		42	[]	imported	
