entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0026/ID00003/000002	stage	STG0026	ID00003	2	01_스테이지 xlsx 모음/STG0026(15화)-ID00003-script-통합.xlsx	b8d5ad7ded5bf37ef6dc882e16c0d3f7f09b07aa0009b980c0f79f787d275b39	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
STG0026/ID00003/000003	stage	STG0026	ID00003	3	01_스테이지 xlsx 모음/STG0026(15화)-ID00003-script-통합.xlsx	b8d5ad7ded5bf37ef6dc882e16c0d3f7f09b07aa0009b980c0f79f787d275b39	ecee91006c9520c80af00bd84e9cb4ac308e88d62c66efebb1660a92c84cfbcd	아... 그...		아…저…	焼…煽…		8	[]	imported	
STG0026/ID00003/000004	stage	STG0026	ID00003	4	01_스테이지 xlsx 모음/STG0026(15화)-ID00003-script-통합.xlsx	b8d5ad7ded5bf37ef6dc882e16c0d3f7f09b07aa0009b980c0f79f787d275b39	50ed163452aa7c918c13cd7a34d1127d9206f817e8d561c83719af230cec2266	미코노		미코노	耕坪葛		6	[]	imported	
STG0026/ID00003/000005	stage	STG0026	ID00003	5	01_스테이지 xlsx 모음/STG0026(15화)-ID00003-script-통합.xlsx	b8d5ad7ded5bf37ef6dc882e16c0d3f7f09b07aa0009b980c0f79f787d275b39	c374ea2d32f2be3ab80f385b07d69aa439a3005ffbc88233cec7e6a2a2760fda	저…입니까?		저…요?	煽…推？		8	[]	imported	
STG0026/ID00003/000006	stage	STG0026	ID00003	6	01_스테이지 xlsx 모음/STG0026(15화)-ID00003-script-통합.xlsx	b8d5ad7ded5bf37ef6dc882e16c0d3f7f09b07aa0009b980c0f79f787d275b39	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
STG0026/ID00003/000007	stage	STG0026	ID00003	7	01_스테이지 xlsx 모음/STG0026(15화)-ID00003-script-통합.xlsx	b8d5ad7ded5bf37ef6dc882e16c0d3f7f09b07aa0009b980c0f79f787d275b39	367e2f6f9796e6320c255e2ef535a0ca665c93895615697cc8b30b10d98f28fd	음… 좋아하시나요, 『아쿠에리아가 춤추는 하늘』?		음…좋아하나요,『《아쿠에리아가 춤추는 하늘》』?	製…疏焼馬蟹推，『《焼庭拭軒焼亜　茶蓄澗　馬潅》』？		52	[]	imported	
STG0026/ID00003/000008	stage	STG0026	ID00003	8	01_스테이지 xlsx 모음/STG0026(15화)-ID00003-script-통합.xlsx	b8d5ad7ded5bf37ef6dc882e16c0d3f7f09b07aa0009b980c0f79f787d275b39	50ed163452aa7c918c13cd7a34d1127d9206f817e8d561c83719af230cec2266	미코노		미코노	耕坪葛		6	[]	imported	
STG0026/ID00003/000009	stage	STG0026	ID00003	9	01_스테이지 xlsx 모음/STG0026(15화)-ID00003-script-통합.xlsx	b8d5ad7ded5bf37ef6dc882e16c0d3f7f09b07aa0009b980c0f79f787d275b39	416971cf3d739f43b7054eb76963113d99478742bb75e17b70d2ce3babe3e7a7	어...		에…	拭…		4	[]	imported	
STG0026/ID00003/000010	stage	STG0026	ID00003	10	01_스테이지 xlsx 모음/STG0026(15화)-ID00003-script-통합.xlsx	b8d5ad7ded5bf37ef6dc882e16c0d3f7f09b07aa0009b980c0f79f787d275b39	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
STG0026/ID00003/000011	stage	STG0026	ID00003	11	01_스테이지 xlsx 모음/STG0026(15화)-ID00003-script-통합.xlsx	b8d5ad7ded5bf37ef6dc882e16c0d3f7f09b07aa0009b980c0f79f787d275b39	ace6bcc4b4d726c3b4a361661ceaac94201f5ccf34637871b993482ad12a83c2	그... 라스트 신에서 울고 있던 걸 봤기 때문에...		그…마지막 장면에서 울고 있는 걸 봐서…	益…原走厳　舌檎拭辞　随壱　赤澗　杏　坐辞…		44	[]	imported	
STG0026/ID00003/000012	stage	STG0026	ID00003	12	01_스테이지 xlsx 모음/STG0026(15화)-ID00003-script-통합.xlsx	b8d5ad7ded5bf37ef6dc882e16c0d3f7f09b07aa0009b980c0f79f787d275b39	50ed163452aa7c918c13cd7a34d1127d9206f817e8d561c83719af230cec2266	미코노		미코노	耕坪葛		6	[]	imported	
STG0026/ID00003/000013	stage	STG0026	ID00003	13	01_스테이지 xlsx 모음/STG0026(15화)-ID00003-script-통합.xlsx	b8d5ad7ded5bf37ef6dc882e16c0d3f7f09b07aa0009b980c0f79f787d275b39	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		……	……		4	[]	imported	
STG0026/ID00003/000014	stage	STG0026	ID00003	14	01_스테이지 xlsx 모음/STG0026(15화)-ID00003-script-통합.xlsx	b8d5ad7ded5bf37ef6dc882e16c0d3f7f09b07aa0009b980c0f79f787d275b39	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
