entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0039/ID00003/000002	stage	STG0039	ID00003	2	01_스테이지 xlsx 모음/STG0039(27화A)-ID00003-script-통합.xlsx	9f57dc6028a0501cbc262d0fc70398e3557aa7b32131cca19155605da8de5165	5f85a7dfcca87cd4668c7000e0d11ce77dc2924916955d0a6e4de6ea07f3e7b8	카오루		카오루	朝神欠		6	[]	imported	
STG0039/ID00003/000003	stage	STG0039	ID00003	3	01_스테이지 xlsx 모음/STG0039(27화A)-ID00003-script-통합.xlsx	9f57dc6028a0501cbc262d0fc70398e3557aa7b32131cca19155605da8de5165	bde9eba9c37ac4240fe9cf6fd1555569d85b77072ebac7f4ea9ad30fcbb4bd46	야		안녕	照括		4	[]	imported	
STG0039/ID00003/000004	stage	STG0039	ID00003	4	01_스테이지 xlsx 모음/STG0039(27화A)-ID00003-script-통합.xlsx	9f57dc6028a0501cbc262d0fc70398e3557aa7b32131cca19155605da8de5165	545cd45a0ba7d589607a321ac4e7dc9e28d015e458797c86071494939a8efe92	후도		후도	板亀		4	[]	imported	
STG0039/ID00003/000005	stage	STG0039	ID00003	5	01_스테이지 xlsx 모음/STG0039(27화A)-ID00003-script-통합.xlsx	9f57dc6028a0501cbc262d0fc70398e3557aa7b32131cca19155605da8de5165	d9c82a14df36df07dbd7a665b66bfb4fd7bb34d0700ed61e4c026e4cc079d128	건강해 보이는군		잘 지냈나	設　走蛎蟹		10	[]	imported	
STG0039/ID00003/000006	stage	STG0039	ID00003	6	01_스테이지 xlsx 모음/STG0039(27화A)-ID00003-script-통합.xlsx	9f57dc6028a0501cbc262d0fc70398e3557aa7b32131cca19155605da8de5165	5f85a7dfcca87cd4668c7000e0d11ce77dc2924916955d0a6e4de6ea07f3e7b8	카오루		카오루	朝神欠		6	[]	imported	
STG0039/ID00003/000007	stage	STG0039	ID00003	7	01_스테이지 xlsx 모음/STG0039(27화A)-ID00003-script-통합.xlsx	9f57dc6028a0501cbc262d0fc70398e3557aa7b32131cca19155605da8de5165	21a65a4baebcade89cd260fe041daa943bc955aeb8fafad7a63845e02e240177	뭐 그렇지.		그럭저럭	益薫煽薫		8	[]	imported	
STG0039/ID00003/000008	stage	STG0039	ID00003	8	01_스테이지 xlsx 모음/STG0039(27화A)-ID00003-script-통합.xlsx	9f57dc6028a0501cbc262d0fc70398e3557aa7b32131cca19155605da8de5165	95e975fad3c14ee5fb27053fccd275b74560033f070bad049e69634f39cc847e	지금 기분은 나쁘지 않다		지금 기분은 나쁘지 않아	走榎　奄歳精　蟹孜走　省焼		26	[]	imported	
STG0039/ID00003/000009	stage	STG0039	ID00003	9	01_스테이지 xlsx 모음/STG0039(27화A)-ID00003-script-통합.xlsx	9f57dc6028a0501cbc262d0fc70398e3557aa7b32131cca19155605da8de5165	545cd45a0ba7d589607a321ac4e7dc9e28d015e458797c86071494939a8efe92	후도		후도	板亀		4	[]	imported	
STG0039/ID00003/000010	stage	STG0039	ID00003	10	01_스테이지 xlsx 모음/STG0039(27화A)-ID00003-script-통합.xlsx	9f57dc6028a0501cbc262d0fc70398e3557aa7b32131cca19155605da8de5165	65e0efd558412df7efe6c17024145d0c92dc735d1c869a0cc3fdb6918a68eae0	그 소년이라...		그 소년인가…	益　社鰍昔亜…		14	[]	imported	
STG0039/ID00003/000011	stage	STG0039	ID00003	11	01_스테이지 xlsx 모음/STG0039(27화A)-ID00003-script-통합.xlsx	9f57dc6028a0501cbc262d0fc70398e3557aa7b32131cca19155605da8de5165	5f85a7dfcca87cd4668c7000e0d11ce77dc2924916955d0a6e4de6ea07f3e7b8	카오루		카오루	朝神欠		6	[]	imported	
