entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0311/ID00003/000004	dlc	DLC0311	ID00003	4	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	a61ad9c6bdfa8b40e593358ae721d17d3f585047664b55628f7f62b0a08495e9	~넬 아가마 통신실~		　　　　　　　～넬・아가마　통신실～	　　　　　　　～楽・焼亜原　搭重叔～		36	[]	imported	
DLC0311/ID00003/000005	dlc	DLC0311	ID00003	5	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신		신	重		2	[]	imported	
DLC0311/ID00003/000006	dlc	DLC0311	ID00003	6	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	06e2356de4b23f463f2a0dd476495b30e51caf8e4db0a37b69cde1e850db3a32	…그런 이유로, 어떻게든 오브를 지킬 수 있었어		…그런 이유로,간신히 오브를 지켰어	…益訓　戚政稽，娃重備　神崎研　走鍔嬢		38	[]	imported	
DLC0311/ID00003/000007	dlc	DLC0311	ID00003	7	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	49d7a749c7d9367cc6c79586eff87d9b11ea93fe7634fbd264c1488f064853aa	루나마리아		루나마리아	欠蟹原軒焼		10	[]	imported	
DLC0311/ID00003/000008	dlc	DLC0311	ID00003	8	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	bb0916c4456b58efee80e20b3186b6f5473230db911c733e3eff8c20f47b5d9d	잘됐다.		다행이다	陥楳戚陥		8	[]	imported	
DLC0311/ID00003/000009	dlc	DLC0311	ID00003	9	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	feb8832cdf421615dd754360af3c5b3fa7a74c421d21d5841748c89f17330100	키라상도 시간에 맞췄어		키라 씨도 시간에 맞춰 왔구나	徹虞　松亀　獣娃拭　限仲　尽姥蟹		32	[]	imported	
DLC0311/ID00003/000010	dlc	DLC0311	ID00003	10	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신		신	重		2	[]	imported	
DLC0311/ID00003/000011	dlc	DLC0311	ID00003	11	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	1b392a119a4a6f89706a183d1f3b55a36ac32456cdf8606e3bebeb1bb2845f29	응…….		응…	誓…		4	[]	imported	
DLC0311/ID00003/000012	dlc	DLC0311	ID00003	12	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	49d7a749c7d9367cc6c79586eff87d9b11ea93fe7634fbd264c1488f064853aa	루나마리아		루나마리아	欠蟹原軒焼		10	[]	imported	
DLC0311/ID00003/000013	dlc	DLC0311	ID00003	13	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	9d60a89e1609f0e6f58eea401efd4ab755eb7126fbed804dacf0ccb41c12a400	그 얼굴... 여러 가지로 다 나갔나 보네.		그 얼굴…여러 가지로 극복한 것 같네	益　杖閏…食君　亜走稽　駅差廃　依　旭革		40	[]	imported	
DLC0311/ID00003/000014	dlc	DLC0311	ID00003	14	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	547dcef5ea522db431a2a536184ded02c8bf041c7dfca2ad64abcf617250cef5	오브의 일이라던가 키라씨와의 일이라던가		오브의 일이라든가,키라 씨와의 일이라든가	神崎税　析戚虞窮亜，徹虞　松人税　析戚虞窮亜		44	[]	imported	
DLC0311/ID00003/000015	dlc	DLC0311	ID00003	15	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신		신	重		2	[]	imported	
DLC0311/ID00003/000016	dlc	DLC0311	ID00003	16	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	6a34b5b380c6164306960f888497888e79df339b19be72916618f9877e38da89	오브 쪽은 어쨌든,		오브 쪽은 차치하고	神崎　楕精　託帖馬壱		20	[]	imported	
DLC0311/ID00003/000017	dlc	DLC0311	ID00003	17	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	2d895e44469d1458b5e9467282282745fa4c8086a6a6f1d3f0e283c31a852926	키라씨와의 일은 진작에 해결했어		키라 씨와의 일은,진작에 해결했어	徹虞　松人税　析精，遭拙拭　背衣梅嬢		36	[]	imported	
DLC0311/ID00003/000018	dlc	DLC0311	ID00003	18	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	49d7a749c7d9367cc6c79586eff87d9b11ea93fe7634fbd264c1488f064853aa	루나마리아		루나마리아	欠蟹原軒焼		10	[]	imported	
DLC0311/ID00003/000019	dlc	DLC0311	ID00003	19	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	9b0f2455fd02beca531e00167051d8fb1a2df1fb0e9a8f4af78c3492795dfe40	신은 좋네, 단순하고		신은 좋겠네,단순해서	重精　疏畏革，舘授背辞		22	[]	imported	
DLC0311/ID00003/000020	dlc	DLC0311	ID00003	20	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신		신	重		2	[]	imported	
DLC0311/ID00003/000021	dlc	DLC0311	ID00003	21	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	4082c1ed6254033b3a53900704b4442ae228df7589b4bf2dfde5f1ce467fb8f1	그게 무슨 뜻이야?		무슨 뜻이야,그건?	巷充　倶戚醤，益闇？		20	[]	imported	
DLC0311/ID00003/000022	dlc	DLC0311	ID00003	22	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	49d7a749c7d9367cc6c79586eff87d9b11ea93fe7634fbd264c1488f064853aa	루나마리아		루나마리아	欠蟹原軒焼		10	[]	imported	
DLC0311/ID00003/000023	dlc	DLC0311	ID00003	23	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	afa70657e060cb0e05ebaa175b0ca32a63929a0b7afe9397962b8577c484c462	신경 안 써도 돼.		신경 쓰지 않아도 돼	重井　床走　省焼亀　掬		22	[]	imported	
DLC0311/ID00003/000024	dlc	DLC0311	ID00003	24	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	ab3af764fb6c17515de47c7c96b8435c8c048f68330366bc36cfa5f057a445ee	그런 점이 좋으니까		그런 점이 좋으니까	益訓　繊戚　疏生艦猿		20	[]	imported	
DLC0311/ID00003/000025	dlc	DLC0311	ID00003	25	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신		신	重		2	[]	imported	
DLC0311/ID00003/000026	dlc	DLC0311	ID00003	26	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	3749990c6b6a4505c44c6d2960126082e1a32a0e5bb3ed024bf708fb90712fed	야, 갑자기 뭐야!		이,갑자기,뭐야!	戚，逢切奄，更醤！		18	[]	imported	
DLC0311/ID00003/000027	dlc	DLC0311	ID00003	27	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	49d7a749c7d9367cc6c79586eff87d9b11ea93fe7634fbd264c1488f064853aa	루나마리아		루나마리아	欠蟹原軒焼		10	[]	imported	
DLC0311/ID00003/000028	dlc	DLC0311	ID00003	28	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	3ddddbe98d2e74e2849906c775945e61bc88bc197545b91727238321092a3862	쑥스러워서~		부끄러워하는군～	採塊君趨馬澗浦～		16	[]	imported	
DLC0311/ID00003/000029	dlc	DLC0311	ID00003	29	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	49d7a749c7d9367cc6c79586eff87d9b11ea93fe7634fbd264c1488f064853aa	루나마리아		루나마리아	欠蟹原軒焼		10	[]	imported	
DLC0311/ID00003/000030	dlc	DLC0311	ID00003	30	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	12584fc93f6ae7741d7dd84a4a0601031b2f973bfdebe2f5dd285197ad3bce94	그래도 정말 다행이다.		그래도,정말 다행이다	益掘亀，舛源　陥楳戚陥		22	[]	imported	
DLC0311/ID00003/000031	dlc	DLC0311	ID00003	31	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	ee8eaf3beca27bf75a31a394aad0224cfb21a03ad49844e4120545c8b3c3aa9c	두사람의 마음이 하나가 되어		두 사람의 마음이 하나가 되어서	砧　紫寓税　原製戚　馬蟹亜　鞠嬢辞		34	[]	imported	
DLC0311/ID00003/000032	dlc	DLC0311	ID00003	32	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신		신	重		2	[]	imported	
DLC0311/ID00003/000033	dlc	DLC0311	ID00003	33	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	7c337e8bb0c55a89a178904aa82ccf00991798101ce2d577742bfcd8ce89f993	(나랑 키라씨...인가...)		(나와 키라 씨…인가…)	（蟹人　徹虞　松…昔亜…）		26	[]	imported	
DLC0311/ID00003/000034	dlc	DLC0311	ID00003	34	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신		신	重		2	[]	imported	
DLC0311/ID00003/000035	dlc	DLC0311	ID00003	35	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	6eaffc4d023dbe9a1ebccb72c70a25b21c747bb53b561bce8faca37ed77adb88	(혹시 키라상도		(혹시,키라 씨도 여러 가지로	（箸獣，徹虞　松亀　食君　亜走稽		32	[]	imported	
DLC0311/ID00003/000036	dlc	DLC0311	ID00003	36	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	65325eb8ddf1da0304fc9eb8dc0f43aff9399583bf3a502acb09d9481108bf2f	여러가지로 옛날의 일에 신경쓰고 있던 것일까...)		옛날 일을 신경 쓰고 있었던 걸까…)	疹劾　析聖　重井　床壱　赤醸揮　杏猿…）		40	[]	imported	
DLC0311/ID00003/000039	dlc	DLC0311	ID00003	39	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	17758ccede6e07be2e7bcb97f447972cfae817b4710c568341393692d0343429	　　　　　　~프톨레마이오스 2개 격납고~		　　　　　　～프톨레마이오스2개　격납고～	　　　　　　～覗島傾原戚神什２鯵　維崖壱～		42	[]	imported	
DLC0311/ID00003/000040	dlc	DLC0311	ID00003	40	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	94e7c36184bb09c51f388e0567dbce7cf9d7352a579be7fa2453421fedc95fc8	찰나		세츠나	室苧蟹		6	[]	imported	
DLC0311/ID00003/000041	dlc	DLC0311	ID00003	41	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	3003d13505f150710ac7901d6a619071779fb72a060214adb3b30d9bf9a71ba8	키라 야마토...		키라 야마토…	徹虞　醤原塘…		14	[]	imported	
DLC0311/ID00003/000042	dlc	DLC0311	ID00003	42	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	f568cc1670d935a0151b9b317c3af1068eaa9b69f64c94bd5148cbfd78170cbe	키라		키라	徹虞		4	[]	imported	
DLC0311/ID00003/000043	dlc	DLC0311	ID00003	43	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	e4e4c64ad0b7c04d9c6e62df791ceb78273701c802687226e338d908cf222168	뭐야, 찰나?		무슨 일이야,세츠나?	巷充　析戚醤，室苧蟹？		22	[]	imported	
DLC0311/ID00003/000044	dlc	DLC0311	ID00003	44	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	94e7c36184bb09c51f388e0567dbce7cf9d7352a579be7fa2453421fedc95fc8	찰나		세츠나	室苧蟹		6	[]	imported	
DLC0311/ID00003/000045	dlc	DLC0311	ID00003	45	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
DLC0311/ID00003/000046	dlc	DLC0311	ID00003	46	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	f568cc1670d935a0151b9b317c3af1068eaa9b69f64c94bd5148cbfd78170cbe	키라		키라	徹虞		4	[]	imported	
DLC0311/ID00003/000047	dlc	DLC0311	ID00003	47	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	fadbc5d0d897940ffcf2111dde60d5c2fa8162910ed987a226e91f1f64754fe9	무슨일이야?		왜 그래?	訊　益掘？		10	[]	imported	
DLC0311/ID00003/000048	dlc	DLC0311	ID00003	48	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	a4b999dd73353eb4e5bdd638d11e2944d04a4f950e8c3660d76a9f406671e6ce	잠자코 있으면 모를 거야		가만히 있으면,모르겠어	亜幻備　赤生檎，乞牽畏嬢		24	[]	imported	
DLC0311/ID00003/000049	dlc	DLC0311	ID00003	49	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	94e7c36184bb09c51f388e0567dbce7cf9d7352a579be7fa2453421fedc95fc8	찰나		세츠나	室苧蟹		6	[]	imported	
DLC0311/ID00003/000050	dlc	DLC0311	ID00003	50	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	c0e67ef87aafbd70fc665141ccd1a10ef108cbc0f947e6f7a87e3d12b951c97b	대답하기 싫으면 대답하지 않아도 된다.		…대답하고 싶지 않으면,대답하지 않아도 돼	…企岩馬壱　粛走　省生檎，企岩馬走　省焼亀　掬		46	[]	imported	
DLC0311/ID00003/000051	dlc	DLC0311	ID00003	51	!DLC/DLC0311_cpk/DLC0311(DLC-11)-ID00003-script-통합.xlsx	44fe121048f7a78f0b8046fc720653879c4cf0270834636b61f1f655a40bd597	0b43c8173efbd3943b048799f0af157c9cf2deea7200083e06e697695da56758	신과의 과거를 가르쳐 주지 않겠니		신과의 과거를 알려주지 않겠어?	重引税　引暗研　硝形爽走　省畏嬢？		34	[]	imported	
