entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0006/ID00003/000004	stage	STG0006	ID00003	4	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	08b289523ec2908ffc4f4ff6581ed3625ae85c09cea431fa4660047b5343436b	~넬 아가마 브리핑룸~	        ~ 넬 아가마 브리핑룸 ~	        ~ 넬 아가마 브리핑룸 ~	　　　　　～楽・焼亜原　崎軒芭結～		34	[]	imported	
STG0006/ID00003/000005	stage	STG0006	ID00003	5	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	b6d6a8298429bd37732a07b50eccf43d6e02170d40cd786dc557ea15caa41c39	오토	오토	오토	進塘		4	[]	imported	
STG0006/ID00003/000006	stage	STG0006	ID00003	6	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	bb4b276d175d943bb1cb77b5e8bd8b4fd06950cd4eeba9485af1d179e1097479	넬 아가마에 오신 것을 환영합니다.	넬 아가마에 오신 것을 환영합니다.	넬 아가마에 오신 것을 환영합니다.	楽・焼亜原拭　神重　依聖　発慎杯艦陥		36	[]	imported	
STG0006/ID00003/000007	stage	STG0006	ID00003	7	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	e22428808c775dfc2d69deb371e5cb7fc9ff3b47510fff41484490888ebf6db2	내가 함장의 오토 미타스 대령입니다.	저는 함장인 오토 미타스 대령입니다.	저는 함장인 오토 미타스 대령입니다.	薦亜　敗舌昔　進塘・耕展什　企疎脊艦陥		38	[]	imported	
STG0006/ID00003/000008	stage	STG0006	ID00003	8	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	5669cc977af82c0ee7dde2833e63534732b88cad1ddfb83da5227744cf2df97d	제프리	제프리	제프리	薦覗軒		6	[]	imported	
STG0006/ID00003/000009	stage	STG0006	ID00003	9	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	26a73edc50a2043a82b67322601c03ed99554714f047aacdca0c06b83edce353	마크로스 쿼터 함장의	마크로스 쿼터 함장인	마크로스 쿼터 함장인	原滴稽什・汀斗　敗舌昔		22	[]	imported	
STG0006/ID00003/000010	stage	STG0006	ID00003	10	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	2b9bb4a81bedb0664138e70bfa3fac3693be8cf02fef81883ef74959a1d29f62	제프리 와일더 대령입니다.	제프리 와일더 대령입니다.	제프리 와일더 대령입니다.	薦覗軒・人析希　企疎脊艦陥		26	[]	imported	
STG0006/ID00003/000011	stage	STG0006	ID00003	11	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	9c367f3e854b3349c83d3454ce17ecdcb6f1d85e32234f1cf133166c21abc577	여기가 기동 부대 대장의 오즈마 리 소령입니다.	이쪽은 기동부대 대장인 오즈마 리 소좌입니다.	이쪽은 기동부대 대장인 오즈마 리 소좌입니다.	戚楕精　奄疑採企　企舌昔　神綜原・軒　社疎脊艦陥		48	[]	imported	
STG0006/ID00003/000012	stage	STG0006	ID00003	12	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	b6d6a8298429bd37732a07b50eccf43d6e02170d40cd786dc557ea15caa41c39	오토	오토	오토	進塘		4	[]	imported	
STG0006/ID00003/000013	stage	STG0006	ID00003	13	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	6ff67468cc2355a47325bc39e4d009a563d9a7aa6f4416d5acbf1f218eb3e403	그럼,이쪽의 스탭도 소개합시다.	그럼,이쪽 스태프도 소개하지요.	그럼,이쪽 스태프도 소개하지요.	益軍，戚楕　什殿覗亀　社鯵馬倉		30	[]	imported	
STG0006/ID00003/000014	stage	STG0006	ID00003	14	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	203d6a46bd521215d51c3763efd4b53a81011e2e9fed4fe8f57d126cc3f0e1de	그녀는 부장의 레이엄 볼린 네어 중령…	그녀는 부장인 레이엄 보린네아 중좌…	그녀는 부장인 레이엄 보린네아 중좌…	益橿澗　採敗舌昔　軒章・左軒革嬢　掻疎…		40	[]	imported	
STG0006/ID00003/000015	stage	STG0006	ID00003	15	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	80d1fc1e28247b252bd07d4e2ab01eebc887d6ecb1bf63100571bd0316698d67	레이엄	레이엄	레이엄	軒章		4	[]	imported	
STG0006/ID00003/000016	stage	STG0006	ID00003	16	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	68414bd403e6c610553baf2117b86d65e81982b0fc5e3e9fc1a80473f3cd5d7a	감사합니다.	잘 부탁드립니다.	잘 부탁드립니다.	設　採店球験艦陥		16	[]	imported	
STG0006/ID00003/000017	stage	STG0006	ID00003	17	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	b6d6a8298429bd37732a07b50eccf43d6e02170d40cd786dc557ea15caa41c39	오토	오토	오토	進塘		4	[]	imported	
STG0006/ID00003/000018	stage	STG0006	ID00003	18	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	cfc5aef0fdb4b9ca0586275c5c2b29fe89a08b4fa2c790691c0853a4bb66bbb3	그리고 에코의 다구자 맥클 중령과	그리고,에코즈의 다구자 맥클 중좌와	그리고,에코즈의 다구자 맥클 중좌와	益軒壱，拭坪綜税　陥姥切・原悌　掻疎人		38	[]	imported	
STG0006/ID00003/000019	stage	STG0006	ID00003	19	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	2972764f3bdb60dee39616664cd84aec445ed77732b1b79c582fa26f96b0f93f	그 부관의 콘로이 하겐센 소령입니다.	그 부관인 콘로이 하켄젠 소좌입니다.	그 부관인 콘로이 하켄젠 소좌입니다.	益　採淫昔　嬬稽戚・馬意湿　社疎脊艦陥		38	[]	imported	
STG0006/ID00003/000020	stage	STG0006	ID00003	20	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	5669cc977af82c0ee7dde2833e63534732b88cad1ddfb83da5227744cf2df97d	제프리	제프리	제프리	薦覗軒		6	[]	imported	
STG0006/ID00003/000021	stage	STG0006	ID00003	21	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	47cf723fdc4e204c2ff02fa71c500b502686ade74d92ecb39f60e0fbd0036ad9	어…	호오…	호오…	硲神…		6	[]	imported	
STG0006/ID00003/000022	stage	STG0006	ID00003	22	01_스테이지 xlsx 모음/STG0006(6화A)-ID00003-script-통합.xlsx	6bd62bab9eb992bd17fcc44b21f11467517e3cb6d448634626ca3aa258c68f54	5c5285e5bf5832d410d3ca25c68cbeeb7c034db1910f907c84cd15278637700d	오즈마	오즈마	오즈마	神綜原		6	[]	imported	
