entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0028/ID00003/000004	stage	STG0028	ID00003	4	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	39adb489d0bbdead255223c06ad3539107d89b1371fb82cfd7bee9e51bd4be96	~네엘 아가마 격납고~		　　　　　　　～넬・아가마 격납고～	　　　　　　　～楽・焼亜原　維崖壱～		36	[]	imported	
STG0028/ID00003/000005	stage	STG0028	ID00003	5	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	275b5717c58f3061ea774b405d1571941f6d20bda75c70114599ed18ce1b66c1	오드리		오드리	神球軒		6	[]	imported	
STG0028/ID00003/000006	stage	STG0028	ID00003	6	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	5b22c2459d4c3c6b45d50a16c0b9692b99b75d0fd26cef6d5210770b72eaa938	(이 함을 탄지 벌써 한달이 다 되어간다...)		（이 함에 탄 지 벌써 한 달 가까이 되었어…）	（戚　敗拭　添　走　忽潤　廃　含　亜猿戚　鞠醸嬢…）		52	[]	imported	
STG0028/ID00003/000007	stage	STG0028	ID00003	7	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	275b5717c58f3061ea774b405d1571941f6d20bda75c70114599ed18ce1b66c1	오드리		오드리	神球軒		6	[]	imported	
STG0028/ID00003/000008	stage	STG0028	ID00003	8	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	8a64fcb732503105cc4f73379657a81925436aad701fffadbadfe5a32cbf687d	(네오 지온에 움직임은 볼 수 없지만,		（네오・지온에 움직임은 보이지 않지만,내가	（革神・走紳拭　崇送績精　左戚走　省走幻，鎧亜		46	[]	imported	
STG0028/ID00003/000009	stage	STG0028	ID00003	9	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	b85ed7d59f14fc8396b2965b3a51ed905d09914589f7c3351d1c48f418a42d2a	내가 실종된 일로 혼란이 일어나고 있는 것일까...)		실종된 것으로 혼란이 일어나고 있는 걸까…）	叔曽吉　依生稽　肇空戚　析嬢蟹壱　赤澗　杏猿…）		48	[]	imported	
STG0028/ID00003/000010	stage	STG0028	ID00003	10	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	275b5717c58f3061ea774b405d1571941f6d20bda75c70114599ed18ce1b66c1	오드리		오드리	神球軒		6	[]	imported	
STG0028/ID00003/000011	stage	STG0028	ID00003	11	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	421f2d167483b1e7e788f5eb572d9470732dc8f22a551b9264b2b56fcdea70f9	(그리고, 나는... 여기서 무엇을 할 것인가...)		（그리고,나는…여기서 무엇을 하려는 걸까…）	（益軒壱，蟹澗…食奄辞　巷譲聖　馬形澗　杏猿…）		48	[]	imported	
STG0028/ID00003/000012	stage	STG0028	ID00003	12	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	b36cd8018c110f113a367f9d832d2b74705bd2e47d755b38ef810a92c5bbbe07	배너지		버나지	獄蟹走		6	[]	imported	
STG0028/ID00003/000013	stage	STG0028	ID00003	13	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	49ff5d8b1162e926d0e76ebb3bf2a3d8745f4945039fe774a4b53ed282dda275	(오드리...)		（오드리…）	（神球軒…）		12	[]	imported	
STG0028/ID00003/000014	stage	STG0028	ID00003	14	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	190f638ba39892254a944d2a0f9527021e515af3a2cc6a1ec9e1bbeebd4307fc	듀오		듀오	朽神		4	[]	imported	
STG0028/ID00003/000015	stage	STG0028	ID00003	15	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	6ae15674d39d693492df424e1800560991a8780fa4577e4ba78aba896ed8ad4a	괜찮은 거야, 배너지?		괜찮아,버나지?	右諾焼，獄蟹走？		16	[]	imported	
STG0028/ID00003/000016	stage	STG0028	ID00003	16	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	f2c4d5eac2b827017312299736af056a5f1bbee464341f96dea0b6480012d582	오드리가 황혼해있네		오드리가 쓸쓸해하고 있잖아	神球軒亜　承承背馬壱　赤摂焼		28	[]	imported	
STG0028/ID00003/000017	stage	STG0028	ID00003	17	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	b36cd8018c110f113a367f9d832d2b74705bd2e47d755b38ef810a92c5bbbe07	배너지		버나지	獄蟹走		6	[]	imported	
STG0028/ID00003/000018	stage	STG0028	ID00003	18	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	8252b895fe9911f631b58d9a33511010a6cd81cecc5dd5b4e328ca993bce1194	내가 할 수 있는 일이 있다면 벌써부터 하고 있어		내가 할 수 있는 일이 있다면,벌써 하고 있어	鎧亜　拝　呪　赤澗　析戚　赤陥檎，忽潤　馬壱　赤嬢		50	[]	imported	
STG0028/ID00003/000019	stage	STG0028	ID00003	19	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	190f638ba39892254a944d2a0f9527021e515af3a2cc6a1ec9e1bbeebd4307fc	듀오		듀오	朽神		4	[]	imported	
STG0028/ID00003/000020	stage	STG0028	ID00003	20	01_스테이지 xlsx 모음/STG0028(17화A)-ID00003-script-통합.xlsx	ccc00fc03558d65e35583bdbf638725eac66e7e68526a2e38e34e0c47a323f4c	4a650b61d0090b1874b0017b9acc1b3a7b28702282f66a34a755a1ba40b91bb6	그렇게 포기하지 마.		그렇게 포기하지 마	益係惟　匂奄馬走　原		20	[]	imported	
