entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0200-4화-A분기/ID00003@FILE-ID00002/000004	stage	STG0200-4화-A분기	ID00003@FILE-ID00002	4	01_스테이지 xlsx 모음/STG0200(4화-A분기)-ID00002-script-통합.xlsx	183446dede93553439e8af7795f37ef9513bab06c0146f137615c5fb86a5b58b	aeccec5f934686ebc0c06e55430b136180883a99816fbf89f3dce0830b90f2b9	~마크로스 쿼터 격납고~		　　　　　～마크로스 쿼터 격납고～	　　　　　～原滴稽什　汀斗　維崖壱～		36	[]	imported	
STG0200-4화-A분기/ID00003@FILE-ID00002/000005	stage	STG0200-4화-A분기	ID00003@FILE-ID00002	5	01_스테이지 xlsx 모음/STG0200(4화-A분기)-ID00002-script-통합.xlsx	183446dede93553439e8af7795f37ef9513bab06c0146f137615c5fb86a5b58b	f4c56edde4ad6890f9fa91c875481829ff0c2c95aecbf70c984274a992803cc7	루카		루카	欠朝		4	[]	imported	
STG0200-4화-A분기/ID00003@FILE-ID00002/000006	stage	STG0200-4화-A분기	ID00003@FILE-ID00002	6	01_스테이지 xlsx 모음/STG0200(4화-A분기)-ID00002-script-통합.xlsx	183446dede93553439e8af7795f37ef9513bab06c0146f137615c5fb86a5b58b	63a32017afec5a11221f7e5d265eb3f37600996a0af6e8904aeacffb560ef60d	고마워요, $ n.		수고하셨습니다,$n 씨	呪壱馬写柔艦陥，$ｎ　松		24	"[""$n""]"	imported	
STG0200-4화-A분기/ID00003@FILE-ID00002/000007	stage	STG0200-4화-A분기	ID00003@FILE-ID00002	7	01_스테이지 xlsx 모음/STG0200(4화-A분기)-ID00002-script-통합.xlsx	183446dede93553439e8af7795f37ef9513bab06c0146f137615c5fb86a5b58b	1f03311488e93c016f734acfe0d283804824adfb6513fca9cf93a6ae6914ffd9	시뮬레이터 종료입니다.		시뮬레이터 종료입니다	獣皇傾戚斗　曽戟脊艦陥		22	[]	imported	
STG0200-4화-A분기/ID00003@FILE-ID00002/000008	stage	STG0200-4화-A분기	ID00003@FILE-ID00002	8	01_스테이지 xlsx 모음/STG0200(4화-A분기)-ID00002-script-통합.xlsx	183446dede93553439e8af7795f37ef9513bab06c0146f137615c5fb86a5b58b	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0200-4화-A분기/ID00003@FILE-ID00002/000009	stage	STG0200-4화-A분기	ID00003@FILE-ID00002	9	01_스테이지 xlsx 모음/STG0200(4화-A분기)-ID00002-script-통합.xlsx	183446dede93553439e8af7795f37ef9513bab06c0146f137615c5fb86a5b58b	66478293bff1f9a60a0da17ce5012f0d7fae4166174767c895e5a0baf1ff5a7a	결과는?		결과는?	衣引澗？		8	[]	imported	
STG0200-4화-A분기/ID00003@FILE-ID00002/000010	stage	STG0200-4화-A분기	ID00003@FILE-ID00002	10	01_스테이지 xlsx 모음/STG0200(4화-A분기)-ID00002-script-통합.xlsx	183446dede93553439e8af7795f37ef9513bab06c0146f137615c5fb86a5b58b	de0d4f06ac62a1b7a0bfaa692fd156f13f0a107e3eb775853dbe4e52351df319	미셸		미셸	耕斜		4	[]	imported	
STG0200-4화-A분기/ID00003@FILE-ID00002/000011	stage	STG0200-4화-A분기	ID00003@FILE-ID00002	11	01_스테이지 xlsx 모음/STG0200(4화-A분기)-ID00002-script-통합.xlsx	183446dede93553439e8af7795f37ef9513bab06c0146f137615c5fb86a5b58b	98827e239f924cc0a90c2667032aae9eadfe0394d7b5d746f17d85abcf345ebd	격파율 72.3%.		격파율 72．3%	維督晴　７２．３％		18	[]	imported	
STG0200-4화-A분기/ID00003@FILE-ID00002/000012	stage	STG0200-4화-A분기	ID00003@FILE-ID00002	12	01_스테이지 xlsx 모음/STG0200(4화-A분기)-ID00002-script-통합.xlsx	183446dede93553439e8af7795f37ef9513bab06c0146f137615c5fb86a5b58b	415ea79aec36d99e73687aa7e7a11a9bcb75ef21ac876b87a4c65f569d7e6b97	나쁘지 않은 숫자입니다.		나쁘지 않은 숫자다	蟹孜走　省精　収切陥		20	[]	imported	
STG0200-4화-A분기/ID00003@FILE-ID00002/000013	stage	STG0200-4화-A분기	ID00003@FILE-ID00002	13	01_스테이지 xlsx 모음/STG0200(4화-A분기)-ID00002-script-통합.xlsx	183446dede93553439e8af7795f37ef9513bab06c0146f137615c5fb86a5b58b	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
