entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0015/ID00003/000004	stage	STG0015	ID00003	4	01_스테이지 xlsx 모음/STG0015(12화A)-ID00003-script-통합.xlsx	9d09c0003ed0126fdd120ba00a7ed98f1d7af84808c28aa5ef8d26ffba6cd3af	39adb489d0bbdead255223c06ad3539107d89b1371fb82cfd7bee9e51bd4be96	~네엘 아가마 격납고~		　　　　　　　～넬 아가마 격납고～	　　　　　　　～楽　焼亜原　維崖壱～		36	[]	imported	
STG0015/ID00003/000005	stage	STG0015	ID00003	5	01_스테이지 xlsx 모음/STG0015(12화A)-ID00003-script-통합.xlsx	9d09c0003ed0126fdd120ba00a7ed98f1d7af84808c28aa5ef8d26ffba6cd3af	bf274d5344e7728be19e7e1df5d4aae386be250f1189ae8b86761e619687e03e	다구자		다구자	陥姥切		6	[]	imported	
STG0015/ID00003/000006	stage	STG0015	ID00003	6	01_스테이지 xlsx 모음/STG0015(12화A)-ID00003-script-통합.xlsx	9d09c0003ed0126fdd120ba00a7ed98f1d7af84808c28aa5ef8d26ffba6cd3af	ea773437459e5fb0845c4b6936ecbb80a5516bf35772691ffd67ca31481db65d	어때, 콘로이(コンロイ？)?		어떤가,콘로이?	嬢恐亜，嬬稽戚？		16	[]	imported	
STG0015/ID00003/000007	stage	STG0015	ID00003	7	01_스테이지 xlsx 모음/STG0015(12화A)-ID00003-script-통합.xlsx	9d09c0003ed0126fdd120ba00a7ed98f1d7af84808c28aa5ef8d26ffba6cd3af	63e3e57ac8751d9aef098fd4bba74976d2bfdc93a2429722eadb35b8f1cb8ee0	얘에 대해서 뭘 알겠어?		이 녀석에 대해 뭔가 알아냈나?	戚　橿汐拭　企背　杭亜　硝焼蛎蟹？		34	[]	imported	
STG0015/ID00003/000008	stage	STG0015	ID00003	8	01_스테이지 xlsx 모음/STG0015(12화A)-ID00003-script-통합.xlsx	9d09c0003ed0126fdd120ba00a7ed98f1d7af84808c28aa5ef8d26ffba6cd3af	c7ddfff736456fad1a4c5f27a1b6efc6638970cd57be2c9250915c328539deb4	콘로이		콘로이	嬬稽戚		6	[]	imported	
STG0015/ID00003/000009	stage	STG0015	ID00003	9	01_스테이지 xlsx 모음/STG0015(12화A)-ID00003-script-통합.xlsx	9d09c0003ed0126fdd120ba00a7ed98f1d7af84808c28aa5ef8d26ffba6cd3af	71ae224e8a50ec3dbe9583a8d10d1d58139ff29d1a6e3e7148b02b6c7ef8ace2	저도 본직이 아니기 때문에,		저도 전문가는 아니라서	煽亀　穿庚亜澗　焼艦虞辞		24	[]	imported	
STG0015/ID00003/000010	stage	STG0015	ID00003	10	01_스테이지 xlsx 모음/STG0015(12화A)-ID00003-script-통합.xlsx	9d09c0003ed0126fdd120ba00a7ed98f1d7af84808c28aa5ef8d26ffba6cd3af	4db0080b6e989a19408c9aa76713dd97bb67c2db9203bd079e0ef7b40fc93526	완전히 해석할 수 있는 것은 아니지만…		완벽하게 분석할 수는 없지만…	刃混馬惟　歳汐拝　呪澗　蒸走幻…		32	[]	imported	
STG0015/ID00003/000011	stage	STG0015	ID00003	11	01_스테이지 xlsx 모음/STG0015(12화A)-ID00003-script-통합.xlsx	9d09c0003ed0126fdd120ba00a7ed98f1d7af84808c28aa5ef8d26ffba6cd3af	c7ddfff736456fad1a4c5f27a1b6efc6638970cd57be2c9250915c328539deb4	콘로이		콘로이	嬬稽戚		6	[]	imported	
STG0015/ID00003/000012	stage	STG0015	ID00003	12	01_스테이지 xlsx 모음/STG0015(12화A)-ID00003-script-통합.xlsx	9d09c0003ed0126fdd120ba00a7ed98f1d7af84808c28aa5ef8d26ffba6cd3af	aa89cc12790ca892ed40ad18bb9e38c4da514beeb92fa7522a0fa264bbb38dee	이 하얀 기체...		이 하얀 기체…	戚　馬鍾　奄端…		16	[]	imported	
STG0015/ID00003/000013	stage	STG0015	ID00003	13	01_스테이지 xlsx 모음/STG0015(12화A)-ID00003-script-통합.xlsx	9d09c0003ed0126fdd120ba00a7ed98f1d7af84808c28aa5ef8d26ffba6cd3af	49b23dce157ac946cf2dfa7805635e69970a8829dafb38a6c3e21ae8d98c4835	역시, 그냥 모빌슈트가 아닌것 같습니다		역시 보통 모빌슈트는 아닌 것 같습니다	蝕獣　左搭　乞柵輯闘澗　焼観　依　旭柔艦陥		42	[]	imported	
