entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0312/ID00003/000004	dlc	DLC0312	ID00003	4	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	a173c668906f6f4c9f87323cbbb82c70f2ed9f208c2a624f74feb49ffc924cb7	~마크로스 쿼터 브리핑룸~		　　～마크로스・쿼터　브리핑룸～	　　～原滴稽什・汀斗　崎軒芭結～		32	[]	imported	
DLC0312/ID00003/000005	dlc	DLC0312	ID00003	5	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
DLC0312/ID00003/000006	dlc	DLC0312	ID00003	6	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	c2c65cc8c74867bb791f51205e91af6d8c9dc749f9f9dd2cca2294f9759ac809	저기, 로저 씨...		저기,로저 씨…	煽奄，稽煽　松…		16	[]	imported	
DLC0312/ID00003/000007	dlc	DLC0312	ID00003	7	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	dc0e2044a9ad5cdce06319958004716ee429e349f5ef44f7cb886ba6b3b2198e	로저		로저	稽煽		4	[]	imported	
DLC0312/ID00003/000008	dlc	DLC0312	ID00003	8	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	702d548f526384d9385982dfc3065566b7b75a9565fcb72c3f3e203d5ba0ddc1	뭐야, 와타.		무슨 일이지,왓타	巷充　析戚走，甚展		18	[]	imported	
DLC0312/ID00003/000009	dlc	DLC0312	ID00003	9	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	370461a2fb53936b588d519ce2fce377771565b2447dd7c4a836fd87390b8cff	지금 나는 잠깐의 휴식을 즐기고 있어.		지금은 잠깐의 휴식을 즐기고 있는 중이야	走榎精　節苑税　妃縦聖　荘奄壱　赤澗　掻戚醤		44	[]	imported	
DLC0312/ID00003/000010	dlc	DLC0312	ID00003	10	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	401cc7bd1821ef76cd65bb274ec66fdf54800489f98bf62331e229e38a024f6e	멋없는 이야기라면, 나중에 해 주었으면 좋겠다		쓸데없는 이야기라면 나중에 해줬으면 좋겠는데	承汽蒸澗　戚醤奄虞檎　蟹掻拭　背早生檎　疏畏澗汽		48	[]	imported	
DLC0312/ID00003/000011	dlc	DLC0312	ID00003	11	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
DLC0312/ID00003/000012	dlc	DLC0312	ID00003	12	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	c6d4d20fa02a76048ae85231a1adacddd6dfbe02090a20e387ca09aacae25947	로저(ロジャーさんって) 씨는 정말 전문 네고시에이터야?		로저 씨는 정말 프로 협상가인가요?	稽煽　松澗　舛源　覗稽　漠雌亜昔亜推？		38	[]	imported	
DLC0312/ID00003/000013	dlc	DLC0312	ID00003	13	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	dc0e2044a9ad5cdce06319958004716ee429e349f5ef44f7cb886ba6b3b2198e	로저		로저	稽煽		4	[]	imported	
DLC0312/ID00003/000014	dlc	DLC0312	ID00003	14	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	06e4166c9a86b4b55ea76af145d693083ff857e6e8d1132d63ba4f3379f978ad	！？		！？	！？		4	[]	imported	
DLC0312/ID00003/000015	dlc	DLC0312	ID00003	15	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
DLC0312/ID00003/000016	dlc	DLC0312	ID00003	16	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	3d49eca376699adcdfc66d221daf3284f344fda70266edc5b12eebc68044f040	뭔가 항상 마지막에는		왠지,항상 마지막에는	陣走，牌雌　原走厳拭澗		22	[]	imported	
DLC0312/ID00003/000017	dlc	DLC0312	ID00003	17	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	1be78a82d31f129578f8dc5fd99da8e14921ebeb1f1d553424e6bbeb75f4dfe3	빅오를 타고 힘으로 해결하고 있다고		빅오를 타고 힘으로 해결한다고	昨神研　展壱　毘生稽　背衣廃陥壱		32	[]	imported	
DLC0312/ID00003/000018	dlc	DLC0312	ID00003	18	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	e276a046169b7b89b8e7fe7c6796cfe9d7811cae30bf946edad5b2fdd91721c0	다들 말하고 있어		다들 그렇게 말하고 있어요	陥級　益係惟　源馬壱　赤嬢推		28	[]	imported	
DLC0312/ID00003/000019	dlc	DLC0312	ID00003	19	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	dc0e2044a9ad5cdce06319958004716ee429e349f5ef44f7cb886ba6b3b2198e	로저		로저	稽煽		4	[]	imported	
DLC0312/ID00003/000020	dlc	DLC0312	ID00003	20	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	2f3c630201ceb7bb221e36d3611a6d7c5ae263975d412ac8d0509f4e7f7264e6	…와타.		…왓타	…甚展		6	[]	imported	
DLC0312/ID00003/000021	dlc	DLC0312	ID00003	21	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	0e1533538c7c6f013e1bf572b3c22996b06a9778711e8417bde7e62037ea419d	말은 정확하게 쓰자		말은 정확하게 사용하도록 하자	源精　舛溌馬惟　紫遂馬亀系　馬切		32	[]	imported	
DLC0312/ID00003/000022	dlc	DLC0312	ID00003	22	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	dc0e2044a9ad5cdce06319958004716ee429e349f5ef44f7cb886ba6b3b2198e	로저		로저	稽煽		4	[]	imported	
DLC0312/ID00003/000023	dlc	DLC0312	ID00003	23	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	47560767d86b846244c14eacefc090e97f9099691a0042ae3671a035aa30af4a	네가 말하는 「모두」와는		네가 말하는 『다들』이란 자신의 주장을	革亜　源馬澗　『陥級』戚空　切重税　爽舌聖		42	[]	imported	
DLC0312/ID00003/000024	dlc	DLC0312	ID00003	24	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	458d4cba74105ca05bb7d9b613cc8fe75cb670a747189f92c38acba05340adc8	자설을 편리하게 보완하기 위한 상상상의 산물로		편리하게 보완하기 위한 상상 속의 산물이고	畷軒馬惟　左刃馬奄　是廃　雌雌　紗税　至弘戚壱		46	[]	imported	
DLC0312/ID00003/000025	dlc	DLC0312	ID00003	25	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	de64a47bbff1b1b502038245030db5f74d7f0d1b3f775592fa6f3bcc14336160	그런 인물은 실제로 없지 않을까?		그런 인물은 실제로는 없는 거 아닌가?	益訓　昔弘精　叔薦稽澗　蒸澗　暗　焼観亜？		42	[]	imported	
DLC0312/ID00003/000026	dlc	DLC0312	ID00003	26	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
DLC0312/ID00003/000027	dlc	DLC0312	ID00003	27	!DLC/DLC0312_cpk/DLC0312(DLC-12)-ID00003-script-통합.xlsx	6fccb322d363e5034ab44eaaae67bafbb6a36a91210fb4fd91cb382b29871096	dfb1c22d75018c92f97d02f38c701c48fa7679e9d1181eec8c85ccffbb470cd6	귀찮아서 말을 안한것 뿐이지만,		귀찮아서 말 안 했을 뿐인데	瑛諾焼辞　源　照　梅聖　屍昔汽		30	[]	imported	
