entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0304/ID00003/000004	dlc	DLC0304	ID00003	4	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	a173c668906f6f4c9f87323cbbb82c70f2ed9f208c2a624f74feb49ffc924cb7	~마크로스 쿼터 브리핑룸~		　　～마크로스・쿼터 브리핑룸～	　　～原滴稽什・汀斗　崎軒芭結～		32	[]	imported	
DLC0304/ID00003/000005	dlc	DLC0304	ID00003	5	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
DLC0304/ID00003/000006	dlc	DLC0304	ID00003	6	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	5f44f8f14466985bbb90f32e926f9256e9476cb191d8686e4215b9a6d1ac896b	아카기씨 숙제좀 가르쳐주세요		아카기 씨… 숙제,가르쳐 줘	焼朝奄　松…　寿薦，亜牽団　操		30	[]	imported	
DLC0304/ID00003/000007	dlc	DLC0304	ID00003	7	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	39df5d55bcea256e3bfc54caab3e090088ec4d1ce06e842c18c5a88ece8981ed	아카기		아카기	焼朝奄		6	[]	imported	
DLC0304/ID00003/000008	dlc	DLC0304	ID00003	8	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	82297f48e5ee4c7673430f27452af7a87b5e6e1e3008f7a6e12eea062331ae10	그런 것은 正太太郎에게 부탁해라		그런 건 쇼타로에게 부탁해	益訓　闇　珠展稽拭惟　採店背		28	[]	imported	
DLC0304/ID00003/000009	dlc	DLC0304	ID00003	9	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
DLC0304/ID00003/000010	dlc	DLC0304	ID00003	10	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	640db95861a98a1193a8299acf3d0960806a9cb1ad454f56689abb7309a922e6	그게 말이야...		그게 말이지…	益惟　源戚走…		14	[]	imported	
DLC0304/ID00003/000011	dlc	DLC0304	ID00003	11	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	20bde0618efc8893125a0fa6f5359434c6edbdc58746f1cf4a6338723427eea0	이번에 숙제를 베꼈더니 절교라고 해서...		이번에 숙제를 베껴 쓰면 절교한다고 하더라고…	戚腰拭　寿薦研　今恩　床檎　箭嘘廃陥壱　馬希虞壱…		50	[]	imported	
DLC0304/ID00003/000012	dlc	DLC0304	ID00003	12	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	39df5d55bcea256e3bfc54caab3e090088ec4d1ce06e842c18c5a88ece8981ed	아카기		아카기	焼朝奄		6	[]	imported	
DLC0304/ID00003/000013	dlc	DLC0304	ID00003	13	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	0919eac935950291c5fa81f0797f9b21f8143d7cc716cd4ef2fb5b652cb274b3	정의의 편이 그렇게 하면 안 되잖아!		정의의 아군이 그런 짓을 하면 안 되지!	舛税税　焼浦戚　益訓　憎聖　馬檎　照　鞠走！		44	[]	imported	
DLC0304/ID00003/000014	dlc	DLC0304	ID00003	14	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
DLC0304/ID00003/000015	dlc	DLC0304	ID00003	15	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	7c7ea46f132b0f2b74ce53a20f7ad2d7ed0a85da07dce17ad660e3531d703675	그렇게는 말하지만,		그렇게 말하지만 말이지	益係惟　源馬走幻　源戚走		24	[]	imported	
DLC0304/ID00003/000016	dlc	DLC0304	ID00003	16	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	c62018cda86cd4fcbfd0ab5fe7f7960e0837f39338aa025faf3a865beb3f79e6	좀처럼 사장과 초등학생을 양립하는 것은		사장과 초등학생을 양립하는 건	紫舌引　段去俳持聖　丞験馬澗　闇		32	[]	imported	
DLC0304/ID00003/000017	dlc	DLC0304	ID00003	17	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	a8e83bfbda64f8b1d92fcfd390794c06401b972f5a2b290926e2a98a4f05f616	힘든 거야, 이게		힘들다고,이게	毘級陥壱，戚惟		14	[]	imported	
DLC0304/ID00003/000018	dlc	DLC0304	ID00003	18	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	39df5d55bcea256e3bfc54caab3e090088ec4d1ce06e842c18c5a88ece8981ed	아카기		아카기	焼朝奄		6	[]	imported	
DLC0304/ID00003/000019	dlc	DLC0304	ID00003	19	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	6ad50fdbeba19f5157c6345d53c38640ad8770c33a8dcdb2cfb1f987b69b15ab	확실히 와타의 경우 출격에서 귀환한 후에도		확실히 왓타의 경우,출격에서 귀환한 후에도	溌叔備　甚展税　井酔，窒維拭辞　瑛発廃　板拭亀		46	[]	imported	
DLC0304/ID00003/000020	dlc	DLC0304	ID00003	20	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	d9875f4cb320c4de7cdc5558e73e242a68b5c44fa98f7d02510e99abcb74a9a7	여러가지 서류를 훑어보거나 도장을 찍거나 해서		여러 서류에 눈을 돌리거나,도장을 찍거나 해서	食君　辞嫌拭　勧聖　宜軒暗蟹，亀舌聖　啄暗蟹　背辞		50	[]	imported	
DLC0304/ID00003/000021	dlc	DLC0304	ID00003	21	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	248b2ed130d940fe66558a27ac08e045ecdf0cd5f85a5964ea5d136a55fb7cea	바쁘구나...		바쁘니까…	郊孜艦猿…		10	[]	imported	
DLC0304/ID00003/000022	dlc	DLC0304	ID00003	22	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	39df5d55bcea256e3bfc54caab3e090088ec4d1ce06e842c18c5a88ece8981ed	아카기		아카기	焼朝奄		6	[]	imported	
DLC0304/ID00003/000023	dlc	DLC0304	ID00003	23	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	b2266fd41cf59fbc470c38cc9bb8d8063fd54de97673891c6e6f4215a6f950cd	좋아… 나라도 괜찮다면, 도와줄게.		좋아… 나라도 괜찮다면 도와줄게	疏焼…　蟹虞亀　右諾陥檎　亀人匝惟		34	[]	imported	
DLC0304/ID00003/000024	dlc	DLC0304	ID00003	24	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	760a503acc6e9e2d72cd1e461ea4d099e39463c84335d2486c6e47da2b727cfa	단, 어디까지나 도와줄 테니까 말이야		단,어디까지나 돕는 거니까	舘，嬢巨猿走蟹　欺澗　暗艦猿		28	[]	imported	
DLC0304/ID00003/000025	dlc	DLC0304	ID00003	25	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
DLC0304/ID00003/000026	dlc	DLC0304	ID00003	26	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	06a418fc96eee9b29dad61df31fadd52a33e11ec7f3016b6a11a602d57e594e5	고마워요, 아카기(赤木) 씨!		고마워,아카기 씨!	壱原趨，焼朝奄　松！		20	[]	imported	
DLC0304/ID00003/000027	dlc	DLC0304	ID00003	27	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
DLC0304/ID00003/000028	dlc	DLC0304	ID00003	28	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	87a191efecd04a61aed1c1d6ee1562585d28e1c3be58d33548bf8390ffb58f77	아카기씨와 와타군... 사이가 좋군요		아카기 씨와 왓타 군… 사이가 좋네요	焼朝奄　松人　甚展　浦…　紫戚亜　疏革推		40	[]	imported	
DLC0304/ID00003/000029	dlc	DLC0304	ID00003	29	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	d344c8c990f576f71953844fbaff7bd8b9a99dde382af5d632940b3a5fd2fb1e	아오야마		아오야마	焼神醤原		8	[]	imported	
DLC0304/ID00003/000030	dlc	DLC0304	ID00003	30	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	757e8194fd480e5d735fb09d2ef7375cd880fa52517ab16a8db30398cfced7cb	정신연령이 비슷하니까 말이야		정신 연령이 비슷해서 그래	舛重　尻敬戚　搾汁背辞　益掘		28	[]	imported	
DLC0304/ID00003/000031	dlc	DLC0304	ID00003	31	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	e0fc774d75005d9102a1226168f796ede8b17d8fe61b010a5911a52bca7e0522	이부키		이부키	戚採徹		6	[]	imported	
DLC0304/ID00003/000032	dlc	DLC0304	ID00003	32	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	c3f3b3a66f174bfb71c18d3cc03ac791ddb58e0cd459c10228f85941d90134e4	그렇네.		그러네	益君革		6	[]	imported	
DLC0304/ID00003/000033	dlc	DLC0304	ID00003	33	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	970372a8f68866176cc84bcd1d5ccf6b9b2a06ca4bd0cef9ba17dd67d3503fba	가끔 와타가 더 탄탄하다고		가끔,왓타가 더 어른스럽다고	亜懐，甚展亜　希　嬢献什郡陥壱		30	[]	imported	
DLC0304/ID00003/000034	dlc	DLC0304	ID00003	34	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	ab9370670a9f54d86153331ee830a5fd74ba2cbfce1202e79aa3db9a1a92a74b	생각할 때가 있는 것		생각할 때가 있어	持唖拝　凶亜　赤嬢		18	[]	imported	
DLC0304/ID00003/000035	dlc	DLC0304	ID00003	35	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	00801bfd110ebf15c7fe2c05881c1c6091d97bc54802ba4d60b9cec04f3ce431	오스기		오오스기	神神什奄		8	[]	imported	
DLC0304/ID00003/000036	dlc	DLC0304	ID00003	36	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	ae59d0bc5beb738b21ccf95d9df81f9d42f07480d2ef7db415b8db1a8daf6ea6	역시 다케오 제너럴 컴퍼니의 사장이에요.		역시 타케오 제너럴 컴퍼니의 사장님이에요	蝕獣　展追神　薦格群　陳遁艦税　紫舌還戚拭推		44	[]	imported	
DLC0304/ID00003/000037	dlc	DLC0304	ID00003	37	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	89fcdbc6a125184b93b7e716bf31d6de2a86bf591a262e5b1a20ef8bd97312f5	21세기 경비보장의 라이벌만 있습니다		21세기 경비 보장의 라이벌답습니다	２１室奄　井搾　左舌税　虞戚忽岩柔艦陥		38	[]	imported	
DLC0304/ID00003/000038	dlc	DLC0304	ID00003	38	!DLC/DLC0304_cpk/DLC0304(DLC-04)-ID00003-script-통합.xlsx	0b7df58feeb82e4c89f56422e9950d9c3006360dce29ed746376436175ac01b9	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
