entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0316/ID00003/000004	dlc	DLC0316	ID00003	4	!DLC/DLC0316_cpk/DLC0316(DLC-16)-ID00003-script-통합.xlsx	aa8646195868852bd37cd2320cc850f7db5010efbb2a7c927dc40ee2e36a2b47	f4e0484154ad505830f83d190f855dcfc8266c6058a06819f4b93a54c628f4de	~지구연방군 극동지부 기지내 살롱~		　　～지구연방군 극동지부 기지 내 살롱～	　　～走姥尻号浦　駅疑走採　奄走　鎧　詞荊～		44	[]	imported	
DLC0316/ID00003/000005	dlc	DLC0316	ID00003	5	!DLC/DLC0316_cpk/DLC0316(DLC-16)-ID00003-script-통합.xlsx	aa8646195868852bd37cd2320cc850f7db5010efbb2a7c927dc40ee2e36a2b47	6d13935fae69e32c736ac42982c1026a87538a9f866f4a13b9321fd0af88842d	시몬		시몬	獣佼		4	[]	imported	
DLC0316/ID00003/000006	dlc	DLC0316	ID00003	6	!DLC/DLC0316_cpk/DLC0316(DLC-16)-ID00003-script-통합.xlsx	aa8646195868852bd37cd2320cc850f7db5010efbb2a7c927dc40ee2e36a2b47	9214126b93ba54dded24db7c60d647735eb419ab6e7e188faa816ea39516f88d	랑카씨다!		란카 씨다!	空朝　松陥！		12	[]	imported	
DLC0316/ID00003/000007	dlc	DLC0316	ID00003	7	!DLC/DLC0316_cpk/DLC0316(DLC-16)-ID00003-script-통합.xlsx	aa8646195868852bd37cd2320cc850f7db5010efbb2a7c927dc40ee2e36a2b47	dee422a3eeeaa9aff487b79fba58d7bcae3c42b8ba564568fd2d323385af1844	쿠르츠		쿠르츠	庭牽苧		6	[]	imported	
DLC0316/ID00003/000008	dlc	DLC0316	ID00003	8	!DLC/DLC0316_cpk/DLC0316(DLC-16)-ID00003-script-통합.xlsx	aa8646195868852bd37cd2320cc850f7db5010efbb2a7c927dc40ee2e36a2b47	48d2fa54e756c8a9cf7f47846efe972c4a7fde1ae535592ec47e855227f68877	이야, 셰릴이다!		아니,셰릴이다!	焼艦，捨険戚陥！		16	[]	imported	
DLC0316/ID00003/000009	dlc	DLC0316	ID00003	9	!DLC/DLC0316_cpk/DLC0316(DLC-16)-ID00003-script-통합.xlsx	aa8646195868852bd37cd2320cc850f7db5010efbb2a7c927dc40ee2e36a2b47	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
DLC0316/ID00003/000010	dlc	DLC0316	ID00003	10	!DLC/DLC0316_cpk/DLC0316(DLC-16)-ID00003-script-통합.xlsx	aa8646195868852bd37cd2320cc850f7db5010efbb2a7c927dc40ee2e36a2b47	ca56016a9a4b1f7554aeafd0de0da75d1b59fa1ba3a7e3547b3067c79a548f6c	저도 랑카씨를 추천합니다		저도 란카 씨를 추천합니다	煽亀　空朝　松研　蓄探杯艦陥		28	[]	imported	
DLC0316/ID00003/000011	dlc	DLC0316	ID00003	11	!DLC/DLC0316_cpk/DLC0316(DLC-16)-ID00003-script-통합.xlsx	aa8646195868852bd37cd2320cc850f7db5010efbb2a7c927dc40ee2e36a2b47	d344c8c990f576f71953844fbaff7bd8b9a99dde382af5d632940b3a5fd2fb1e	아오야마		아오야마	焼神醤原		8	[]	imported	
DLC0316/ID00003/000012	dlc	DLC0316	ID00003	12	!DLC/DLC0316_cpk/DLC0316(DLC-16)-ID00003-script-통합.xlsx	aa8646195868852bd37cd2320cc850f7db5010efbb2a7c927dc40ee2e36a2b47	a1fef7f52a71bc6f6de6cbc5d3871a8be3e60cdca08f50fae85338fde8ea54fa	어린애네, 쇼타로(正太太郎)는.		애구나,쇼타로는	蕉姥蟹，珠展稽澗		16	[]	imported	
DLC0316/ID00003/000013	dlc	DLC0316	ID00003	13	!DLC/DLC0316_cpk/DLC0316(DLC-16)-ID00003-script-통합.xlsx	aa8646195868852bd37cd2320cc850f7db5010efbb2a7c927dc40ee2e36a2b47	0e4d560927703504d324d9e6e506a54907c32b5d71790dfe3c0382050d73e42a	역시 어른 남자는 셰릴파다		역시 어른 남자는 셰릴파다	蝕獣　嬢献　害切澗　捨険督陥		28	[]	imported	
