entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0324/ID00003/000004	dlc	DLC0324	ID00003	4	!DLC/DLC0324_cpk/DLC0324(DLC-24)-ID00003-script-통합.xlsx	368a946e25b9e117f3ef230b0ece9cfbb73de6842722274b649cae14f79079f5	ff15b5fc1bb992b45c49266198bf50f33ff7b60a1db234c29898512de293ed98	~마크로스 쿼터 격납고~		　　　　　　～마크로스・쿼터 격납고～	　　　　　　～原滴稽什・汀斗　維崖壱～		38	[]	imported	
DLC0324/ID00003/000005	dlc	DLC0324	ID00003	5	!DLC/DLC0324_cpk/DLC0324(DLC-24)-ID00003-script-통합.xlsx	368a946e25b9e117f3ef230b0ece9cfbb73de6842722274b649cae14f79079f5	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0324/ID00003/000006	dlc	DLC0324	ID00003	6	!DLC/DLC0324_cpk/DLC0324(DLC-24)-ID00003-script-통합.xlsx	368a946e25b9e117f3ef230b0ece9cfbb73de6842722274b649cae14f79079f5	77d9721eb295d763d3ccff771390aacb5805a0354e751b3a06a8e5ef421810cb	후...		후우…	板酔…		6	[]	imported	
DLC0324/ID00003/000007	dlc	DLC0324	ID00003	7	!DLC/DLC0324_cpk/DLC0324(DLC-24)-ID00003-script-통합.xlsx	368a946e25b9e117f3ef230b0ece9cfbb73de6842722274b649cae14f79079f5	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
DLC0324/ID00003/000008	dlc	DLC0324	ID00003	8	!DLC/DLC0324_cpk/DLC0324(DLC-24)-ID00003-script-통합.xlsx	368a946e25b9e117f3ef230b0ece9cfbb73de6842722274b649cae14f79079f5	ee66378f0bcc696e954ff06c03c17ce9324ede1f0559cc022a8a446e20d7a815	어때요, $n씨.		어떠십니까,$n 님	嬢彊淑艦猿，$ｎ　還		20	"[""$n""]"	imported	
DLC0324/ID00003/000009	dlc	DLC0324	ID00003	9	!DLC/DLC0324_cpk/DLC0324(DLC-24)-ID00003-script-통합.xlsx	368a946e25b9e117f3ef230b0ece9cfbb73de6842722274b649cae14f79079f5	c3f01e45da46e16dcc4ede7b6b08cbb2f9b2ae44c5a22c73744a357b62dd5cb6	신생 제니온 가이는 잘 다룰 것 같아요?		신생 제니온・가이는 잘 다룰 수 있겠습니까?	重持　薦艦紳・亜戚澗　設　陥穴　呪　赤畏柔艦猿？		48	[]	imported	
DLC0324/ID00003/000010	dlc	DLC0324	ID00003	10	!DLC/DLC0324_cpk/DLC0324(DLC-24)-ID00003-script-통합.xlsx	368a946e25b9e117f3ef230b0ece9cfbb73de6842722274b649cae14f79079f5	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0324/ID00003/000011	dlc	DLC0324	ID00003	11	!DLC/DLC0324_cpk/DLC0324(DLC-24)-ID00003-script-통합.xlsx	368a946e25b9e117f3ef230b0ece9cfbb73de6842722274b649cae14f79079f5	0a3a974780254111627e72b98e8bab44faaa1592280ad93ecf0c18136a4a0ac0	못하겠다는 말을 할 생각은 없다		못 한다는 말을 할 생각은 없어	公　廃陥澗　源聖　拝　持唖精　蒸嬢		34	[]	imported	
DLC0324/ID00003/000012	dlc	DLC0324	ID00003	12	!DLC/DLC0324_cpk/DLC0324(DLC-24)-ID00003-script-통합.xlsx	368a946e25b9e117f3ef230b0ece9cfbb73de6842722274b649cae14f79079f5	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
DLC0324/ID00003/000013	dlc	DLC0324	ID00003	13	!DLC/DLC0324_cpk/DLC0324(DLC-24)-ID00003-script-통합.xlsx	368a946e25b9e117f3ef230b0ece9cfbb73de6842722274b649cae14f79079f5	bb4626686e8a3b3e4e3ea8862294d4f7e9557ae1ac040f9d5148a213731f0aec	힘이 세네요.		강하시군요. 역시 희망과 절망의 틈에서	悪馬獣浦推．　蝕獣　費諺引　箭諺税　憧拭辞		42	[]	imported	
