entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0072/ID00003/000004	stage	STG0072	ID00003	4	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	626003296b5b75764071e338fbb515f498f5f8eed649365acafb8647f306970b	~샤아 아즈나블 개인실~		　　　　　　　～샤아 아즈나블 개인실～	　　　　　　　～時焼　焼綜蟹鷺　鯵昔叔～		40	[]	imported	
STG0072/ID00003/000005	stage	STG0072	ID00003	5	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
STG0072/ID00003/000006	stage	STG0072	ID00003	6	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0072/ID00003/000007	stage	STG0072	ID00003	7	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	62095fcde58ab7ded1aec29b7bf3724f9d5d63aab1131b0c51a1d062078ca8e3	릴리나		리리나	軒軒蟹		6	[]	imported	
STG0072/ID00003/000008	stage	STG0072	ID00003	8	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	bb4cb324a52ff02610adbc8e169a2c1b1cbac767432a738be71ec930c3b3eb19	아무래도 전쟁을 멈출 생각은 없으시군요?		전쟁을 멈출 생각은 없으신 건가요？	穿戦聖　誇窒　持唖精　蒸生重　闇亜推？		38	[]	imported	
STG0072/ID00003/000009	stage	STG0072	ID00003	9	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
STG0072/ID00003/000010	stage	STG0072	ID00003	10	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	7b2336c1f45ba403e2eb04e22c385fd336cc313ed64c2f992af949596d4e82ab	그것에 대해서는 말을 다했다		그것에 대해서는 충분히 말했습니다	益依拭　企背辞澗　中歳備　源梅柔艦陥		36	[]	imported	
STG0072/ID00003/000011	stage	STG0072	ID00003	11	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	62095fcde58ab7ded1aec29b7bf3724f9d5d63aab1131b0c51a1d062078ca8e3	릴리나		리리나	軒軒蟹		6	[]	imported	
STG0072/ID00003/000012	stage	STG0072	ID00003	12	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	12372ee198a86cd07de0afe4d5db60f782e9042f68ca5cc47f451750bef9c9e5	$c와의 휴전협정은		$c와의 휴전 협정은	$ｃ人税　妃穿　漠舛精		22	"[""$c""]"	imported	
STG0072/ID00003/000013	stage	STG0072	ID00003	13	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	6488bdec2ffda9147d0eece6bb542ae76cd9822835ca2861054fa04fb9e67dd4	정전으로의 첫걸음이 아닌가요?		정전을 향한 첫걸음이 아닌가요？	舛穿聖　狽廃　湛杏製戚　焼観亜推？		34	[]	imported	
STG0072/ID00003/000014	stage	STG0072	ID00003	14	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
STG0072/ID00003/000015	stage	STG0072	ID00003	15	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	8ddd044ae73f9384356d92d9e09fe67eb6b3bd5216a8f0ed65f5cb8f25b73094	어디까지나 특이점 수색을 위해서다.		어디까지나 특이점 수색을 위한 것입니다	嬢巨猿走蟹　働戚繊　呪事聖　是廃　依脊艦陥		42	[]	imported	
STG0072/ID00003/000016	stage	STG0072	ID00003	16	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	ce33d2a5b70d10d3b4e81ac0033386e87961e74e1891d906a147595e357152c5	그것은 그들도 납득하고 있다		그것에 그들도 납득하고 있습니다	益依拭　益級亀　崖究馬壱　赤柔艦陥		34	[]	imported	
STG0072/ID00003/000017	stage	STG0072	ID00003	17	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	62095fcde58ab7ded1aec29b7bf3724f9d5d63aab1131b0c51a1d062078ca8e3	릴리나		리리나	軒軒蟹		6	[]	imported	
STG0072/ID00003/000018	stage	STG0072	ID00003	18	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0072/ID00003/000019	stage	STG0072	ID00003	19	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
STG0072/ID00003/000020	stage	STG0072	ID00003	20	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	55a7218d41202f1138ef289b18717c53e5245afbe48c1d049f27336390bb69c3	나도 이터니티 플랫은		저도 이터니티・플랫은 전 인류가	煽亀　戚斗艦銅・巴熊精　穿　昔嫌亜		34	[]	imported	
STG0072/ID00003/000021	stage	STG0072	ID00003	21	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	b98dc081a74bc37800e75caa2a54aef800f39f967a8aa76afb766bf127a1f4dc	나는 그것이 모든 인류가 직면해야 할 장애물이라는 것을 이해한다		맞서 싸워야 할 장애물이라고 이해하고 있습니다	限辞　塾趨醤　拝　舌蕉弘戚虞壱　戚背馬壱　赤柔艦陥		50	[]	imported	
STG0072/ID00003/000022	stage	STG0072	ID00003	22	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
STG0072/ID00003/000023	stage	STG0072	ID00003	23	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	c74c6269f1cb09395df79f01b413a05f699ebec14885e2505c817606d8cb641c	따라서 초시공 물리학의 권위자인 트라이아 박사와도		그러므로 초시공 물리학의 권위자인 트라이아	益君糠稽　段獣因　弘軒俳税　映是切昔　闘虞戚焼		46	[]	imported	
STG0072/ID00003/000024	stage	STG0072	ID00003	24	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	00475b2befbc927565d7c3b2f8cb29927c375680903605188a5b42810d8bc684	적극적으로 정보를 교환하고 있다		박사와도 적극적으로 정보를 교환하고 있습니다	酵紫人亀　旋駅旋生稽　舛左研　嘘発馬壱　赤柔艦陥		48	[]	imported	
STG0072/ID00003/000025	stage	STG0072	ID00003	25	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	62095fcde58ab7ded1aec29b7bf3724f9d5d63aab1131b0c51a1d062078ca8e3	릴리나		리리나	軒軒蟹		6	[]	imported	
STG0072/ID00003/000026	stage	STG0072	ID00003	26	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	a08dc393f62fb48c68681f27fc2603caa7eeec32004fe791b3fc3a6a3758c2fd	나는 전쟁이란 행위도		저는 전쟁이라는 행위도	煽澗　穿戦戚虞澗　楳是亀		24	[]	imported	
STG0072/ID00003/000027	stage	STG0072	ID00003	27	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	cebdf7781c40999a10ba53ede0a7dcba4c2560e12a6483058c609f0579815ebd	전 인류가 맞서야 할 문제라고 생각하고 있습니다		전 인류가 맞서 싸워야 할 문제라고 생각합니다	穿　昔嫌亜　限辞　塾趨醤　拝　庚薦虞壱　持唖杯艦陥		50	[]	imported	
STG0072/ID00003/000028	stage	STG0072	ID00003	28	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
STG0072/ID00003/000029	stage	STG0072	ID00003	29	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	878d2f267ccd20606a6f45365070ba4f4550f5c4430ea3fda493ec10c635b33e	도리안 외무차관.		도리안 외무차관…	亀軒照　須巷託淫…		18	[]	imported	
STG0072/ID00003/000030	stage	STG0072	ID00003	30	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	6ca32adf9bc3ed0471a0c17d047df5f94119edd1e2d16bc9a367d359e6cce509	너의 이상은 평가한다.		당신의 이상은 높이 평가합니다	雁重税　戚雌精　株戚　汝亜杯艦陥		32	[]	imported	
STG0072/ID00003/000031	stage	STG0072	ID00003	31	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	38ff9c08d4b01b6818315254bf0c7c0d5e0cfec5a7adcef3da336531a3ad346f	하지만 현실이라는 것을 나는 직시하고 있다		하지만 현실이라는 것을 저는 직시하고 있습니다	馬走幻　薄叔戚虞澗　依聖　煽澗　送獣馬壱　赤柔艦陥		50	[]	imported	
STG0072/ID00003/000032	stage	STG0072	ID00003	32	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	62095fcde58ab7ded1aec29b7bf3724f9d5d63aab1131b0c51a1d062078ca8e3	릴리나		리리나	軒軒蟹		6	[]	imported	
STG0072/ID00003/000033	stage	STG0072	ID00003	33	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	99eae23d8127ba63d49482b4864820e1d905bca86bc595056e5806139e34fd96	크로노...의 존재군요		크로노…의 존재 말이죠	滴稽葛…税　糎仙　源戚倉		24	[]	imported	
STG0072/ID00003/000034	stage	STG0072	ID00003	34	01_스테이지 xlsx 모음/STG0072(43화)-ID00003-script-통합.xlsx	520835ddc540cdff0ac8248e8ad7061674a676b63649b60622f3afe0a30a57bf	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
