entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0093b/ID00003/000004	stage	STG0093b	ID00003	4	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	ff15b5fc1bb992b45c49266198bf50f33ff7b60a1db234c29898512de293ed98	~마크로스 쿼터 격납고~		　　　　　　～마크로스・쿼터　격납고～	　　　　　　～原滴稽什・汀斗　維崖壱～		38	[]	imported	
STG0093b/ID00003/000005	stage	STG0093b	ID00003	5	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
STG0093b/ID00003/000006	stage	STG0093b	ID00003	6	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	5731fa4455001d7117aecdf9bcdd56c42bdd19be09d6e4a0b2d9337ee160faf1	카구라...		카구라…	朝姥虞…		8	[]	imported	
STG0093b/ID00003/000007	stage	STG0093b	ID00003	7	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	eef42e86dad533ab1f2bc87e20f162b7ebb7e9780fab90d7a8804772782e1ecc	카구라		카구라	朝姥虞		6	[]	imported	
STG0093b/ID00003/000008	stage	STG0093b	ID00003	8	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	b4f6e0a54e432873d0ca109e22e2e30a1b26dba9a7d170ad3aa00f2640e7f559	헤...기분이 이상한데?		헤… 이상한 기분이네	伯…　戚雌廃　奄歳戚革		22	[]	imported	
STG0093b/ID00003/000009	stage	STG0093b	ID00003	9	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	0d659e563ab570815b1b216b329d390f0b77b57c9fa39949c73965fb518ebefe	이런 식으로 얼굴을 마주하면		이렇게 얼굴을 마주하니	戚係惟　杖閏聖　原爽馬艦		24	[]	imported	
STG0093b/ID00003/000010	stage	STG0093b	ID00003	10	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
STG0093b/ID00003/000011	stage	STG0093b	ID00003	11	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	e733931209d019629c11c0596e3994f5d80c3937d732ae1734e01311ebb807bd	우리를 도와줄 거야?		우리들에게 힘을 빌려줄 건가?	酔軒級拭惟　毘聖　柵形匝　闇亜？		32	[]	imported	
STG0093b/ID00003/000012	stage	STG0093b	ID00003	12	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	eef42e86dad533ab1f2bc87e20f162b7ebb7e9780fab90d7a8804772782e1ecc	카구라		카구라	朝姥虞		6	[]	imported	
STG0093b/ID00003/000013	stage	STG0093b	ID00003	13	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	7de31f140a3b5f4777590a9848442cde1bd9a87c0c56559512e46b748db90adb	싫어요		싫어	夙嬢		4	[]	imported	
STG0093b/ID00003/000014	stage	STG0093b	ID00003	14	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	fa9340198eeaa266f350a59c09940fabea3390fb9800cf2afc7cba1324d1e800	알토		알토	硝塘		4	[]	imported	
STG0093b/ID00003/000015	stage	STG0093b	ID00003	15	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	f7b7e632f1dc4b2e26060d69e75d88168a6025e4c89569294bce526ec97cb06d	이 녀석아...!		이 자식…！	戚　切縦…！		12	[]	imported	
STG0093b/ID00003/000016	stage	STG0093b	ID00003	16	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	90320b7711128ad0541652ff3900ce1a0e90c3c13df3c07cf48eb0d283c299d9	이 시기에 이르러서, 아직도 그런 일을…!		이 지경이 되어서도,아직 그런 소리를…！	戚　走井戚　鞠嬢辞亀，焼送　益訓　社軒研…！		44	[]	imported	
STG0093b/ID00003/000017	stage	STG0093b	ID00003	17	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	6f42d8c360d18f29d6f3eb31b4566d00027dcf6d3990efd479a16ce8c1f811ed	소스케		소스케	社什追		6	[]	imported	
STG0093b/ID00003/000018	stage	STG0093b	ID00003	18	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	f11490a0ba6d0b57dafecbe0ad333d46290acd62b8dcacb50b01bed7cd4ae98d	기다려, 알토.		기다려,알토	奄陥形，硝塘		12	[]	imported	
STG0093b/ID00003/000019	stage	STG0093b	ID00003	19	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	56d80c10c4833eb93bfc1be0e1d714b54faa6fa911d5295b498bf1a16299fdc5	이 녀석의 상대는 내가 하겠다		이 녀석 상대는 내가 한다	戚　橿汐　雌企澗　鎧亜　廃陥		28	[]	imported	
STG0093b/ID00003/000020	stage	STG0093b	ID00003	20	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0093b/ID00003/000021	stage	STG0093b	ID00003	21	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	b4263f8f382f70243402eac7c5ca383a49f9526be8c716f3ce7ff4a311c325ca	맹수의 상대라면, 내가 익숙해져 있다.		맹수 상대라면,내가 익숙하지	戸呪　雌企虞檎，鎧亜　斥寿馬走		30	[]	imported	
STG0093b/ID00003/000022	stage	STG0093b	ID00003	22	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	39639ded3fbafb5a365efb432a043afc99e67bc67b8424ccb8e4f77dc8354e29	모두 물러가 있어라		모두들 물러나 있어	乞砧級　弘君蟹　赤嬢		20	[]	imported	
STG0093b/ID00003/000023	stage	STG0093b	ID00003	23	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	갑아		코우지	坪酔走		6	[]	imported	
STG0093b/ID00003/000024	stage	STG0093b	ID00003	24	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	58fb218871d95a276e60eb8911a4f7c56dc458ba00a2aeddf3c6c92abe5cb71e	그게 어디야.		그렇게 될까보냐	益係惟　吃猿左劃		16	[]	imported	
STG0093b/ID00003/000025	stage	STG0093b	ID00003	25	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	fed127839e21a997ef89a79600002837131f32c4d792f65a6be18980ea554fea	지금까지의 예는 우선 내가 한다		지금까지의 앙갚음은,우선 내가 한다	走榎猿走税　肖葦製精，酔識　鎧亜　廃陥		38	[]	imported	
STG0093b/ID00003/000026	stage	STG0093b	ID00003	26	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	9a36170dc90fb33fdeeaf1882977daa906ff8a3e5171bd4fecebf6cac54bd516	카이엔		카이엔	朝戚殖		6	[]	imported	
STG0093b/ID00003/000027	stage	STG0093b	ID00003	27	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	22aa86af0895cf42941ed8fe17375b77afec51da0458859e6448df7341e9427f	얘한테는 미코노가 신세를 많이 지고 왔어.		이 자식 때문에 미코노가 엄청 고생했지	戚　切縦　凶庚拭　耕坪葛亜　畳短　壱持梅走		42	[]	imported	
STG0093b/ID00003/000028	stage	STG0093b	ID00003	28	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	522c8bdac284aaa095d2c6c29551edb4659c68d9cff633ddfcd27b584eced0c0	여기는 나에게 맡겨라		여기는 나에게 맡겨	食奄澗　蟹拭惟　乎移		20	[]	imported	
STG0093b/ID00003/000029	stage	STG0093b	ID00003	29	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	eef42e86dad533ab1f2bc87e20f162b7ebb7e9780fab90d7a8804772782e1ecc	카구라		카구라	朝姥虞		6	[]	imported	
STG0093b/ID00003/000030	stage	STG0093b	ID00003	30	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	0d7eaa588d425af6ada2bf6af5a52bbb523912ad5294b259e70760d7177e4f7d	재미있다!		재밌군!	仙衡浦！		8	[]	imported	
STG0093b/ID00003/000031	stage	STG0093b	ID00003	31	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	6f881f2ae2e29cf1a37965e300f261371c8b782b01b9815898567c86268b083c	한번에 상대해 주겠어!		한꺼번에 상대해 주마!	廃襖腰拭　雌企背　爽原！		24	[]	imported	
STG0093b/ID00003/000032	stage	STG0093b	ID00003	32	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	1fb3bdcd78059b7fc5e7ca044905c5ad9c7c7b523f1eb1c349eaba5337789304	진		진	遭		2	[]	imported	
STG0093b/ID00003/000033	stage	STG0093b	ID00003	33	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	9b950351c872bc388400f46848dc11e6e318a047ae16eed01a0cbe60fd0da153	카구라...		카구라…	朝姥虞…		8	[]	imported	
STG0093b/ID00003/000034	stage	STG0093b	ID00003	34	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	97a31b58c8f8a8f96e0d124113b0447997d81b366510931465df2911ceafb64b	자네 꽤나 원망을 사고 있는 모양이군		너,꽤 원한을 사고 있는 모양이네	格，河　据廃聖　紫壱　赤澗　乞丞戚革		36	[]	imported	
STG0093b/ID00003/000035	stage	STG0093b	ID00003	35	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	eef42e86dad533ab1f2bc87e20f162b7ebb7e9780fab90d7a8804772782e1ecc	카구라		카구라	朝姥虞		6	[]	imported	
STG0093b/ID00003/000036	stage	STG0093b	ID00003	36	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	d9ca6a29463edcceb0de7c8b49fff1c5bcd46d45993cc2fcabdc04a06cb071db	아까도 말한 대로다.		아까도 말했잖아	焼猿亀　源梅摂焼		16	[]	imported	
STG0093b/ID00003/000037	stage	STG0093b	ID00003	37	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	e36224631fbde2206911596f6c67297dcd645e39b8c81a7ebd886b44ccc6cbfe	나는 단짝 놀이를 할 생각은 없다구		난 친구놀이를 할 생각은 없어	貝　庁姥且戚研　拝　持唖精　蒸嬢		32	[]	imported	
STG0093b/ID00003/000038	stage	STG0093b	ID00003	38	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	5289e61c26a3efc809028e3074866c29f75edee23aa82c1caa70b25ca4742d09	유노하		유노하	政葛馬		6	[]	imported	
STG0093b/ID00003/000039	stage	STG0093b	ID00003	39	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	b89efbc345af2008e4190ff2237f5b6f1b4049ca1d77965cb0b44157ce1d6770	그럼 정말 친해졌으면 좋겠어요		그렇다면,정말로 사이좋게 지내면 된다고 생각해요	益係陥檎，舛源稽　紫戚疏惟　走鎧檎　吉陥壱　持唖背推		52	[]	imported	
STG0093b/ID00003/000040	stage	STG0093b	ID00003	40	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	eef42e86dad533ab1f2bc87e20f162b7ebb7e9780fab90d7a8804772782e1ecc	카구라		카구라	朝姥虞		6	[]	imported	
STG0093b/ID00003/000041	stage	STG0093b	ID00003	41	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	c21565ea5958bb44daf23c9e942f502bc59724851d86a24fb9d0d8e1176b47e2	하...?		하…?	馬…？		6	[]	imported	
STG0093b/ID00003/000042	stage	STG0093b	ID00003	42	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	4dca59d06c57f6ab986a99b0f5aae02dd85f63429f3c7e292c5f44c575a76ee3	제시카		제시카	薦獣朝		6	[]	imported	
STG0093b/ID00003/000043	stage	STG0093b	ID00003	43	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	b42e8733ff8342607f96826f05658ca9e32180eca299571ff4b42e5040b17743	유노하 말이 맞아.		유노하 말대로야	政葛馬　源企稽醤		16	[]	imported	
STG0093b/ID00003/000044	stage	STG0093b	ID00003	44	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	216551740a628f8cc1091144cdd41d391149ab38dad622eb46699086669f993f	언제까지나 옛날 일을 떠맡아 말하는 것은		언제까지고 옛날 일을 질질 끄는 건	情薦猿走壱　疹劾　析聖　霜霜　塊澗　闇		38	[]	imported	
STG0093b/ID00003/000045	stage	STG0093b	ID00003	45	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	b8f6f98b448eba4f96b3e2d984334815e715d8857803141ed24c7da85378ae41	남자답지도 않고 말이야		남자답지 않아	害切岩走　省焼		14	[]	imported	
STG0093b/ID00003/000046	stage	STG0093b	ID00003	46	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	50ed163452aa7c918c13cd7a34d1127d9206f817e8d561c83719af230cec2266	미코노		미코노	耕坪葛		6	[]	imported	
STG0093b/ID00003/000047	stage	STG0093b	ID00003	47	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	2c9a8a909b03366d9c2bc6022c21e2a41b5ca7ca89dece6837c37d06b3c355db	제대로 하자, 카구라군.		제대로 하자,카구라 군	薦企稽　馬切，朝姥虞　浦		24	[]	imported	
STG0093b/ID00003/000048	stage	STG0093b	ID00003	48	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	2329f1bb78e139e94e73acb77dcf6139ed8843edcedfb9e50d3ce0cbfa87a810	이제는 함께 싸워나가는 동료가 될 테니까		앞으로는 함께 싸울 동료가 될 테니까	蒋生稽澗　敗臆　塾随　疑戟亜　吃　砺艦猿		40	[]	imported	
STG0093b/ID00003/000049	stage	STG0093b	ID00003	49	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	eef42e86dad533ab1f2bc87e20f162b7ebb7e9780fab90d7a8804772782e1ecc	카구라		카구라	朝姥虞		6	[]	imported	
STG0093b/ID00003/000050	stage	STG0093b	ID00003	50	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	d8a0eb69416f7e46bb355be75a4b272aa4005e26190c34a5e69f7d0f0ab42671	나는 동료가 된 생각은 없어...		난 동료가 될 생각은 없다고…	貝　疑戟亜　吃　持唖精　蒸陥壱…		32	[]	imported	
STG0093b/ID00003/000051	stage	STG0093b	ID00003	51	01_스테이지 xlsx 모음/STG0093b(54화B)-ID00003-script-통합.xlsx	31267dcebd98ac1ec5d5db4f61f1c7b399b353fca394c9180f9233decbe59640	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
