entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0210-8화후A분기/ID00003/000002	stage	STG0210-8화후A분기	ID00003	2	01_스테이지 xlsx 모음/STG0210(8화후A분기)-ID00003-script-통합.xlsx	a10e6be4d84429d457c20d730242ecc9f83b8892eac119e768f0a29209e2d807	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n			$ｎ		4	"[""$n""]"	imported	
STG0210-8화후A분기/ID00003/000003	stage	STG0210-8화후A분기	ID00003	3	01_스테이지 xlsx 모음/STG0210(8화후A분기)-ID00003-script-통합.xlsx	a10e6be4d84429d457c20d730242ecc9f83b8892eac119e768f0a29209e2d807	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………			………		6	[]	imported	
STG0210-8화후A분기/ID00003/000006	stage	STG0210-8화후A분기	ID00003	6	01_스테이지 xlsx 모음/STG0210(8화후A분기)-ID00003-script-통합.xlsx	a10e6be4d84429d457c20d730242ecc9f83b8892eac119e768f0a29209e2d807	f8f79cfefa9e11706140035c0318ca52eac153121c751dc58da2ded78d29a199	　　　　　　　　　　~D 트레이더~			　　　　　　　　　　～Ｄ闘傾戚希～		34	[]	imported	
STG0210-8화후A분기/ID00003/000007	stage	STG0210-8화후A분기	ID00003	7	01_스테이지 xlsx 모음/STG0210(8화후A분기)-ID00003-script-통합.xlsx	a10e6be4d84429d457c20d730242ecc9f83b8892eac119e768f0a29209e2d807	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ			ＡＧ		4	[]	imported	
STG0210-8화후A분기/ID00003/000008	stage	STG0210-8화후A분기	ID00003	8	01_스테이지 xlsx 모음/STG0210(8화후A분기)-ID00003-script-통합.xlsx	a10e6be4d84429d457c20d730242ecc9f83b8892eac119e768f0a29209e2d807	2123058de5b7432b71a54874934e329dc5a5e35c74a8db380cf5ec864690a97b	자, 자, $n님들은			切，$ｎ　還級精		16	"[""$n""]"	imported	
STG0210-8화후A분기/ID00003/000009	stage	STG0210-8화후A분기	ID00003	9	01_스테이지 xlsx 모음/STG0210(8화후A분기)-ID00003-script-통합.xlsx	a10e6be4d84429d457c20d730242ecc9f83b8892eac119e768f0a29209e2d807	a9751f5820108fb11a7416a65cdbcf6c48364c40b6e80d2302a9f5a20fb76f2d	변질자를 쫓게 된 것 같습니다만…			痕霜切研　耐惟　鞠醸走幻…		26	[]	imported	
STG0210-8화후A분기/ID00003/000010	stage	STG0210-8화후A분기	ID00003	10	01_스테이지 xlsx 모음/STG0210(8화후A분기)-ID00003-script-통합.xlsx	a10e6be4d84429d457c20d730242ecc9f83b8892eac119e768f0a29209e2d807	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ			ＡＧ		4	[]	imported	
STG0210-8화후A분기/ID00003/000011	stage	STG0210-8화후A분기	ID00003	11	01_스테이지 xlsx 모음/STG0210(8화후A분기)-ID00003-script-통합.xlsx	a10e6be4d84429d457c20d730242ecc9f83b8892eac119e768f0a29209e2d807	da4478d4e2cc933f77a53a30d708db461ded3aa34ced0392ea6cbcef7ba6f2b2	과연 그 변질자의 정체란!?			引尻，益　痕霜切税　舛端澗！？		30	[]	imported	
STG0210-8화후A분기/ID00003/000012	stage	STG0210-8화후A분기	ID00003	12	01_스테이지 xlsx 모음/STG0210(8화후A분기)-ID00003-script-통합.xlsx	a10e6be4d84429d457c20d730242ecc9f83b8892eac119e768f0a29209e2d807	c8ddec6c9d03ddd4e0b646fa8771cb0a6ca32cc1d30a7c400be43ccf2df84a16	풍운이 급하다고 하는 다음 회를 놓치지 마라!			燃錘　厭痕馬澗　陥製　噺研　兜帖走　原室推！		44	[]	imported	
STG0210-8화후A분기/ID00003/000013	stage	STG0210-8화후A분기	ID00003	13	01_스테이지 xlsx 모음/STG0210(8화후A분기)-ID00003-script-통합.xlsx	a10e6be4d84429d457c20d730242ecc9f83b8892eac119e768f0a29209e2d807	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ			ＡＧ		4	[]	imported	
STG0210-8화후A분기/ID00003/000014	stage	STG0210-8화후A분기	ID00003	14	01_스테이지 xlsx 모음/STG0210(8화후A분기)-ID00003-script-통합.xlsx	a10e6be4d84429d457c20d730242ecc9f83b8892eac119e768f0a29209e2d807	1e417271fd211a25cdac4ddc5828720cbeed5dace2367bb06fbb24f4ef5ab153	뭐~ 예고편 바람에 부추겨 보기도 하고.			～虞澗　縦生稽　森壱畷坦軍　識疑背　挫柔艦陥		44	[]	imported	
STG0210-8화후A분기/ID00003/000015	stage	STG0210-8화후A분기	ID00003	15	01_스테이지 xlsx 모음/STG0210(8화후A분기)-ID00003-script-통합.xlsx	a10e6be4d84429d457c20d730242ecc9f83b8892eac119e768f0a29209e2d807	c46d7290248b44507db8e776b60c7e9ca0e47fb7b035bf238ad4a905869c7e12	자, 오늘도 힘내서 장사, 장사!			切，神潅亀　毘鎧辞…舌紫，舌紫！		32	[]	imported	
