entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0044b/ID00003/000004	stage	STG0044b	ID00003	4	01_스테이지 xlsx 모음/STG0044b(26화B)-ID00003-script-통합.xlsx	edb66d9549b8f3948574bbfc2cb932101f2140203e3555554fa740355bb9c938	dfd6a59dc64cad13901ed3f385dce37ce2f7442587438410c12fb936500ecce1	~드래곤즈 하이브 격납고~		　　　　　　　～드래곤즈 하이브 격납고～	　　　　　　　～球掘逸綜　馬戚崎　維崖壱～		42	[]	imported	
STG0044b/ID00003/000005	stage	STG0044b	ID00003	5	01_스테이지 xlsx 모음/STG0044b(26화B)-ID00003-script-통합.xlsx	edb66d9549b8f3948574bbfc2cb932101f2140203e3555554fa740355bb9c938	3de24add4110666a127ae82ec9cf796b0450e5e54e5bcf1acf80c182aae6a18d	시키시마		시키시마	獣徹獣原		8	[]	imported	
STG0044b/ID00003/000006	stage	STG0044b	ID00003	6	01_스테이지 xlsx 모음/STG0044b(26화B)-ID00003-script-통합.xlsx	edb66d9549b8f3948574bbfc2cb932101f2140203e3555554fa740355bb9c938	6c5ac7bb1f6efb7e26bdb5d7ee1c1a6733402deeb79530a27eef88acf57856ad	아무래도, 이 캡슐은		…아무래도,이 캡슐은	…焼巷掘亀，戚　銚酋精		22	[]	imported	
STG0044b/ID00003/000007	stage	STG0044b	ID00003	7	01_스테이지 xlsx 모음/STG0044b(26화B)-ID00003-script-통합.xlsx	edb66d9549b8f3948574bbfc2cb932101f2140203e3555554fa740355bb9c938	4d813fbe2e77e15ade22acc77f2490df332dbb038a2ea4c8d3909f6b5429f0dd	일종의 냉동 수면 장치인 것 같다		일종의 냉동수면장치인 것 같군	析曽税　鈎疑呪檎舌帖昔　依　旭浦		32	[]	imported	
STG0044b/ID00003/000008	stage	STG0044b	ID00003	8	01_스테이지 xlsx 모음/STG0044b(26화B)-ID00003-script-통합.xlsx	edb66d9549b8f3948574bbfc2cb932101f2140203e3555554fa740355bb9c938	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
STG0044b/ID00003/000009	stage	STG0044b	ID00003	9	01_스테이지 xlsx 모음/STG0044b(26화B)-ID00003-script-통합.xlsx	edb66d9549b8f3948574bbfc2cb932101f2140203e3555554fa740355bb9c938	481aef1ede59b34f3164c3ddb94343b226cb7293dfc3508bb97011842b5e4882	냉동수면장치... 뭐야?		냉동수면장치…란 게 뭐야?	鈎疑呪檎舌帖…空　惟　更醤？		28	[]	imported	
STG0044b/ID00003/000010	stage	STG0044b	ID00003	10	01_스테이지 xlsx 모음/STG0044b(26화B)-ID00003-script-통합.xlsx	edb66d9549b8f3948574bbfc2cb932101f2140203e3555554fa740355bb9c938	c0cef5a5cb41b06ebb757b4c6ffa2124f05b0ba3b653995e67d760c3c381af6e	타케루		타케루	展追欠		6	[]	imported	
STG0044b/ID00003/000011	stage	STG0044b	ID00003	11	01_스테이지 xlsx 모음/STG0044b(26화B)-ID00003-script-통합.xlsx	edb66d9549b8f3948574bbfc2cb932101f2140203e3555554fa740355bb9c938	4aaccd25f43f10e8be26370f203fa2e03659cd47df0feb960d1d8dc9a0a7089c	인간을 노화시키지 않고 잠을 자게 하는 장치다.		인간을 노화시키지 않고 잠들게 하는 장치다	昔娃聖　葛鉢獣徹走　省壱　節級惟　馬澗　舌帖陥		46	[]	imported	
STG0044b/ID00003/000012	stage	STG0044b	ID00003	12	01_스테이지 xlsx 모음/STG0044b(26화B)-ID00003-script-통합.xlsx	edb66d9549b8f3948574bbfc2cb932101f2140203e3555554fa740355bb9c938	6c80420c50d7d4fe31e97735b81f15b74937db747ca1c353adc8534e95c8353c	즉, 이 안에서 자고 있으면, 나이를 먹지 않는 거야		이 안에서 잠들어 있으면,나이를 먹지 않는 거야	戚　照拭辞　節級嬢　赤生檎，蟹戚研　股走　省澗　暗醤		52	[]	imported	
STG0044b/ID00003/000013	stage	STG0044b	ID00003	13	01_스테이지 xlsx 모음/STG0044b(26화B)-ID00003-script-통합.xlsx	edb66d9549b8f3948574bbfc2cb932101f2140203e3555554fa740355bb9c938	97ce3f75e2f5a683ba78d2a3e6ca7e9e05b8741ac7c3c6f0f56280eddd4554a9	매키		마키	原徹		4	[]	imported	
