entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0095/ID00003/000004	stage	STG0095	ID00003	4	01_스테이지 xlsx 모음/STG0095(56화)-ID00003-script-통합.xlsx	7fc5a1aee6ac02cf43826052d06df0515222ef3d230da98e191b292d120b5fc0	2b47ee16ffb7ca9553e2fb973d7fa81a8ae8c43f1c2f49844a461846bcd1abbb	~지구연방본부 시설 내~		　　　　　　　　～지구연방본부 시설 내～	　　　　　　　　～走姥尻号沙採　獣竺　鎧～		42	[]	imported	
STG0095/ID00003/000005	stage	STG0095	ID00003	5	01_스테이지 xlsx 모음/STG0095(56화)-ID00003-script-통합.xlsx	7fc5a1aee6ac02cf43826052d06df0515222ef3d230da98e191b292d120b5fc0	8584b5a6eeb6d9eeec6485ecfedad9c20c9dc42a9c7daba0348d2ae9d3d567c9	이자벨		이자벨	戚切婚		6	[]	imported	
STG0095/ID00003/000006	stage	STG0095	ID00003	6	01_스테이지 xlsx 모음/STG0095(56화)-ID00003-script-통합.xlsx	7fc5a1aee6ac02cf43826052d06df0515222ef3d230da98e191b292d120b5fc0	7346736ea4f2506d8a427d7fb1242a629167418ee59becfce36fbfe6615cf574	릴리나 도리안 외무차관...		리리나・도리안 외무차관…	軒軒蟹・亀軒照　須巷託淫…		26	[]	imported	
STG0095/ID00003/000007	stage	STG0095	ID00003	7	01_스테이지 xlsx 모음/STG0095(56화)-ID00003-script-통합.xlsx	7fc5a1aee6ac02cf43826052d06df0515222ef3d230da98e191b292d120b5fc0	dabacb388246bde6a1d6eaeaaa05460a51d9228c820c27783433f7006ef3d707	잠시 시간을 내주실 수 있을까요?		잠시 시간을 내주시겠습니까?	節獣　獣娃聖　鎧爽獣畏柔艦猿？		30	[]	imported	
STG0095/ID00003/000008	stage	STG0095	ID00003	8	01_스테이지 xlsx 모음/STG0095(56화)-ID00003-script-통합.xlsx	7fc5a1aee6ac02cf43826052d06df0515222ef3d230da98e191b292d120b5fc0	62095fcde58ab7ded1aec29b7bf3724f9d5d63aab1131b0c51a1d062078ca8e3	릴리나		리리나	軒軒蟹		6	[]	imported	
STG0095/ID00003/000009	stage	STG0095	ID00003	9	01_스테이지 xlsx 모음/STG0095(56화)-ID00003-script-통합.xlsx	7fc5a1aee6ac02cf43826052d06df0515222ef3d230da98e191b292d120b5fc0	dc2cdcf05cd753920a833603ba6184e8fe49df6562ac9a8132fda1aa832d22f3	매스컴 쪽이군요		언론 관계자시군요	情経　淫域切獣浦推		18	[]	imported	
STG0095/ID00003/000010	stage	STG0095	ID00003	10	01_스테이지 xlsx 모음/STG0095(56화)-ID00003-script-통합.xlsx	7fc5a1aee6ac02cf43826052d06df0515222ef3d230da98e191b292d120b5fc0	8584b5a6eeb6d9eeec6485ecfedad9c20c9dc42a9c7daba0348d2ae9d3d567c9	이자벨		이자벨	戚切婚		6	[]	imported	
STG0095/ID00003/000011	stage	STG0095	ID00003	11	01_스테이지 xlsx 모음/STG0095(56화)-ID00003-script-통합.xlsx	7fc5a1aee6ac02cf43826052d06df0515222ef3d230da98e191b292d120b5fc0	298291cd2dde2c5d7b9ee4ec76bc15c02781749bc9daa27a95a540a6f98d939a	이사벨 크롱카이트라고 합니다		이자벨・크론카이트라고 합니다	戚切婚・滴経朝戚闘虞壱　杯艦陥		30	[]	imported	
STG0095/ID00003/000012	stage	STG0095	ID00003	12	01_스테이지 xlsx 모음/STG0095(56화)-ID00003-script-통합.xlsx	7fc5a1aee6ac02cf43826052d06df0515222ef3d230da98e191b292d120b5fc0	62095fcde58ab7ded1aec29b7bf3724f9d5d63aab1131b0c51a1d062078ca8e3	릴리나		리리나	軒軒蟹		6	[]	imported	
STG0095/ID00003/000013	stage	STG0095	ID00003	13	01_스테이지 xlsx 모음/STG0095(56화)-ID00003-script-통합.xlsx	7fc5a1aee6ac02cf43826052d06df0515222ef3d230da98e191b292d120b5fc0	23a922803b09186b3263c5ca3b7de9fe1e603fe9dceb6b2cb826e3cbf7deeb83	전쟁터에 덩크가 필요한가?라고		『전장에 단쿠가는 필요한가?』와	『穿舌拭　舘庭亜澗　琶推廃亜？』人		34	[]	imported	
STG0095/ID00003/000014	stage	STG0095	ID00003	14	01_스테이지 xlsx 모음/STG0095(56화)-ID00003-script-통합.xlsx	7fc5a1aee6ac02cf43826052d06df0515222ef3d230da98e191b292d120b5fc0	134c0c57bb13abffa35b90798ff29c60a419b654b2f2319acb42ebbb96609658	『파계와 재세의 끝』의 저자분이군요		『파계와 재세의 끝』의 저자시군요	『督域人　仙室税　魁』税　煽切獣浦推		36	[]	imported	
