entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0321/ID00003/000004	dlc	DLC0321	ID00003	4	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	ff15b5fc1bb992b45c49266198bf50f33ff7b60a1db234c29898512de293ed98	~마크로스 쿼터 격납고~		　　　　　　～마크로스・쿼터　격납고～	　　　　　　～原滴稽什・汀斗　維崖壱～		38	[]	imported	
DLC0321/ID00003/000005	dlc	DLC0321	ID00003	5	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0321/ID00003/000006	dlc	DLC0321	ID00003	6	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	3c307c5c8231fa48f6259f368f83338f05a256936dbcb844c4aa5fff132ec667	사가미만 앞바다 쓰레기 줍기?		사가미 만 앞바다의 쓰레기 줍기?	紫亜耕　幻　蒋郊陥税　床傾奄　掃奄？		36	[]	imported	
DLC0321/ID00003/000007	dlc	DLC0321	ID00003	7	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
DLC0321/ID00003/000008	dlc	DLC0321	ID00003	8	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	ae271a9f844565a76241317012e9a7f94606b52f476ac8a40849c76efbb0cdcb	그래.		그래. 극동지부의 오오츠카 장관님으로부터	益掘．　駅疑走採税　神神苧朝　舌淫還生稽採斗		44	[]	imported	
DLC0321/ID00003/000009	dlc	DLC0321	ID00003	9	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	26509e7db314707cb34f08c4a2dded782a81943d7a202295886ac247f8eccad1	극동지부의 오오츠카장관으로부터 $c에 의뢰가 왔어		$c에 의뢰가 왔어	$ｃ拭　税軽亜　尽嬢		20	"[""$c""]"	imported	
DLC0321/ID00003/000010	dlc	DLC0321	ID00003	10	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
DLC0321/ID00003/000011	dlc	DLC0321	ID00003	11	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	28caa02cff6f291c2edf2f6b7d6ea0fee6b399ab855584025681f172b181bd86	왜, 그런 얘기에?		어째서 그런 이야기가?	嬢属辞　益訓　戚醤奄亜？		24	[]	imported	
DLC0321/ID00003/000012	dlc	DLC0321	ID00003	12	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
DLC0321/ID00003/000013	dlc	DLC0321	ID00003	13	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	1ea32d644595f6958bc46524c7bc794ac8668b0682f6d8629d0392e63e84acb5	혹시, 거기에 적의 아지트가 있어서,		혹시 거기에 적의 아지트가 있어서	箸獣　暗奄拭　旋税　焼走闘亜　赤嬢辞		36	[]	imported	
DLC0321/ID00003/000014	dlc	DLC0321	ID00003	14	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	d51c8104d2e11075e0ba1edf055e3a9f5fbce069c3dfb81e380838647b89d57f	그것의 조사 카모플라주에서 쓰레기 줍기를?		그 조사의 위장으로 쓰레기 줍기를?	益　繕紫税　是舌生稽　床傾奄　掃奄研？		38	[]	imported	
DLC0321/ID00003/000015	dlc	DLC0321	ID00003	15	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	c0cef5a5cb41b06ebb757b4c6ffa2124f05b0ba3b653995e67d760c3c381af6e	타케루		타케루	展追欠		6	[]	imported	
DLC0321/ID00003/000016	dlc	DLC0321	ID00003	16	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	825765386a3ee604979b8f73a3d748597e049175e5b4c971cdc1cf2fb77c86db	아니면 시간의 감옥을 깨기 위한 힌트가 거기에?		아니면 시간의 감옥을 부는 힌트가 거기에?	焼艦檎　獣娃税　姶秦聖　採澗　微闘亜　暗奄拭？		46	[]	imported	
DLC0321/ID00003/000017	dlc	DLC0321	ID00003	17	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
DLC0321/ID00003/000018	dlc	DLC0321	ID00003	18	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	6eeaa1ebaf7b57390d83ef803109b6003e020604d40163d62e595dfbcb742601	아니...		아니…	焼艦…		6	[]	imported	
DLC0321/ID00003/000019	dlc	DLC0321	ID00003	19	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	e32ad3c347354e213f4df53ffd83e4611833f06bfd308dd2bbe88cefa14830cb	그런 건 전혀 없고, 정말 그냥 쓰레기 줍는 거야		그런 건 전혀 없고,정말 단순한 쓰레기 줍기야	益訓　闇　穿粕　蒸壱，舛源　舘授廃　床傾奄　掃奄醤		50	[]	imported	
DLC0321/ID00003/000020	dlc	DLC0321	ID00003	20	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신		신	重		2	[]	imported	
DLC0321/ID00003/000021	dlc	DLC0321	ID00003	21	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	73d2a3701c9e386fa8f5b40ab1e22fda32e0c16768cfbe6e4cb7f471676ea299	무슨 말이에요, 그거?		무슨 소리입니까,그게?	巷充　社軒脊艦猿，益惟？		24	[]	imported	
DLC0321/ID00003/000022	dlc	DLC0321	ID00003	22	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	cef92fa210919a0acb59165198cccf9bef3fe1bdc7f81c433eb0895539c0fb46	우리... 그렇게 한가하다고 생각하세요?		저희… 그렇게 한가하다고 생각되는 겁니까?	煽費…　益係惟　廃亜馬陥壱　持唖鞠澗　位艦猿？		46	[]	imported	
DLC0321/ID00003/000023	dlc	DLC0321	ID00003	23	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	9f6eb77d0cdcada3c71fcdb67d8f4d15f15485eb3534fa9b6669026eaa997fec	카밀		카미유	朝耕政		6	[]	imported	
DLC0321/ID00003/000024	dlc	DLC0321	ID00003	24	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	61936ccb5dbb21e14bbc8b70a0eb83d46cef46836e342f5cfec8ce910c883e90	확실히 지금은 다음 작전을 위한 준비중이고		확실히 지금은 다음 작전을 향한 준비 중으로	溌叔備　走榎精　陥製　拙穿聖　狽廃　層搾　掻生稽		48	[]	imported	
DLC0321/ID00003/000025	dlc	DLC0321	ID00003	25	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	95501ebdda52635d47cfd6dfc25dc53343100ab5e49927452e30eb8dede41bdd	일단락은 되어있지만...		일단락은 했지만…	析舘喰精　梅走幻…		18	[]	imported	
DLC0321/ID00003/000026	dlc	DLC0321	ID00003	26	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	0809e902288fd530b039e4e7fab7574e60ab089cc228349e4cb8bad432f0a05b	아무로		아무로	焼巷稽		6	[]	imported	
DLC0321/ID00003/000027	dlc	DLC0321	ID00003	27	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	d0cf5a7c8e171949f62499c28e261c58b0d865aa3f970427c2e5fa406507f1fb	그것에 대해서는 내가 설명하겠다		그것에 대해서는 내가 설명하지	益依拭　企背辞澗　鎧亜　竺誤馬走		32	[]	imported	
DLC0321/ID00003/000028	dlc	DLC0321	ID00003	28	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	0809e902288fd530b039e4e7fab7574e60ab089cc228349e4cb8bad432f0a05b	아무로		아무로	焼巷稽		6	[]	imported	
DLC0321/ID00003/000029	dlc	DLC0321	ID00003	29	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	fa72934b5c4a9688eaecc05dbb4ebbe544e279152d0d4589cd7baba7d2edd8a3	실은 이번 의뢰의 이면에는, 크로노가 관계하고 있어		이번 의뢰의 이면에는,크로노가 관계되어 있어	戚腰　税軽税　戚檎拭澗，滴稽葛亜　淫域鞠嬢　赤嬢		48	[]	imported	
DLC0321/ID00003/000030	dlc	DLC0321	ID00003	30	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	77ecd82a49bb1af43ee55410c3504d77a6e47e801b68ed6e271c630d4a192de1	아오이		아오이	焼神戚		6	[]	imported	
DLC0321/ID00003/000031	dlc	DLC0321	ID00003	31	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	4debc87ff667303021449f46887105827508f1af2a9a96c09a85e9dbcafcf1dc	사가미만(相模灣) 앞바다에 크로노(クロノの)의 기지가 있어?		사가미 만 앞바다에 크로노의 기지가 있는 거야?	紫亜耕　幻　蒋郊陥拭　滴稽葛税　奄走亜　赤澗　暗醤？		52	[]	imported	
DLC0321/ID00003/000032	dlc	DLC0321	ID00003	32	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
DLC0321/ID00003/000033	dlc	DLC0321	ID00003	33	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	d64ea9bb4cb4b796320594a9d09b1ca429a5ecc6b0c65c9d315a990ea20d4ff0	인정하고 싶지 않은 마음도 이해하지만,		인정하고 싶지 않은 기분도 알겠지만	昔舛馬壱　粛走　省精　奄歳亀　硝畏走幻		38	[]	imported	
DLC0321/ID00003/000034	dlc	DLC0321	ID00003	34	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	7c26d69d38fc067f0e032dfb7ce2f36113c8496f3f10b1e9c536250e8132d40d	정말 그런 게 아니니까		정말 그런 게 아니니까	舛源　益訓　惟　焼艦艦猿		24	[]	imported	
DLC0321/ID00003/000035	dlc	DLC0321	ID00003	35	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	0809e902288fd530b039e4e7fab7574e60ab089cc228349e4cb8bad432f0a05b	아무로		아무로	焼巷稽		6	[]	imported	
DLC0321/ID00003/000036	dlc	DLC0321	ID00003	36	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	f86dc5b07a932c67b8e4b9b027df93438177d2681337c4864fd30b26f279cf80	크로노에 의해 좌지우지된 연방군 총사령부와		크로노에게 지배당한 연방군 총사령부와 그 숨겨진	滴稽葛拭惟　走壕雁廃　尻号浦　恥紫敬採人　益　需移遭		52	[]	imported	
DLC0321/ID00003/000037	dlc	DLC0321	ID00003	37	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	e680a73f698e49b35cb9c1ee0038eef05dcaeab42e8dd061d4e6c2eda4abe91f	그 숨통이 트인 부대는 스페이스노이드 배척을 비롯한		부대는,스페이스노이드 배척을 시작으로 하는	採企澗，什凪戚什葛戚球　壕担聖　獣拙生稽　馬澗		46	[]	imported	
DLC0321/ID00003/000038	dlc	DLC0321	ID00003	38	!DLC/DLC0321_cpk/DLC0321(DLC-21)-ID00003-script-통합.xlsx	6831c5f470cc610ab008aefe7c53dd9b125b8fa109bcd06917b87adbe2de34ea	25ed7a038aa8ad687370826ed3bae874e4051a1cfde80998209b4a30272ec4bc	이기적이고 과격한 작전 행동을 전개하고 있다		이기적이고 과격한 작전 행동을 전개하고 있어	戚奄旋戚壱　引維廃　拙穿　楳疑聖　穿鯵馬壱　赤嬢		48	[]	imported	
