entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0070/ID00003/000004	stage	STG0070	ID00003	4	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	b3ecfb8e4f9b40431c79b3891d3cfb12b12d186521938f045c3825740d81dcf3	~패러다임 시티 바 'SPEAK EASY'~		　～파라다임 시티 바『SPEAK EASY』～	　～督虞陥績　獣銅　郊『ＳＰＥＡＫ　ＥＡＳＹ』～		48	[]	imported	
STG0070/ID00003/000005	stage	STG0070	ID00003	5	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
STG0070/ID00003/000006	stage	STG0070	ID00003	6	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	48e4e41e0b434e96556c0a7e17297001a555f8a6e4e0213b966b28b01ee85903	야, 마이 스윗 허니...		있잖아,마이 스위트 허니…	赤摂焼，原戚　什是闘　買艦…		28	[]	imported	
STG0070/ID00003/000007	stage	STG0070	ID00003	7	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	9f0d13e2b187196594cf0573e9692626bf4ba900a78aa3a490c3f8a1071766ef	안나로타		안나롯타	照蟹茎展		8	[]	imported	
STG0070/ID00003/000008	stage	STG0070	ID00003	8	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0070/ID00003/000009	stage	STG0070	ID00003	9	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
STG0070/ID00003/000010	stage	STG0070	ID00003	10	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	b5949a71b11893822717589a23572f97991b82c36aa5c6d3169c691c795d0a2e	있잖아... 별로 말하고 싶지 않은데,		저기… 말하고 싶진 않지만	煽奄…　源馬壱　粛遭　省走幻		28	[]	imported	
STG0070/ID00003/000011	stage	STG0070	ID00003	11	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	fffc1d728428b3847f33c5fddb7b98e88f5fa13d3865df5acb38aacf5670afe1	옆에서 그렇게 시무룩한 표정을 지으면		옆에서 그렇게 우울한 얼굴을 하고 있으면	新拭辞　益係惟　酔随廃　杖閏聖　馬壱　赤生檎		44	[]	imported	
STG0070/ID00003/000012	stage	STG0070	ID00003	12	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	77c7c90a800869019b8e686e3694c28721259b73b01358bb9f890e55342bcf05	모처럼의 술이 맛없게 되는데…		모처럼 마시는 술맛이 떨어지는데…	乞坦軍　原獣澗　綬言戚　恭嬢走澗汽…		36	[]	imported	
STG0070/ID00003/000013	stage	STG0070	ID00003	13	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	9f0d13e2b187196594cf0573e9692626bf4ba900a78aa3a490c3f8a1071766ef	안나로타		안나롯타	照蟹茎展		8	[]	imported	
STG0070/ID00003/000014	stage	STG0070	ID00003	14	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	4d64cc9cd0abbdbd4f1edc0f4fcdd1d548a578bff8e02bcf3087154cf4858db8	입 다물어...		닥쳐…	韓団…		6	[]	imported	
STG0070/ID00003/000015	stage	STG0070	ID00003	15	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
STG0070/ID00003/000016	stage	STG0070	ID00003	16	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	d580e07da5d607a2eb72e540978eb81dc2bb3d21ac30bebcaa853360a5136e2e	생각하고 있는 것은, 다~하고 싶어. 이해해.		생각하는 건 대충 알아	持唖馬澗　闇　企中　硝焼		24	[]	imported	
STG0070/ID00003/000017	stage	STG0070	ID00003	17	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	0cdbb61f7272be2d29d2088d8a5fa15a7c09dd9b7bee1fa70f842dbe906ee73c	안나로타는 나이브니까		안나롯타는 마음이 약하니까	照蟹茎展澗　原製戚　鉦馬艦猿		28	[]	imported	
STG0070/ID00003/000018	stage	STG0070	ID00003	18	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	9f0d13e2b187196594cf0573e9692626bf4ba900a78aa3a490c3f8a1071766ef	안나로타		안나롯타	照蟹茎展		8	[]	imported	
STG0070/ID00003/000019	stage	STG0070	ID00003	19	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0070/ID00003/000020	stage	STG0070	ID00003	20	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
STG0070/ID00003/000021	stage	STG0070	ID00003	21	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	c2ad89a174a3679781f3d891bdd8fae8ebe0000540bd24dd01033102e97f1f5b	고독이라고 알아?		고독이라고 알아?	壱偽戚虞壱　硝焼？		18	[]	imported	
STG0070/ID00003/000022	stage	STG0070	ID00003	22	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	9f0d13e2b187196594cf0573e9692626bf4ba900a78aa3a490c3f8a1071766ef	안나로타		안나롯타	照蟹茎展		8	[]	imported	
STG0070/ID00003/000023	stage	STG0070	ID00003	23	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	92ca55b3e557eff0e389845beec87e36e910a286bbcc295ff833ac355c51f37a	꼬덕이...?		고독…？	壱偽…？		8	[]	imported	
STG0070/ID00003/000024	stage	STG0070	ID00003	24	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
STG0070/ID00003/000025	stage	STG0070	ID00003	25	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	f226c4e9706bb4b2654fa885c607a595f532e223ac70397208877b5868610cae	이렇게 맨날 틈틈이 하다 보면		이렇게 매일 한가하게 있으면	戚係惟　古析　廃亜馬惟　赤生檎		30	[]	imported	
STG0070/ID00003/000026	stage	STG0070	ID00003	26	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	067148276e8d887dd5a5b435f6215e06c118af5bff60b0e2e925d475a6d88a1f	나름대로 지식을 쌓을 시간도 있고...		나름대로 지식을 얻을 시간도 있어서 말이지…	蟹硯企稽　走縦聖　条聖　獣娃亀　赤嬢辞　源戚走…		48	[]	imported	
STG0070/ID00003/000027	stage	STG0070	ID00003	27	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
STG0070/ID00003/000028	stage	STG0070	ID00003	28	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	353ea2c67eb35ee66560bc1058204d342d874557a74b9beb0b01e49f42b6644f	고독이라는 것은,		고독이란 건,항아리 속에 넣은	壱偽戚空　闇，牌焼軒　紗拭　隔精		32	[]	imported	
STG0070/ID00003/000029	stage	STG0070	ID00003	29	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	d850eeb3b0793a5b105bf79109d6802152650b66b7f7470604ea75e09b64a3b4	항아리 속에 든 여러 독충들에게 서로 죽이게 하고,		여러 독충이 서로 죽이게 해서	食君　偽中戚　辞稽　宋戚惟　背辞		32	[]	imported	
STG0070/ID00003/000030	stage	STG0070	ID00003	30	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	82852ef6716f9938efa219d1e434277fed4c6a25f100eea527e925b98c5969f3	살아남은 마지막 한마리를 사용하는 주술이야		살아남은 마지막 한 마리를 사용하는 주술이야	詞焼害精　原走厳　廃　原軒研　紫遂馬澗　爽綬戚醤		48	[]	imported	
STG0070/ID00003/000031	stage	STG0070	ID00003	31	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
STG0070/ID00003/000032	stage	STG0070	ID00003	32	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	95dab6daf365c9ea651087c232fa9f3851a094f23f9f2e13baf3bf6feb65471b	바로 지옥을 살아남은 독충이다.		말 그대로 지옥에서 살아남은 독충이다…	源　益企稽　走秦拭辞　詞焼害精　偽中戚陥…		42	[]	imported	
STG0070/ID00003/000033	stage	STG0070	ID00003	33	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	efafc5684e86064d726ac3dfd8802b490203896e4d7ff0109263ae8a5652aea1	필시 강렬한 저주를 뿌려주겠지		분명 강렬한 저주를 뿌려줄 거야	歳誤　悪慶廃　煽爽研　姿形匝　暗醤		34	[]	imported	
STG0070/ID00003/000034	stage	STG0070	ID00003	34	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	9f0d13e2b187196594cf0573e9692626bf4ba900a78aa3a490c3f8a1071766ef	안나로타		안나롯타	照蟹茎展		8	[]	imported	
STG0070/ID00003/000035	stage	STG0070	ID00003	35	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	a908898f36c6b9e47d5472a8ce2cb62467e7606ad2cf9266650c8b967784464f	…！		…！	…！		4	[]	imported	
STG0070/ID00003/000036	stage	STG0070	ID00003	36	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
STG0070/ID00003/000037	stage	STG0070	ID00003	37	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	2865ce9cb3e377fa4e0209e0c362446e8b933855006650eb2f19fa3c632b71f0	이 별은 정말 재미있다.		이 별은 정말 재밌어	戚　紺精　舛源　仙衡嬢		22	[]	imported	
STG0070/ID00003/000038	stage	STG0070	ID00003	38	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	7970f9b2a4234f269f1e594f069326c8f2f26e3abf45d434b2878e18f45b2610	우리들의 세미나에서는, 도저히 생각할 수 없는 발상이야		우리 제미나이에서는 생각도 못 할 발상이야	酔軒　薦耕蟹戚拭辞澗　持唖亀　公　拝　降雌戚醤		46	[]	imported	
STG0070/ID00003/000039	stage	STG0070	ID00003	39	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	9f0d13e2b187196594cf0573e9692626bf4ba900a78aa3a490c3f8a1071766ef	안나로타		안나롯타	照蟹茎展		8	[]	imported	
STG0070/ID00003/000040	stage	STG0070	ID00003	40	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	9566141f3554c13cb6fb8a9a3770aedcc64c98f94e16e977b90a5068b7e2d4ba	설마, 너는...!		설마,너는…！	竺原，格澗…！		14	[]	imported	
STG0070/ID00003/000041	stage	STG0070	ID00003	41	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
STG0070/ID00003/000042	stage	STG0070	ID00003	42	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	ae00fcb4f56be34c63bee25a2a1d4ea9d3f7fcf8443c730dca5b0685418cce16	자... 마지막으로 살아남는 사람은 누구일까...		자… 마지막으로 살아남는 건 누굴까…	切…　原走厳生稽　詞焼害澗　闇　刊閏猿…		40	[]	imported	
STG0070/ID00003/000043	stage	STG0070	ID00003	43	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	9f0d13e2b187196594cf0573e9692626bf4ba900a78aa3a490c3f8a1071766ef	안나로타		안나롯타	照蟹茎展		8	[]	imported	
STG0070/ID00003/000044	stage	STG0070	ID00003	44	01_스테이지 xlsx 모음/STG0070(42화A)-ID00003-script-통합.xlsx	fa954626d57f46a0ccf45a06fdf26b98ecdc765599ce97ced3077eb2578beb42	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
