entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0500/ID00003@FILE-ID00001/000002	stage	STG0500	ID00003@FILE-ID00001	2	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0500/ID00003@FILE-ID00001/000003	stage	STG0500	ID00003@FILE-ID00001	3	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	ec320daebf59707989f3010e68a7b9cc22176f434b7ba2d9def3ad820050c334	해피 에이스 파일럿!		해피・에이스 파일럿！	背杷・拭戚什　督析卦！		22	[]	imported	
STG0500/ID00003@FILE-ID00001/000004	stage	STG0500	ID00003@FILE-ID00001	4	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	3e3490e8948740662da02f4e8dcfc0d14709bf88e6271af91e0393fd98e645ae	축하합니다, 와타(ワッ太)님!		축하드립니다,왓타 님！	逐馬球験艦陥，甚展　還！		24	[]	imported	
STG0500/ID00003@FILE-ID00001/000005	stage	STG0500	ID00003@FILE-ID00001	5	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
STG0500/ID00003@FILE-ID00001/000006	stage	STG0500	ID00003@FILE-ID00001	6	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	afd78dd9d5f41c23798a3b286c84b2f33fa98a1a32d69393eb8d6e0f1b5e11b5	헤헤... 그렇게 축하를 받으면		헤헤…그렇게 축하받으니	伯伯…益係惟　逐馬閤生艦		24	[]	imported	
STG0500/ID00003@FILE-ID00001/000007	stage	STG0500	ID00003@FILE-ID00001	7	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	e221c260b4684add666d68fd5b033b6afb322deab18fa1b124a83bf640cd90ed	쑥스럽군		쑥스럽네	商什郡革		8	[]	imported	
STG0500/ID00003@FILE-ID00001/000008	stage	STG0500	ID00003@FILE-ID00001	8	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0500/ID00003@FILE-ID00001/000009	stage	STG0500	ID00003@FILE-ID00001	9	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	823de60c2f6f07517224c5e06a7e70d78900c4c17cd61f766876e2d6a845610e	무슨 말씀을 하시겠어요, 샤초!		무슨 말씀이십니까,사장님！	巷充　源掌戚淑艦猿，紫舌還！		28	[]	imported	
STG0500/ID00003@FILE-ID00001/000010	stage	STG0500	ID00003@FILE-ID00001	10	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	386383ff17d7c9ea06243ef75a3f5f07228d81843383e97c1e5b4063eca84292	샤초의 노력으로 $c는		사장님의 노력으로 $c는	紫舌還税　葛径生稽　$c澗		26	"[""$c""]"	imported	
STG0500/ID00003@FILE-ID00001/000011	stage	STG0500	ID00003@FILE-ID00001	11	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	c4c2c1963203f04487dd4209b080f216e6dff6d3b68ec257949ed980bd6d732a	가지고 있는 거잖아요!		거의 다 잡은 거나 마찬가지잖아요！	暗税　陥　説精　暗蟹　原濁亜走摂焼推！		38	[]	imported	
STG0500/ID00003@FILE-ID00001/000012	stage	STG0500	ID00003@FILE-ID00001	12	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0500/ID00003@FILE-ID00001/000013	stage	STG0500	ID00003@FILE-ID00001	13	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	9cfb98ba9226eb83acbe29d14fa7ec12239adc6c023e7924cd687c7e55b283d2	에이스가 된 것으로 샤초의 힘도		에이스가 된 것으로 사장님의 힘도	拭戚什亜　吉　依生稽　紫舌還税　毘亀		36	[]	imported	
STG0500/ID00003@FILE-ID00001/000014	stage	STG0500	ID00003@FILE-ID00001	14	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	892b9a828ed9a0913cc0b389bc3de31631c0063fc4ed1a8b69f4e43278cfff72	파워 업했으니까요!		파워업했으니까요！	督趨穣梅生艦猿推！		18	[]	imported	
STG0500/ID00003@FILE-ID00001/000015	stage	STG0500	ID00003@FILE-ID00001	15	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	56c5aff1a87f645d4d0d9ed48a2b9a87f758a300789b2f15d3693b8ce032ddc7	이제 우리도 평안해요!		이걸로 우리도 안심이네요！	戚杏稽　酔軒亀　照宿戚革推！		28	[]	imported	
STG0500/ID00003@FILE-ID00001/000016	stage	STG0500	ID00003@FILE-ID00001	16	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
STG0500/ID00003@FILE-ID00001/000017	stage	STG0500	ID00003@FILE-ID00001	17	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	0171a72b9e6b8091fa5650433c5f2fc4df4cc836b5747069a6e484fe0f81577d	아무래도 상관없지만, 그 「샤초」라는 것의		상관없지만,그 『사장님』이라는 건	雌淫蒸走幻，益　『紫舌還』戚虞澗　闇		36	[]	imported	
STG0500/ID00003@FILE-ID00001/000018	stage	STG0500	ID00003@FILE-ID00001	18	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	ee5e4bcfc1a71e4acf4efe8883283f3f5b0c28d6c778743850c883f83023d9f5	뭐야?		뭐야？	更醤？		6	[]	imported	
STG0500/ID00003@FILE-ID00001/000019	stage	STG0500	ID00003@FILE-ID00001	19	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0500/ID00003@FILE-ID00001/000020	stage	STG0500	ID00003@FILE-ID00001	20	01_스테이지 xlsx 모음/STG0500(에이스토크)-ID00001-script-통합.xlsx	2a466947ab4dd51c0ec16cad291c724311e2fb5ed4200435d7ba3d752f6c9f25	7d24414ed676398791fbc0aeb97d7d63321c50f6856165af0f5730e299704171	아… 이거 실례했습니다.		아…실례했습니다	焼…叔景梅柔艦陥		16	[]	imported	
