entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0069/ID00003/000002	stage	STG0069	ID00003	2	01_스테이지 xlsx 모음/STG0069(41화)-ID00003-script-통합.xlsx	94fb7326687d94beff84e4b0d709576154cc9db8d5fa1b56611db913c95887c9	37637cbae70c5060ed9e5b3c50a2069fd47945addf7be5d66fec59bf74bf937d	마리다		마리다	原軒陥		6	[]	imported	
STG0069/ID00003/000003	stage	STG0069	ID00003	3	01_스테이지 xlsx 모음/STG0069(41화)-ID00003-script-통합.xlsx	94fb7326687d94beff84e4b0d709576154cc9db8d5fa1b56611db913c95887c9	f79b248c15de74836d903a90e182298c28aaec0c533232f569993e9e9bc15233	마스터...!		마스터…！	原什斗…！		10	[]	imported	
STG0069/ID00003/000004	stage	STG0069	ID00003	4	01_스테이지 xlsx 모음/STG0069(41화)-ID00003-script-통합.xlsx	94fb7326687d94beff84e4b0d709576154cc9db8d5fa1b56611db913c95887c9	f465fc6687c9f26fc9e9dde3aabc2116fbb5fdc43a5de28b27e00fa3c34b083a	마스터!!		마스터！！	原什斗！！		10	[]	imported	
STG0069/ID00003/000005	stage	STG0069	ID00003	5	01_스테이지 xlsx 모음/STG0069(41화)-ID00003-script-통합.xlsx	94fb7326687d94beff84e4b0d709576154cc9db8d5fa1b56611db913c95887c9	37637cbae70c5060ed9e5b3c50a2069fd47945addf7be5d66fec59bf74bf937d	마리다		마리다	原軒陥		6	[]	imported	
STG0069/ID00003/000006	stage	STG0069	ID00003	6	01_스테이지 xlsx 모음/STG0069(41화)-ID00003-script-통합.xlsx	94fb7326687d94beff84e4b0d709576154cc9db8d5fa1b56611db913c95887c9	0bf7420d7fe925a5aa81a5b482d9e2a35ebeb2a74e592347d9bdee5b50e7d900	두고 가지 마...!		두고 가지 마…！	砧壱　亜走　原…！		18	[]	imported	
STG0069/ID00003/000007	stage	STG0069	ID00003	7	01_스테이지 xlsx 모음/STG0069(41화)-ID00003-script-통합.xlsx	94fb7326687d94beff84e4b0d709576154cc9db8d5fa1b56611db913c95887c9	45a99dc70adc9611f0927f075be49ddaa77beede142fd0a477f799c08434b5ab	나는...나는...!!		나는…나는…！！	蟹澗…蟹澗…！！		16	[]	imported	
STG0069/ID00003/000008	stage	STG0069	ID00003	8	01_스테이지 xlsx 모음/STG0069(41화)-ID00003-script-통합.xlsx	94fb7326687d94beff84e4b0d709576154cc9db8d5fa1b56611db913c95887c9	3fe3a9d5ff5031b4a1a9f594cb565c8f7ef7186527690676d3e3ef2f40304c71	？？？		？？？	？？？		6	[]	imported	
STG0069/ID00003/000009	stage	STG0069	ID00003	9	01_스테이지 xlsx 모음/STG0069(41화)-ID00003-script-통합.xlsx	94fb7326687d94beff84e4b0d709576154cc9db8d5fa1b56611db913c95887c9	8319d04b21ccb012f53c1889d2c58a2ca6b1deb02597b73fa09edf7ca36697e1	괜찮아。		괜찮다	右諾陥		6	[]	imported	
STG0069/ID00003/000010	stage	STG0069	ID00003	10	01_스테이지 xlsx 모음/STG0069(41화)-ID00003-script-통합.xlsx	94fb7326687d94beff84e4b0d709576154cc9db8d5fa1b56611db913c95887c9	a231071f131f09cdd597d64266045d6a35a5d215132003b0b7f80cfd47218970	이제 누구에게도 너를 다치게 하지 않을거야		이제 아무도 널 다치게 하지 않겠다	戚薦　焼巷亀　確　陥帖惟　馬走　省畏陥		38	[]	imported	
STG0069/ID00003/000011	stage	STG0069	ID00003	11	01_스테이지 xlsx 모음/STG0069(41화)-ID00003-script-통합.xlsx	94fb7326687d94beff84e4b0d709576154cc9db8d5fa1b56611db913c95887c9	37637cbae70c5060ed9e5b3c50a2069fd47945addf7be5d66fec59bf74bf937d	마리다		마리다	原軒陥		6	[]	imported	
