entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0089b/ID00003/000004	stage	STG0089b	ID00003	4	01_스테이지 xlsx 모음/STG0089b(50화B)-ID00003-script-통합.xlsx	6b489bd492814e875b283c12d2f9a01e47a0c7a795029553fed2e40ba5656ca1	a1811707376cf5e94c1c0e5613e3385f5c63b686217acc6fc6596808b91d1492	~아르테아계 아이언시 지표 ~		　　　　　　～알테어계 아이언 시 지표～	　　　　　　～硝砺嬢域　焼戚情　獣　走妊～		42	[]	imported	
STG0089b/ID00003/000005	stage	STG0089b	ID00003	5	01_스테이지 xlsx 모음/STG0089b(50화B)-ID00003-script-통합.xlsx	6b489bd492814e875b283c12d2f9a01e47a0c7a795029553fed2e40ba5656ca1	9a36170dc90fb33fdeeaf1882977daa906ff8a3e5171bd4fecebf6cac54bd516	카이엔		카이엔	朝戚殖		6	[]	imported	
STG0089b/ID00003/000006	stage	STG0089b	ID00003	6	01_스테이지 xlsx 모음/STG0089b(50화B)-ID00003-script-통합.xlsx	6b489bd492814e875b283c12d2f9a01e47a0c7a795029553fed2e40ba5656ca1	20aa178d53593b020a3ff090bd3f400433a59b3f9eb1eb80c11e078ea1afb038	아마타(アマタ、), 어디로 갈 생각이야!?		아마타,어디로 갈 생각이야！？	焼原展，嬢巨稽　哀　持唖戚醤！？		32	[]	imported	
STG0089b/ID00003/000007	stage	STG0089b	ID00003	7	01_스테이지 xlsx 모음/STG0089b(50화B)-ID00003-script-통합.xlsx	6b489bd492814e875b283c12d2f9a01e47a0c7a795029553fed2e40ba5656ca1	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
STG0089b/ID00003/000008	stage	STG0089b	ID00003	8	01_스테이지 xlsx 모음/STG0089b(50화B)-ID00003-script-통합.xlsx	6b489bd492814e875b283c12d2f9a01e47a0c7a795029553fed2e40ba5656ca1	35efe537eb063878fe6c875b7c3d599b7157aa54dc7274dea841a168fde576f7	누군가가... 나를 부르고 있다...!		누군가가… 나를 부르고 있어…！	刊浦亜亜…　蟹研　採牽壱　赤嬢…！		34	[]	imported	
STG0089b/ID00003/000009	stage	STG0089b	ID00003	9	01_스테이지 xlsx 모음/STG0089b(50화B)-ID00003-script-통합.xlsx	6b489bd492814e875b283c12d2f9a01e47a0c7a795029553fed2e40ba5656ca1	9a36170dc90fb33fdeeaf1882977daa906ff8a3e5171bd4fecebf6cac54bd516	카이엔		카이엔	朝戚殖		6	[]	imported	
STG0089b/ID00003/000010	stage	STG0089b	ID00003	10	01_스테이지 xlsx 모음/STG0089b(50화B)-ID00003-script-통합.xlsx	6b489bd492814e875b283c12d2f9a01e47a0c7a795029553fed2e40ba5656ca1	006ee7bfa4e11495b01bebec20e931e75d34bf93d203bcecee695d08f180a637	아마타!		아마타!	焼原展！		8	[]	imported	
STG0089b/ID00003/000011	stage	STG0089b	ID00003	11	01_스테이지 xlsx 모음/STG0089b(50화B)-ID00003-script-통합.xlsx	6b489bd492814e875b283c12d2f9a01e47a0c7a795029553fed2e40ba5656ca1	b442dbc15fa9eee9687a6bbfd3d4b6efd8fe7c9bc1510e03ee207f02884766f1	몰로이		모로이	乞稽戚		6	[]	imported	
STG0089b/ID00003/000012	stage	STG0089b	ID00003	12	01_스테이지 xlsx 모음/STG0089b(50화B)-ID00003-script-통합.xlsx	6b489bd492814e875b283c12d2f9a01e47a0c7a795029553fed2e40ba5656ca1	cf07779bbe70cb3bcc5a83062eaa6fbaf5f27ac0b5a49724ee2419084fdce1b3	큰일 났다 카이엔!		큰일이야,카이엔!	笛析戚醤，朝戚殖！		18	[]	imported	
STG0089b/ID00003/000013	stage	STG0089b	ID00003	13	01_스테이지 xlsx 모음/STG0089b(50화B)-ID00003-script-통합.xlsx	6b489bd492814e875b283c12d2f9a01e47a0c7a795029553fed2e40ba5656ca1	c92b0b04755e62afe12b86fb8b2f612371af22159e7e79425a8afbd823d21781	미코노랑 제시카도 혼자 어디론가 가버렸어!		미코노와 제시카도 혼자 어딘가로 가버렸어!	耕坪葛人　薦獣朝亀　肇切　嬢拠亜稽　亜獄携嬢！		46	[]	imported	
STG0089b/ID00003/000014	stage	STG0089b	ID00003	14	01_스테이지 xlsx 모음/STG0089b(50화B)-ID00003-script-통합.xlsx	6b489bd492814e875b283c12d2f9a01e47a0c7a795029553fed2e40ba5656ca1	9a36170dc90fb33fdeeaf1882977daa906ff8a3e5171bd4fecebf6cac54bd516	카이엔		카이엔	朝戚殖		6	[]	imported	
STG0089b/ID00003/000015	stage	STG0089b	ID00003	15	01_스테이지 xlsx 모음/STG0089b(50화B)-ID00003-script-통합.xlsx	6b489bd492814e875b283c12d2f9a01e47a0c7a795029553fed2e40ba5656ca1	848df1250ef01a64aec33aa824be2ef6660c15c348c67d92d4c5eab2ed4786e6	뭐야!?		뭐！？	更！？		6	[]	imported	
