entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0250-35화후분기/ID00003/000004	stage	STG0250-35화후분기	ID00003	4	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	2bd413034c814011d5b11a3177e5963defee5c79dba60e07adbac2cb919938c7	~지구연방군 총사령부 프리벤터 본부~		　　　　～지구연방군 총사령부 프리벤터 본부～	　　　　～走姥尻号浦　恥紫敬採　覗軒坤斗　沙採～		48	[]	imported	
STG0250-35화후분기/ID00003/000005	stage	STG0250-35화후분기	ID00003	5	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레디	傾巨		4	[]	imported	
STG0250-35화후분기/ID00003/000006	stage	STG0250-35화후분기	ID00003	6	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0250-35화후분기/ID00003/000007	stage	STG0250-35화후분기	ID00003	7	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	172a9d0339aac1a7416c52a3ea9f7b5a2b657caf6fe1931b35b568926eaf0956	사이가스		사이가스	紫戚亜什		8	[]	imported	
STG0250-35화후분기/ID00003/000008	stage	STG0250-35화후분기	ID00003	8	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	c06e25e6b41056db86e7206030bb98124e4fbaf28f6b6508e7710b568ccbbf72	네오지온과의 싸움은		네오・지온과의 싸움은	革神・走紳引税　塾崇精		22	[]	imported	
STG0250-35화후분기/ID00003/000009	stage	STG0250-35화후분기	ID00003	9	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	a95078f693268b25db419968f885563a14798ac71128850b357241ed2a528add	일진일퇴의 상황이 계속되어 교착상태에 빠져 있다고		일진일퇴의 상황이 계속되어 교착 상태에 빠졌다고	析遭析盗税　雌伐戚　域紗鞠嬢　嘘鐸　雌殿拭　匙然陥壱		52	[]	imported	
STG0250-35화후분기/ID00003/000010	stage	STG0250-35화후분기	ID00003	10	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	3585052b208602eac777b80aae4cfa5cebf780cf353fe874209dabd52af8a749	말해도 좋다		해도 좋겠지	背亀　疏畏走		12	[]	imported	
STG0250-35화후분기/ID00003/000011	stage	STG0250-35화후분기	ID00003	11	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레디	傾巨		4	[]	imported	
STG0250-35화후분기/ID00003/000012	stage	STG0250-35화후분기	ID00003	12	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	729581d2e826a40fbe643c933784ddb4a271e93617d9bb08113f6d7439bba729	알고 있습니다		알고 있습니다	硝壱　赤柔艦陥		14	[]	imported	
STG0250-35화후분기/ID00003/000013	stage	STG0250-35화후분기	ID00003	13	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	172a9d0339aac1a7416c52a3ea9f7b5a2b657caf6fe1931b35b568926eaf0956	사이가스		사이가스	紫戚亜什		8	[]	imported	
STG0250-35화후분기/ID00003/000014	stage	STG0250-35화후분기	ID00003	14	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	3bdfbef1df713288afdd9b8b5c739194dd6a0dac097baccb7e64e33397802744	이 상황을 타파하기 위해서라도		이 상황을 타개하기 위해서라도	戚　雌伐聖　展鯵馬奄　是背辞虞亀		32	[]	imported	
STG0250-35화후분기/ID00003/000015	stage	STG0250-35화후분기	ID00003	15	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	5221ba1601709b8fa589c7c51aeede039bbffdd7d7da8985f939dd0a13509a46	$c를 전선에 투입시키다		$c를 전선에 투입해 줘	$ｃ研　穿識拭　燈脊背　操		26	"[""$c""]"	imported	
STG0250-35화후분기/ID00003/000016	stage	STG0250-35화후분기	ID00003	16	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레디	傾巨		4	[]	imported	
STG0250-35화후분기/ID00003/000017	stage	STG0250-35화후분기	ID00003	17	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	9ed74e892adf9456f6fcb96434c50735a8bbf3ace1d2753e813dc085a2111be7	그 건에 대해서는 이미 거절했을 겁니다		그 건에 대해서는 이미 거절했을 텐데요	益　闇拭　企背辞澗　戚耕　暗箭梅聖　度汽推		42	[]	imported	
STG0250-35화후분기/ID00003/000018	stage	STG0250-35화후분기	ID00003	18	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레디	傾巨		4	[]	imported	
STG0250-35화후분기/ID00003/000019	stage	STG0250-35화후분기	ID00003	19	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	d378e6e2046c0656efa797679cf0c3a70d63acc5025a4d7a96d38f37b6dfb7f0	$c는 대통령 직속의 독립 부대로서		$c는 대통령 직속의 독립 부대로	$ｃ澗　企搭敬　送紗税　偽験　採企稽		36	"[""$c""]"	imported	
STG0250-35화후분기/ID00003/000020	stage	STG0250-35화후분기	ID00003	20	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	99ce8511c78ec91381873d9c7cc0b6256de2881db9901fb7497cc485520e0d7a	전 인류의 평화와 발전을 위해 활동하고 있기 때문에		전 인류의 평화와 발전을 위해 활동하고 있으므로	穿　昔嫌税　汝鉢人　降穿聖　是背　醗疑馬壱　赤生糠稽		52	[]	imported	
STG0250-35화후분기/ID00003/000021	stage	STG0250-35화후분기	ID00003	21	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	172a9d0339aac1a7416c52a3ea9f7b5a2b657caf6fe1931b35b568926eaf0956	사이가스		사이가스	紫戚亜什		8	[]	imported	
STG0250-35화후분기/ID00003/000022	stage	STG0250-35화후분기	ID00003	22	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	57c602a266a828b9b341edaff3077b99d60536d6bfba1e851e62f7e211230402	그러기 위해서도 네오 지온을 칠 필요가 있는 것이다!		그렇기에 네오・지온을 공격할 필요가 있는 거다！	益係奄拭　革神・走紳聖　因維拝　琶推亜　赤澗　暗陥！		52	[]	imported	
STG0250-35화후분기/ID00003/000023	stage	STG0250-35화후분기	ID00003	23	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레디	傾巨		4	[]	imported	
STG0250-35화후분기/ID00003/000024	stage	STG0250-35화후분기	ID00003	24	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	64d4cea79af1d479ce247383521dd8dcb1fd8df76a4cd2d351317c96c5c9fd2f	물론 전쟁의 조기 종결도 중요합니다.		물론,전쟁의 조기 종결도 중요합니다	弘経，穿戦税　繕奄　曽衣亀　掻推杯艦陥		38	[]	imported	
STG0250-35화후분기/ID00003/000025	stage	STG0250-35화후분기	ID00003	25	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	e558fb242da1ca9a9cfd00bc875817ac83dbdd6e83e3c6726b4c22ff7e5f5336	하지만 이번 싸움은 어떤 인간의 특정한 의도 하에		하지만,이번 전쟁은 어떤 인간의 특정한	馬走幻，戚腰　穿戦精　嬢恐　昔娃税　働舛廃		42	[]	imported	
STG0250-35화후분기/ID00003/000026	stage	STG0250-35화후분기	ID00003	26	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	3d54ab8a72b6949658ae2c44b772a81740f577202c097478bb0e69f5fbb7805d	유도된 것이라는 것은 알고 있는 바와 같습니다		의도 아래 유도된 것임을 알고 있잖아요	税亀　焼掘　政亀吉　依績聖　硝壱　赤摂焼推		42	[]	imported	
STG0250-35화후분기/ID00003/000027	stage	STG0250-35화후분기	ID00003	27	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레디	傾巨		4	[]	imported	
STG0250-35화후분기/ID00003/000028	stage	STG0250-35화후분기	ID00003	28	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	16efe08aceba953c771e4d416e405c598f782ae84229a547f8a560396c39594a	$c는 그들을 쫓는 임무를 맡고 있습니다		$c는 그들을 쫓는 임무를 맡고 있습니다	$ｃ澗　益級聖　耐澗　績巷研　乎壱　赤柔艦陥		44	"[""$c""]"	imported	
STG0250-35화후분기/ID00003/000029	stage	STG0250-35화후분기	ID00003	29	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	172a9d0339aac1a7416c52a3ea9f7b5a2b657caf6fe1931b35b568926eaf0956	사이가스		사이가스	紫戚亜什		8	[]	imported	
STG0250-35화후분기/ID00003/000030	stage	STG0250-35화후분기	ID00003	30	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	b65f1e124c8d2234b047ab266d8207fa78536ac3b3605a1192cdeb339644b4cf	이쯤 되면, 발단은 그다지 의미를 갖지 않는다!		이쯤 되면,발단은 그다지 의미가 없어！	戚鷹　鞠檎，降舘精　益陥走　税耕亜　蒸嬢！		42	[]	imported	
STG0250-35화후분기/ID00003/000031	stage	STG0250-35화후분기	ID00003	31	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	31615e6afb1254dfdeece53bfaf0739ba5963de244681bc1f4b3e22e8e1ea1bc	중요한 것은 승리하는 것이다!		중요한 것은 승리하는 거다！	掻推廃　依精　渋軒馬澗　暗陥！		30	[]	imported	
STG0250-35화후분기/ID00003/000032	stage	STG0250-35화후분기	ID00003	32	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레디	傾巨		4	[]	imported	
STG0250-35화후분기/ID00003/000033	stage	STG0250-35화후분기	ID00003	33	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	9dcc6fad0782c80940f8cf529ce6b032310ca8a617a8396582c08e39352d7fce	이터니티 플랫까지 시간이 없다는 것을 알면서도,		이터니티・플랫까지 시간이 없다는 걸 알면서도,	戚斗艦銅・巴熊猿走　獣娃戚　蒸陥澗　杏　硝檎辞亀，		50	[]	imported	
STG0250-35화후분기/ID00003/000034	stage	STG0250-35화후분기	ID00003	34	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	3a455f138f06f0ae85736a6f4b28ba5e094a32dad591fe2eb6dd800efa62bcd2	아직도 싸우겠다는 거죠?		아직 싸우겠다는 건가요？	焼送　塾酔畏陥澗　闇亜推？		26	[]	imported	
STG0250-35화후분기/ID00003/000035	stage	STG0250-35화후분기	ID00003	35	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	172a9d0339aac1a7416c52a3ea9f7b5a2b657caf6fe1931b35b568926eaf0956	사이가스		사이가스	紫戚亜什		8	[]	imported	
STG0250-35화후분기/ID00003/000036	stage	STG0250-35화후분기	ID00003	36	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	22b93fce1018e3491345e192c66a7e8b08a2b3e88ac6981d3d98c57083c28f3f	그건 샤아 아즈나블하게 말해!		그건 샤아・아즈나블에게 말해！	益闇　時焼・焼綜蟹鷺拭惟　源背！		32	[]	imported	
STG0250-35화후분기/ID00003/000037	stage	STG0250-35화후분기	ID00003	37	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	4725fb494ee7e86910b985eaf47cd71389e2979823cc315c91107f211ca034d2	대통령은 그 녀석에게 사실을 전했다는데		대통령은 그놈에게 사실을 전했다는데도	企搭敬精　益叶拭惟　紫叔聖　穿梅陥澗汽亀		40	[]	imported	
STG0250-35화후분기/ID00003/000038	stage	STG0250-35화후분기	ID00003	38	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	c3bf90cb59dcd5fb743d104b2274ecde42c354fb34f5339d273d52e54d53da1c	정전 의사는 전혀 보이지 않아요!		정전 의사는 전혀 보이지 않아！	舛穿　税紫澗　穿粕　左戚走　省焼！		34	[]	imported	
STG0250-35화후분기/ID00003/000039	stage	STG0250-35화후분기	ID00003	39	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	172a9d0339aac1a7416c52a3ea9f7b5a2b657caf6fe1931b35b568926eaf0956	사이가스		사이가스	紫戚亜什		8	[]	imported	
STG0250-35화후분기/ID00003/000040	stage	STG0250-35화후분기	ID00003	40	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	5dec190df741dfb7577b144d6a6575b7959b3f8a30e7a9f8282ca1fe7fff222c	그렇다면 이쪽이라고 해서 물러설 수는 없지!		그렇다면,이쪽도 물러설 수는 없어！	益係陥檎，戚楕亀　弘君竺　呪澗　蒸嬢！		38	[]	imported	
STG0250-35화후분기/ID00003/000041	stage	STG0250-35화후분기	ID00003	41	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레디	傾巨		4	[]	imported	
STG0250-35화후분기/ID00003/000042	stage	STG0250-35화후분기	ID00003	42	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	790da12932e618170a35d493cddbe953f1fdeae384278aa56c138ff5bc06e3db	그런 하찮은 고집이		그런 시시한 자존심 싸움이	益訓　獣獣廃　切糎宿　塾崇戚		28	[]	imported	
STG0250-35화후분기/ID00003/000043	stage	STG0250-35화후분기	ID00003	43	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	17265dadf9f21f7a022d85c48204d86c7d852f84ee10d2ccd68cb853e567e8bb	얼마나 많은 희생을 낳을지,		얼마나 많은 희생을 낳는지,	杖原蟹　弦精　費持聖　該澗走，		30	[]	imported	
STG0250-35화후분기/ID00003/000044	stage	STG0250-35화후분기	ID00003	44	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	0ce7cb75e767edc3e09ea28002077009c0ee38fcc267400dbd724405f5c04a57	당신은 알고 있나요?		당신은 알고 있나요？	雁重精　硝壱　赤蟹推？		22	[]	imported	
STG0250-35화후분기/ID00003/000045	stage	STG0250-35화후분기	ID00003	45	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	172a9d0339aac1a7416c52a3ea9f7b5a2b657caf6fe1931b35b568926eaf0956	사이가스		사이가스	紫戚亜什		8	[]	imported	
STG0250-35화후분기/ID00003/000046	stage	STG0250-35화후분기	ID00003	46	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	55dc5c86b4f1c194107fac74a4df7b1df3853322a93a0671c06f49c916255f86	어디까지나 총사령부의 의향을 거부한다면,		어디까지나 총사령부의 의향을 거부한다면,	嬢巨猿走蟹　恥紫敬採税　税狽聖　暗採廃陥檎，		44	[]	imported	
STG0250-35화후분기/ID00003/000047	stage	STG0250-35화후분기	ID00003	47	01_스테이지 xlsx 모음/STG0250(35화후분기)-ID00003-script-통합.xlsx	4288bce18dfe1386083ee6ff59d04a75e85e8e31ceb76464da7720ff3f64815b	c29cde5dc22f341d3ca2b164046c77583af867f38a631794691734db6f597696	이쪽에도 생각이 있다		이쪽에도 생각이 있다	戚楕拭亀　持唖戚　赤陥		22	[]	imported	
