entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0323/ID00004/000002	dlc	DLC0323	ID00004	2	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
DLC0323/ID00004/000003	dlc	DLC0323	ID00004	3	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	18af32326ae2d161b44692a7ec90a6aab19a940c9e535a43dee250767c97f674	이탈할 수 있었던 것은 이것뿐인가!		탈출할 수 있었던 건,이것뿐인가!	纏窒拝　呪　赤醸揮　闇，戚依屍昔亜！		36	[]	imported	
DLC0323/ID00004/000004	dlc	DLC0323	ID00004	4	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	cd56973351221cd65e21d28b9230cd2aac3da43a9f2e29ca28ac75875f54ccf4	제미니스		제미니스	薦耕艦什		8	[]	imported	
DLC0323/ID00004/000005	dlc	DLC0323	ID00004	5	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	4d9738988068b33fc1c797c7bc1c6c35f489dea3644428e93679d96bf7852c28	잔존 부대는 뿔뿔이 흩어져 있는 모양입니다!		잔존 부대는 뿔뿔이 흩어진 모양입니다!	接糎　採企澗　市市戚　誹嬢遭　乞丞脊艦陥！		42	[]	imported	
DLC0323/ID00004/000006	dlc	DLC0323	ID00004	6	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
DLC0323/ID00004/000007	dlc	DLC0323	ID00004	7	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	143e9e353007ae0dbfb8864b6f2cf23e0a6de6570ee16b7040379af8ef852a71	이씨!		젠장!	賎舌！		6	[]	imported	
DLC0323/ID00004/000008	dlc	DLC0323	ID00004	8	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	609b899d3126154b1561a5c6302680571d36ad9b0904cd1267b8cea560624c94	제미니스(ジェミニのス精鋭が)의 정예가 얼마나 자마(ザマ)야!		제미니스의 정예가 어째서 이 꼴이 된 거냐!	薦耕艦什税　舛森亜　嬢属辞　戚　加戚　吉　暗劃！		48	[]	imported	
DLC0323/ID00004/000009	dlc	DLC0323	ID00004	9	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	9f0d13e2b187196594cf0573e9692626bf4ba900a78aa3a490c3f8a1071766ef	안나로타		안나롯타	照蟹茎展		8	[]	imported	
DLC0323/ID00004/000010	dlc	DLC0323	ID00004	10	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	2e21ad74ee72aabf07953003d9179cc1254281f0ae4b9df02d330fa1c8c72c11	하루아침에 제미나이가 망하다니...		하룻밤 사이에 제미나이가 멸망하다니…	馬訣鴻　紫戚拭　薦耕蟹戚亜　瑚諺馬陥艦…		40	[]	imported	
DLC0323/ID00004/000011	dlc	DLC0323	ID00004	11	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	cd56973351221cd65e21d28b9230cd2aac3da43a9f2e29ca28ac75875f54ccf4	제미니스		제미니스	薦耕艦什		8	[]	imported	
DLC0323/ID00004/000012	dlc	DLC0323	ID00004	12	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	bf86eb648e076ecda06c69c080d157814f4152eac28e21f189b2316d4e278fac	도대체 누구예요, 놈들은!?		대체 뭐 하는 녀석들입니까,저들은!?	企端　更　馬澗　橿汐級脊艦猿，煽級精！？		40	[]	imported	
DLC0323/ID00004/000013	dlc	DLC0323	ID00004	13	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
DLC0323/ID00004/000014	dlc	DLC0323	ID00004	14	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	af13382ddcc2ddb6b37b88cf465bc53dd192449668677e5f9b43decc46ec739e	…모르겠다		…모르겠다	…乞牽畏陥		10	[]	imported	
DLC0323/ID00004/000015	dlc	DLC0323	ID00004	15	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
DLC0323/ID00004/000016	dlc	DLC0323	ID00004	16	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	80c37cb2c9c113b9754a8dfd5495bc8e0006d62daa9ea68f983ff73767447b2a	우리 이상으로 영자력을 발휘하여,		우리 이상으로 영자력을 잘 다루고	酔軒　戚雌生稽　慎切径聖　設　陥欠壱		36	[]	imported	
DLC0323/ID00004/000017	dlc	DLC0323	ID00004	17	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	2920dccd7b952b3f2c85eee01d82105e8e8057260c14f5101e5460b4fb80d0a6	그 정도의 전력으로 선전포고도 없이 덤비다니…		그런 전력으로 선전포고도 없이 쳐들어오다니…	益訓　穿径生稽　識穿匂壱亀　蒸戚　団級嬢神陥艦…		48	[]	imported	
DLC0323/ID00004/000018	dlc	DLC0323	ID00004	18	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	9f0d13e2b187196594cf0573e9692626bf4ba900a78aa3a490c3f8a1071766ef	안나로타		안나롯타	照蟹茎展		8	[]	imported	
DLC0323/ID00004/000019	dlc	DLC0323	ID00004	19	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	10b0e0bec3e4c8b02e8ccb6bb41ad3fee8158948630649ed1c7cdec43deb44fe	어떤 성간 연합 조직인가요?		뭔가 다른 성간 연합 조직일까요?	杭亜　陥献　失娃　尻杯　繕送析猿推？		36	[]	imported	
DLC0323/ID00004/000020	dlc	DLC0323	ID00004	20	!DLC/DLC0323_cpk/DLC0323(DLC-23)-ID00004-script-통합.xlsx	2d2dc11c70993d4ac0976bf4eda60dfac41c5a491bceed5a158b8666f6a48d84	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
