entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0041/ID00003/000004	stage	STG0041	ID00003	4	01_스테이지 xlsx 모음/STG0041(23화B)-ID00003-script-통합.xlsx	1484d340764bbe385a165f50032ff9255fc0f530c7b88760fc2409c94e9dd177	4130a457ec41441d513e2959c22b5786f54dd1144676f30e6b1325301c3a6448	~성천사학원 슈레이드의 방~		　　　　　　～성천사 학원 슈레이드의 방～	　　　　　　～失探紫　俳据　輯傾戚球税　号～		44	[]	imported	
STG0041/ID00003/000005	stage	STG0041	ID00003	5	01_스테이지 xlsx 모음/STG0041(23화B)-ID00003-script-통합.xlsx	1484d340764bbe385a165f50032ff9255fc0f530c7b88760fc2409c94e9dd177	72c46e86b9bce2a39b21c88b29d2c2694bfdc9de11afb16758ff626562bade9e	슈레이드		슈레이드	輯傾戚球		8	[]	imported	
STG0041/ID00003/000006	stage	STG0041	ID00003	6	01_스테이지 xlsx 모음/STG0041(23화B)-ID00003-script-통합.xlsx	1484d340764bbe385a165f50032ff9255fc0f530c7b88760fc2409c94e9dd177	04261876465c6cfe70581e267ddab1ea973a6ceef2f5b6e0cb61ad2144df78bf	...신기하네, 친구.		…드문 일이군,친구	…球庚　析戚浦，庁姥		20	[]	imported	
STG0041/ID00003/000007	stage	STG0041	ID00003	7	01_스테이지 xlsx 모음/STG0041(23화B)-ID00003-script-통합.xlsx	1484d340764bbe385a165f50032ff9255fc0f530c7b88760fc2409c94e9dd177	62ffa4e1f555c7edcce625e44bbf29ec7af3f2b2122d4ade7b3de10e5b11d0d6	네가 나의 방을 찾아주다니		네가 내 방을 찾아오다니	革亜　鎧　号聖　達焼神陥艦		26	[]	imported	
STG0041/ID00003/000008	stage	STG0041	ID00003	8	01_스테이지 xlsx 모음/STG0041(23화B)-ID00003-script-통합.xlsx	1484d340764bbe385a165f50032ff9255fc0f530c7b88760fc2409c94e9dd177	9a36170dc90fb33fdeeaf1882977daa906ff8a3e5171bd4fecebf6cac54bd516	카이엔		카이엔	朝戚殖		6	[]	imported	
STG0041/ID00003/000009	stage	STG0041	ID00003	9	01_스테이지 xlsx 모음/STG0041(23화B)-ID00003-script-통합.xlsx	1484d340764bbe385a165f50032ff9255fc0f530c7b88760fc2409c94e9dd177	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0041/ID00003/000010	stage	STG0041	ID00003	10	01_스테이지 xlsx 모음/STG0041(23화B)-ID00003-script-통합.xlsx	1484d340764bbe385a165f50032ff9255fc0f530c7b88760fc2409c94e9dd177	72c46e86b9bce2a39b21c88b29d2c2694bfdc9de11afb16758ff626562bade9e	슈레이드		슈레이드	輯傾戚球		8	[]	imported	
STG0041/ID00003/000011	stage	STG0041	ID00003	11	01_스테이지 xlsx 모음/STG0041(23화B)-ID00003-script-통합.xlsx	1484d340764bbe385a165f50032ff9255fc0f530c7b88760fc2409c94e9dd177	45d8a6fa0807863835c7daa12f08e6ebd3fb4f904645d19dfef44c628c37a58e	잠이 안 와?		잠이 안 오는 건가?	節戚　照　神澗　闇亜？		22	[]	imported	
STG0041/ID00003/000012	stage	STG0041	ID00003	12	01_스테이지 xlsx 모음/STG0041(23화B)-ID00003-script-통합.xlsx	1484d340764bbe385a165f50032ff9255fc0f530c7b88760fc2409c94e9dd177	9a36170dc90fb33fdeeaf1882977daa906ff8a3e5171bd4fecebf6cac54bd516	카이엔		카이엔	朝戚殖		6	[]	imported	
STG0041/ID00003/000013	stage	STG0041	ID00003	13	01_스테이지 xlsx 모음/STG0041(23화B)-ID00003-script-통합.xlsx	1484d340764bbe385a165f50032ff9255fc0f530c7b88760fc2409c94e9dd177	954203e28d27150c72f0a436fad17e4060c7d2c08ae6144fad3c6c3a032f57fb	요즘 또 악몽을 꾸게 되었어...		…요즘,다시 악몽을 꾸게 되었어…	…推葬，陥獣　焦功聖　荷惟　鞠醸嬢…		36	[]	imported	
