entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0075/ID00003/000004	stage	STG0075	ID00003	4	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	82690290195a2dce47dce65d372641bbd59b947760a04df94815c071cb09580d	~라 카이람 아무로 레이 개인실~		　　　　　～라・카이람 코우지 개인실～	　　　　　～虞・朝戚寓　坪酔走　鯵昔叔～		40	[]	imported	
STG0075/ID00003/000005	stage	STG0075	ID00003	5	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	0809e902288fd530b039e4e7fab7574e60ab089cc228349e4cb8bad432f0a05b	아무로		코우지	坪酔走		6	[]	imported	
STG0075/ID00003/000006	stage	STG0075	ID00003	6	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	c008ac2dc43fea4309f9b960d843f80d4c61472bf0f0494b6d6c84bb50855efc	체인이야?		첸인가？	綻昔亜？		8	[]	imported	
STG0075/ID00003/000007	stage	STG0075	ID00003	7	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	f760780600d8c1531f7b5c486af79687f6f69d9ac64add44216a59a7d3cead0d	정비병		정비병	舛搾佐		6	[]	imported	
STG0075/ID00003/000008	stage	STG0075	ID00003	8	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0075/ID00003/000009	stage	STG0075	ID00003	9	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	0809e902288fd530b039e4e7fab7574e60ab089cc228349e4cb8bad432f0a05b	아무로		코우지	坪酔走		6	[]	imported	
STG0075/ID00003/000010	stage	STG0075	ID00003	10	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	7edd9a3f11a7e859ea899e12aa899fc86ee3ee331d78742c3da9ef44424ae021	너는?		너는？	格澗？		6	[]	imported	
STG0075/ID00003/000011	stage	STG0075	ID00003	11	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	f760780600d8c1531f7b5c486af79687f6f69d9ac64add44216a59a7d3cead0d	정비병		정비병	舛搾佐		6	[]	imported	
STG0075/ID00003/000012	stage	STG0075	ID00003	12	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	c70e0e483e72af9aa46828e40ab1a2ccb81b7bb6010212a85d7eeaff7e75f9d5	아무로 레이...		코우지・레이…	坪酔走・傾戚…		14	[]	imported	
STG0075/ID00003/000013	stage	STG0075	ID00003	13	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	f760780600d8c1531f7b5c486af79687f6f69d9ac64add44216a59a7d3cead0d	정비병		정비병	舛搾佐		6	[]	imported	
STG0075/ID00003/000014	stage	STG0075	ID00003	14	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	dd94f7f3ad1f79b3e4eb8cec2b1bfd9c04f538cf5c500c02766c75880f3e4178	죽어달라고...!		죽어줘야겠다…！	宋嬢操醤畏陥…！		16	[]	imported	
STG0075/ID00003/000015	stage	STG0075	ID00003	15	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	0809e902288fd530b039e4e7fab7574e60ab089cc228349e4cb8bad432f0a05b	아무로		코우지	坪酔走		6	[]	imported	
STG0075/ID00003/000016	stage	STG0075	ID00003	16	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	631157c15452e8cefd925437a26f1d016b1a5d7575f9234fd0bf7aff0369e63d	！		！	！		2	[]	imported	
STG0075/ID00003/000019	stage	STG0075	ID00003	19	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	e55fb77d95cc837aaa2f7db922eeecbd725f0e670f41a60fdd1159d1994d77e3	　　　　~라카이람 브리핑룸~		　　　　　　～라・카이람 브리핑룸～	　　　　　　～虞・朝戚寓　崎軒芭結～		36	[]	imported	
STG0075/ID00003/000020	stage	STG0075	ID00003	20	01_스테이지 xlsx 모음/STG0075(46화A)-ID00003-script-통합.xlsx	c76798dc51906119b5d9fe18ba73067712a47cd510cb97130dc4da3f9cbde794	63aaf4a0dc38d220c70a48bb1336fa48ef3b2af22fc2f002ab7e1292dadaf516	귀네이		규네이	鋭革戚		6	[]	imported	
