entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0085a/ID00003/000004	stage	STG0085a	ID00003	4	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	e55fb77d95cc837aaa2f7db922eeecbd725f0e670f41a60fdd1159d1994d77e3	~라카이람 브리핑룸~		　　　　～라・카이람 브리핑룸～	　　　　～虞・朝戚寓　崎軒芭結～		32	[]	imported	
STG0085a/ID00003/000005	stage	STG0085a	ID00003	5	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	312cbf08471d115ce4c64d4d13c26244573ad89cf655bedb2fe047a3fe92fb5f	브라이트		브라이트	崎虞戚闘		8	[]	imported	
STG0085a/ID00003/000006	stage	STG0085a	ID00003	6	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	3ca5204e100870a1cd972270efcdc67e6036cf5beefededa348f8ec941afd347	세계 각지에서 이상기후가 잇따르고 있다고?		…세계 각지에서 이상 기상이 잇따르고 있다고?	…室域　唖走拭辞　戚雌　奄雌戚　責魚牽壱　赤陥壱？		50	[]	imported	
STG0085a/ID00003/000007	stage	STG0085a	ID00003	7	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	c0607eeb100baf498bcf09f06ea043ca051f5c7785ea19fb98ce7a12ef4e8e2e	스멜라기		스메라기	什五虞奄		8	[]	imported	
STG0085a/ID00003/000008	stage	STG0085a	ID00003	8	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	17fd01d0d9ac52b3c87fb0130c5ca8a91e0d475feb8459e84cf04a8df06c554d	이상고온에 저온, 호우에 폭설, 거대 태풍과 토네이도.		이상 고온에 저온,호우에 폭설,거대 태풍이나	戚雌　壱紳拭　煽紳，硲酔拭　賑竺，暗企　殿燃戚蟹		48	[]	imported	
STG0085a/ID00003/000009	stage	STG0085a	ID00003	9	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	a332b552c532aa04d894807e283b3998d126fcfc5e6b91af2757dd7c02d2a9a8	그 중 어느 것도 설명할 수 없는 것입니다		토네이도… 그 어느 것도 설명이 되지 않아	塘革戚亀…　益　嬢汗　依亀　竺誤戚　鞠走　省焼		46	[]	imported	
STG0085a/ID00003/000010	stage	STG0085a	ID00003	10	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	5669cc977af82c0ee7dde2833e63534732b88cad1ddfb83da5227744cf2df97d	제프리		제프리	薦覗軒		6	[]	imported	
STG0085a/ID00003/000011	stage	STG0085a	ID00003	11	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	266dc6c3ff8c756889f5efc45916b6adedca30dc31d03323269c5e952d4731e4	이터니티 플랫의 완성이 가까워지고 있기 때문?		이터니티・플랫 완성이 가까워지고 있기 때문인가?	戚斗艦銅・巴熊　刃失戚　亜猿趨走壱　赤奄　凶庚昔亜？		52	[]	imported	
STG0085a/ID00003/000012	stage	STG0085a	ID00003	12	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	c0607eeb100baf498bcf09f06ea043ca051f5c7785ea19fb98ce7a12ef4e8e2e	스멜라기		스메라기	什五虞奄		8	[]	imported	
STG0085a/ID00003/000013	stage	STG0085a	ID00003	13	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	ecc36277782e5a4200dc1c565abafb2e54c91131ae3195956e4ecc3ee5be0af9	아니...		아니…	焼艦…		6	[]	imported	
STG0085a/ID00003/000014	stage	STG0085a	ID00003	14	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	0f2d8baad8fee0f772cb2dd13457dcf31bfb7bc74092f8cd06638c5d1d31c88f	트라이아 박사도 이러한 사태는 예상 밖이라고		트라이아 박사도 이러한 사태는 상정 외라고	闘虞戚焼　酵紫亀　戚君廃　紫殿澗　雌舛　須虞壱		46	[]	imported	
STG0085a/ID00003/000015	stage	STG0085a	ID00003	15	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	7b17d0d4eeb4c45305513acc4cedea0653110a3d817a19acfb37c41c910c01e2	말하고 있대요		말하고 있다는군	源馬壱　赤陥澗浦		16	[]	imported	
STG0085a/ID00003/000016	stage	STG0085a	ID00003	16	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	1e7975082b673fe29544c5368bc8a0cb941c54d1f8ce06d83411c3c088633c59	Ｆ．Ｓ．.		F.S.	Ｆ．Ｓ．		8	[]	imported	
STG0085a/ID00003/000017	stage	STG0085a	ID00003	17	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	7761b6963bcced2ea706079928179864134ac73865a450b0e7d513b8b5a8f0c3	WILL의 분석에서는, 이 별의 차원간의 밸런스가		ＷＩＬＬ의 분석에서는 이 별의 차원 간의	ＷＩＬＬ税　歳汐拭辞澗　戚　紺税　託据　娃税		44	[]	imported	
STG0085a/ID00003/000018	stage	STG0085a	ID00003	18	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	6f469efe6d5d8ea927f424cbd05f4cba512ca30aa9c37fc4a111bda44414e5d9	무너지고 있는 것이 원인인 것 같다		밸런스가 무너지고 있는 것이 원인인 것 같아	豪訓什亜　巷格走壱　赤澗　依戚　据昔昔　依　旭焼		48	[]	imported	
STG0085a/ID00003/000019	stage	STG0085a	ID00003	19	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	b6d6a8298429bd37732a07b50eccf43d6e02170d40cd786dc557ea15caa41c39	오토		옷토	進塘		4	[]	imported	
STG0085a/ID00003/000020	stage	STG0085a	ID00003	20	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	401ffd9f2055cd9db046e25ee3a3148448b995516a961873a21d107514f6b0d3	차원간의 밸런스...?		차원 간의 밸런스…?	託据　娃税　豪訓什…？		22	[]	imported	
STG0085a/ID00003/000021	stage	STG0085a	ID00003	21	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	ca2d6543dee4502d08dde0be66975baa8f52eaa505633792505d163515c83977	차원 경계선의 고정화와 모순되지 않는가?		차원 경계선의 고정화와 모순되지 않나?	託据　井域識税　壱舛鉢人　乞授鞠走　省蟹？		42	[]	imported	
STG0085a/ID00003/000022	stage	STG0085a	ID00003	22	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	1e7975082b673fe29544c5368bc8a0cb941c54d1f8ce06d83411c3c088633c59	Ｆ．Ｓ．.		F.S.	Ｆ．Ｓ．		8	[]	imported	
STG0085a/ID00003/000023	stage	STG0085a	ID00003	23	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	a0c51b9c97848388d58fc6ba7727e3953c01c9191c266cb16303a4bcc9576b33	확실히 이 상황이 계속된다면,		확실히 이 상황이 계속되면	溌叔備　戚　雌伐戚　域紗鞠檎		28	[]	imported	
STG0085a/ID00003/000024	stage	STG0085a	ID00003	24	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	d1c348ab7024d3205502c31fc572c0e4c8da5c5edbb9b4d820d36b6a429af0d6	시간의 감옥도 파괴될지 모르지만…		시간의 감옥도 파괴될지도 모르지만…	獣娃税　姶秦亀　督雨吃走亀　乞牽走幻…		38	[]	imported	
STG0085a/ID00003/000025	stage	STG0085a	ID00003	25	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	1e7975082b673fe29544c5368bc8a0cb941c54d1f8ce06d83411c3c088633c59	Ｆ．Ｓ．.		F.S.	Ｆ．Ｓ．		8	[]	imported	
STG0085a/ID00003/000026	stage	STG0085a	ID00003	26	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	5166cec88b64f4d23d2ecc3bd7bdd3ff5093035e8468c0097c9626f94fa80362	그것은 지구가 차원의 틈새에서 짓눌리는 것을 의미한다		지구가 차원의 틈새에서 짓눌리는 것을 의미해	走姥亜　託据税　憧歯拭辞　憎喚軒澗　依聖　税耕背		48	[]	imported	
STG0085a/ID00003/000027	stage	STG0085a	ID00003	27	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	b6d6a8298429bd37732a07b50eccf43d6e02170d40cd786dc557ea15caa41c39	오토		옷토	進塘		4	[]	imported	
STG0085a/ID00003/000028	stage	STG0085a	ID00003	28	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	f3c0383e70de9e82f53b55c5c9fea8917106d442137c886bad9bcc7d20fce578	뭐라고!?		뭐라고!?	更虞壱！？		10	[]	imported	
STG0085a/ID00003/000029	stage	STG0085a	ID00003	29	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	32778b29fea58065310a90200d4724635cfcb412a39c0e13877cd9f349b18b42	제로		제로	薦稽		4	[]	imported	
STG0085a/ID00003/000030	stage	STG0085a	ID00003	30	01_스테이지 xlsx 모음/STG0085a(51화A)-ID00003-script-통합.xlsx	ba8fa6efb7ade7e7abd3a1b249a02d448374fa57c64b6fda2288eff8796dc6cb	4852b7d4b0fc37fe0438876bf12f1e30b339358c278728b9275077dd6be45a81	도대체 왜 이런 사태에…		대체 왜 이런 사태에…	企端　訊　戚訓　紫殿拭…		24	[]	imported	
