entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0010/ID00003/000004	stage	STG0010	ID00003	4	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	94fc6ea3616e1691f177bc1b85c71350fca6934acdd7d413394bd1e6db2bfe53		　　　　　～투아하・데・다난 발령소～	　　　　　～투아하・데・다난 발령소～	　　　　　～燈焼馬　汽　陥貝　紫敬叔～		38	[]	imported	
STG0010/ID00003/000005	stage	STG0010	ID00003	5	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44		텟사	텟사	倒紫		4	[]	imported	
STG0010/ID00003/000006	stage	STG0010	ID00003	6	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	dfda9c98209189619dc5d9cb829807671c673844b6bdb04e924fa6f738c7f8c4		완전히 당했어요	완전히 당했어요	刃穿備　雁梅嬢		14	[]	imported	
STG0010/ID00003/000007	stage	STG0010	ID00003	7	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	bd43986308ed3d5fdd13f16298db04a99deac36627d54aafc3fef833503141bb		이런 일이 일어나지 않도록 적의 연구기관을	이런 일이 일어나지 않도록 적의 연구기관을	戚訓　析戚　析嬢蟹走　省亀系　旋税　尻姥奄淫聖		46	[]	imported	
STG0010/ID00003/000008	stage	STG0010	ID00003	8	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	2315c59bc9179fcd4c85998d80f48753aa015b09e1601bbfad234fa48e0f0a2b		없앴다고 했는데…	없앴다고 했는데…	団採愁澗汽…		12	[]	imported	
STG0010/ID00003/000009	stage	STG0010	ID00003	9	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	7d3ac086ebfa8b25fbb8391c80cdb02398f667e31bb43f1f778f2c12ae840da4		칼리닌	칼리닌	町軒観		6	[]	imported	
STG0010/ID00003/000010	stage	STG0010	ID00003	10	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	ea2771a6dd4b01bb11fe62a7303716e5774a580c5a84ac10ac9715ff7a900d81		아직 희망은 남아 있습니다	아직 희망은 남아 있습니다	焼送　費諺精　害焼　赤柔艦陥		28	[]	imported	
STG0010/ID00003/000011	stage	STG0010	ID00003	11	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	33ba4d75b0c89aef6c0e16dfc71b62c691183b18d8b32752d0e48d246af541e2		대좌가 사전에 준비해 둔 프리벤터의	대좌가 사전에 준비해 둔 프리벤터의	企疎亜　紫穿拭　層搾背黍　覗軒坤斗税		36	[]	imported	
STG0010/ID00003/000012	stage	STG0010	ID00003	12	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	741db88b743ede741594fd188180b639315d67c540faf848f4d2e80feecb2c38		에이전트와 우르즈 7이 기내에 있습니다	에이전트와 우르즈 7이 기내에 있습니다	拭戚穿闘人　随綜７戚　奄鎧拭　赤柔艦陥		38	[]	imported	
STG0010/ID00003/000013	stage	STG0010	ID00003	13	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	7d3ac086ebfa8b25fbb8391c80cdb02398f667e31bb43f1f778f2c12ae840da4		칼리닌	칼리닌	町軒観		6	[]	imported	
STG0010/ID00003/000014	stage	STG0010	ID00003	14	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	5db8016ea7968bd3176f4c0144d293a1e747007685ca3dee7fd4c3a9a47bd32e		방금 전 연락으로는 그들은 혼란을 틈타	방금 전 연락으로는 그들은 혼란을 틈타	号榎　穿　尻喰生稽澗　益級精　肇空聖　憧展		42	[]	imported	
STG0010/ID00003/000015	stage	STG0010	ID00003	15	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	b119586f0868a5771e11875199788103c682adc6fcaea3be9ea09b88709b27e8		기체 탈출에 성공했습니다	기체 탈출에 성공했습니다	纏窒拭　失因梅陥壱　杯艦陥		26	[]	imported	
STG0010/ID00003/000016	stage	STG0010	ID00003	16	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44		텟사	텟사	倒紫		4	[]	imported	
STG0010/ID00003/000017	stage	STG0010	ID00003	17	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	71c4186eb69d4bf84d5ad4b1b9ff01075890d912673a4bd8f4b7341364f1085b		하지만 압도적인 불리함은 아직 변하지 않았습니다	하지만 압도적인 불리함은 아직 변하지 않았습니다	笑亀旋生稽　災軒廃　雌伐精　焼送　痕馬走　省紹嬢推		50	[]	imported	
STG0010/ID00003/000018	stage	STG0010	ID00003	18	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	7d3ac086ebfa8b25fbb8391c80cdb02398f667e31bb43f1f778f2c12ae840da4		칼리닌	칼리닌	町軒観		6	[]	imported	
STG0010/ID00003/000019	stage	STG0010	ID00003	19	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	9470fd554540b8c95a73ba2f8a860ec5c7e3ba0f2a5447b875a9bc84fc42a590		아무래도 그 테러리스트 그룹 자체가	아무래도 그 테러리스트 그룹 자체가	焼巷掘亀　益　砺君軒什闘　益血　切端亜		38	[]	imported	
STG0010/ID00003/000020	stage	STG0010	ID00003	20	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	da79929c6bed80e9cda52bbbd60ea2490c8556b19c27fbbebd576d3b5591c938		미끼였던 것 같습니다	미끼였던 것 같습니다	耕晦心揮　依　旭柔艦陥		22	[]	imported	
STG0010/ID00003/000021	stage	STG0010	ID00003	21	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44		텟사	텟사	倒紫		4	[]	imported	
STG0010/ID00003/000022	stage	STG0010	ID00003	22	01_스테이지 xlsx 모음/STG0010(8화)-ID00003-script-통합.xlsx	1314f9ac16ae6ddd6f495556fe50fe68c32bda1e9e1703b3cd5229747050ca93	6075865cdd73717690524a341582763791ed404a09d7d55bd77a1747187d267b		모든 것은 흑막의 계획대로…	모든 것은 흑막의 계획대로…	乞窮　依精　比厳税　域塙企稽…		30	[]	imported	
