entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0011/ID00003/000004	stage	STG0011	ID00003	4	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	39adb489d0bbdead255223c06ad3539107d89b1371fb82cfd7bee9e51bd4be96	~네엘 아가마 격납고~		　　　　　　　～넬・아가마 격납고～	　　　　　　　～楽・焼亜原　維崖壱～		36	[]	imported	
STG0011/ID00003/000005	stage	STG0011	ID00003	5	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	8f97154540e5549f38768c706329ae1d14cf275cd2c0b8b77a34f1e73612996a	리디		리디	軒巨		4	[]	imported	
STG0011/ID00003/000006	stage	STG0011	ID00003	6	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	81838e58ec7857e6806f2c65b5c9bb1a5a382d333737099c82d9cf29c59706c1	네가 그 AT의 조종사인가?		네가 그 AT 라이더였나	革亜　益　ＡＴ　虞戚希心蟹		26	[]	imported	
STG0011/ID00003/000007	stage	STG0011	ID00003	7	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	c8fcffe4982175603e8ce1014be2e8a057c5451d79dff8196c199dd358a3f211	키리코		키리코	徹軒坪		6	[]	imported	
STG0011/ID00003/000008	stage	STG0011	ID00003	8	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0011/ID00003/000009	stage	STG0011	ID00003	9	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	8f97154540e5549f38768c706329ae1d14cf275cd2c0b8b77a34f1e73612996a	리디		리디	軒巨		4	[]	imported	
STG0011/ID00003/000010	stage	STG0011	ID00003	10	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	dc55e4055f44d248802579b7aa79b9d3e125bb4aac5e8e7ece861c09a41ac4b9	나는 리디 마세나스 소위다.		나는 리디 마세나스 소위다	蟹澗　軒巨　原室蟹什　社是陥		28	[]	imported	
STG0011/ID00003/000011	stage	STG0011	ID00003	11	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	91361839d7ae5d287908fd1da3749674205a35c291daa1c170c7a91a2e099f8c	앞으로 감사드립니다.		앞으로 잘 부탁한다	蒋生稽　設　採店廃陥		20	[]	imported	
STG0011/ID00003/000012	stage	STG0011	ID00003	12	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	c8fcffe4982175603e8ce1014be2e8a057c5451d79dff8196c199dd358a3f211	키리코		키리코	徹軒坪		6	[]	imported	
STG0011/ID00003/000013	stage	STG0011	ID00003	13	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	aed20bc3e6b50cf5e2ec7bcffd40023921183c26c598cc68eb7a998ca2cb396d	키리코 큐비다.		키리코 큐비다	徹軒坪　泥搾陥		14	[]	imported	
STG0011/ID00003/000014	stage	STG0011	ID00003	14	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	8f97154540e5549f38768c706329ae1d14cf275cd2c0b8b77a34f1e73612996a	리디		리디	軒巨		4	[]	imported	
STG0011/ID00003/000015	stage	STG0011	ID00003	15	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	2f9f0b0f73d3a51d49d7039af3bb23707ea9b352656de5009716e82a6de1e693	너의 조종 기술은, 이전의 전투에서 보여 주었다.		네 조종 실력은 지난번 전투에서 봤다	革　繕曽　叔径精　走貝腰　穿燈拭辞　挫陥		40	[]	imported	
STG0011/ID00003/000016	stage	STG0011	ID00003	16	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	d1e918b4722b21ad23d4e91f7cefd80f937430ffeaf844bcb45fbb6b2501e8d9	아무래도 나와 시뮬레이션으로		어떠냐,나와 시뮬레이션으로	嬢彊劃，蟹人　獣皇傾戚芝生稽		28	[]	imported	
STG0011/ID00003/000017	stage	STG0011	ID00003	17	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	22fbee1e549dd2b601c23bd005e0aad7ac20e97fae9437d61f1b4776e2b1ef9d	모의전을 하지 않겠습니까?		모의전을 해보지 않겠나？	乞税穿聖　背左走　省畏蟹？		26	[]	imported	
STG0011/ID00003/000018	stage	STG0011	ID00003	18	01_스테이지 xlsx 모음/STG0011(9화A)-ID00003-script-통합.xlsx	9d1e14cb913d50f18eaf99db951c194ca3c36a23878a16c1a3d12e04d25031bf	c8fcffe4982175603e8ce1014be2e8a057c5451d79dff8196c199dd358a3f211	키리코		키리코	徹軒坪		6	[]	imported	
