entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0090/ID00003/000004	stage	STG0090	ID00003	4	01_스테이지 xlsx 모음/STG0090(51화B)-ID00003-script-통합.xlsx	aa7bfd4744735dc270b28fe6cba7cc48c1ac60b3a52407472bbb28b1ab1ce1f3	7790c2862e5b53dc873dc193fc9c9b6bcb3b319ade260d73fb4810c3c6b79ecf	~아르테아계 아이언시~		　　　　　　　～알테어계　아이언 씨～	　　　　　　　～硝砺嬢域　焼戚情　松～		38	[]	imported	
STG0090/ID00003/000005	stage	STG0090	ID00003	5	01_스테이지 xlsx 모음/STG0090(51화B)-ID00003-script-통합.xlsx	aa7bfd4744735dc270b28fe6cba7cc48c1ac60b3a52407472bbb28b1ab1ce1f3	50ed163452aa7c918c13cd7a34d1127d9206f817e8d561c83719af230cec2266	미코노		미코노	耕坪葛		6	[]	imported	
STG0090/ID00003/000006	stage	STG0090	ID00003	6	01_스테이지 xlsx 모음/STG0090(51화B)-ID00003-script-통합.xlsx	aa7bfd4744735dc270b28fe6cba7cc48c1ac60b3a52407472bbb28b1ab1ce1f3	0867fcfe730063e545bc4466b903d2b311ed777b5d6be499a3eefcf380f2c387	그런...!		이럴 수가…！	戚群　呪亜…！		14	[]	imported	
STG0090/ID00003/000007	stage	STG0090	ID00003	7	01_스테이지 xlsx 모음/STG0090(51화B)-ID00003-script-통합.xlsx	aa7bfd4744735dc270b28fe6cba7cc48c1ac60b3a52407472bbb28b1ab1ce1f3	745a39359bb28712b2ee5e47d96cada1216f4e94e988b3426f1a3d09ab8bed39	$c의 모두가 블랙홀에…!		$c의 모두가 블랙홀에…！	$ｃ税　乞砧亜　鷺窟筈拭…！		28	"[""$c""]"	imported	
STG0090/ID00003/000008	stage	STG0090	ID00003	8	01_스테이지 xlsx 모음/STG0090(51화B)-ID00003-script-통합.xlsx	aa7bfd4744735dc270b28fe6cba7cc48c1ac60b3a52407472bbb28b1ab1ce1f3	eef42e86dad533ab1f2bc87e20f162b7ebb7e9780fab90d7a8804772782e1ecc	카구라		카구라	朝姥虞		6	[]	imported	
STG0090/ID00003/000009	stage	STG0090	ID00003	9	01_스테이지 xlsx 모음/STG0090(51화B)-ID00003-script-통합.xlsx	aa7bfd4744735dc270b28fe6cba7cc48c1ac60b3a52407472bbb28b1ab1ce1f3	e09a991d1eb6c7f2454c70468b5e92fffbe9101114ed3dc5bdce0696b80269b2	찾았어, 빌어먹을 여자!		찾았다,이 계집애！	達紹陥，戚　域増蕉！		20	[]	imported	
STG0090/ID00003/000010	stage	STG0090	ID00003	10	01_스테이지 xlsx 모음/STG0090(51화B)-ID00003-script-통합.xlsx	aa7bfd4744735dc270b28fe6cba7cc48c1ac60b3a52407472bbb28b1ab1ce1f3	50ed163452aa7c918c13cd7a34d1127d9206f817e8d561c83719af230cec2266	미코노		미코노	耕坪葛		6	[]	imported	
STG0090/ID00003/000011	stage	STG0090	ID00003	11	01_스테이지 xlsx 모음/STG0090(51화B)-ID00003-script-통합.xlsx	aa7bfd4744735dc270b28fe6cba7cc48c1ac60b3a52407472bbb28b1ab1ce1f3	631157c15452e8cefd925437a26f1d016b1a5d7575f9234fd0bf7aff0369e63d	！		！	！		2	[]	imported	
STG0090/ID00003/000012	stage	STG0090	ID00003	12	01_스테이지 xlsx 모음/STG0090(51화B)-ID00003-script-통합.xlsx	aa7bfd4744735dc270b28fe6cba7cc48c1ac60b3a52407472bbb28b1ab1ce1f3	eef42e86dad533ab1f2bc87e20f162b7ebb7e9780fab90d7a8804772782e1ecc	카구라		카구라	朝姥虞		6	[]	imported	
STG0090/ID00003/000013	stage	STG0090	ID00003	13	01_스테이지 xlsx 모음/STG0090(51화B)-ID00003-script-통합.xlsx	aa7bfd4744735dc270b28fe6cba7cc48c1ac60b3a52407472bbb28b1ab1ce1f3	b33fecaa4a6f565c470bf21d1c68b0e972a799901cdfbbd54eca6f01b1c06877	내 부름에 응해 줬단 말인가.		내 부름에 응답해 준 거로군	鎧　採硯拭　誓岩背　層　暗稽浦		30	[]	imported	
