entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0016/ID00003/000004	stage	STG0016	ID00003	4	01_스테이지 xlsx 모음/STG0016(13화A)-ID00003-script-통합.xlsx	e526cbdfb1700c9ca6e5a9cad53d8202fdc0903527e90e44a65f857d1cba5a06	895f7202215b78a2a2d3c77c247a1e14800cb479b3f59f5e1859847e552b03ee	~프리벤터 본부~		　　　　　　　　　～프리벤터 본부～	　　　　　　　　　～覗軒坤斗　沙採～		36	[]	imported	
STG0016/ID00003/000005	stage	STG0016	ID00003	5	01_스테이지 xlsx 모음/STG0016(13화A)-ID00003-script-통합.xlsx	e526cbdfb1700c9ca6e5a9cad53d8202fdc0903527e90e44a65f857d1cba5a06	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레디	傾巨		4	[]	imported	
STG0016/ID00003/000006	stage	STG0016	ID00003	6	01_스테이지 xlsx 모음/STG0016(13화A)-ID00003-script-통합.xlsx	e526cbdfb1700c9ca6e5a9cad53d8202fdc0903527e90e44a65f857d1cba5a06	cd8bd8da81374f55ad65b2d0895f0724e0f51e06ee652c67af084811f70ce9bd	…이상이 론도 벨과 합동으로 행하였다		…이상이 론도・벨과 합동으로 실시한	…戚雌戚　経亀・婚引　杯疑生稽　叔獣廃		38	[]	imported	
STG0016/ID00003/000007	stage	STG0016	ID00003	7	01_스테이지 xlsx 모음/STG0016(13화A)-ID00003-script-통합.xlsx	e526cbdfb1700c9ca6e5a9cad53d8202fdc0903527e90e44a65f857d1cba5a06	98176c29b60101ea3277f519b2a7e3e4a9c1615347d28a9781e16a42efdec8e6	각 콜로니의 조사 결과입니다		각 콜로니의 조사 결과입니다	唖　紬稽艦税　繕紫　衣引脊艦陥		30	[]	imported	
STG0016/ID00003/000008	stage	STG0016	ID00003	8	01_스테이지 xlsx 모음/STG0016(13화A)-ID00003-script-통합.xlsx	e526cbdfb1700c9ca6e5a9cad53d8202fdc0903527e90e44a65f857d1cba5a06	b22b5673a98e3af052872b9a62707d1ac9f8853b5b4d08819e1be3806c725ed7	대통령		대통령	企搭敬		6	[]	imported	
STG0016/ID00003/000009	stage	STG0016	ID00003	9	01_스테이지 xlsx 모음/STG0016(13화A)-ID00003-script-통합.xlsx	e526cbdfb1700c9ca6e5a9cad53d8202fdc0903527e90e44a65f857d1cba5a06	be8e94f6809f7e21908681c07af5ba6c967fc2a6ecd3340e9d27cfa668d47d56	각지에서 일어나는 폭동 평화주의자의 변모.		각지에서 발생하는 폭동…평화주의자들의 변모…	唖走拭辞　降持馬澗　賑疑…汝鉢爽税切級税　痕乞…		48	[]	imported	
STG0016/ID00003/000010	stage	STG0016	ID00003	10	01_스테이지 xlsx 모음/STG0016(13화A)-ID00003-script-통합.xlsx	e526cbdfb1700c9ca6e5a9cad53d8202fdc0903527e90e44a65f857d1cba5a06	5cd7f8a369876f853efb630f5765d49df1feeffdae87fb9086b4cc7a2eed92bb	원인은 알 수 없는 상태입니까…		원인은 불명인 채인가요…	据昔精　災誤昔　辰昔亜推…		26	[]	imported	
STG0016/ID00003/000011	stage	STG0016	ID00003	11	01_스테이지 xlsx 모음/STG0016(13화A)-ID00003-script-통합.xlsx	e526cbdfb1700c9ca6e5a9cad53d8202fdc0903527e90e44a65f857d1cba5a06	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레디	傾巨		4	[]	imported	
STG0016/ID00003/000012	stage	STG0016	ID00003	12	01_스테이지 xlsx 모음/STG0016(13화A)-ID00003-script-통합.xlsx	e526cbdfb1700c9ca6e5a9cad53d8202fdc0903527e90e44a65f857d1cba5a06	4e4efcae833674a2126846dc12b197c209dbc80a30936d68c79f7facbe6443ef	죄송합니다.		죄송합니다	阻勺杯艦陥		10	[]	imported	
STG0016/ID00003/000013	stage	STG0016	ID00003	13	01_스테이지 xlsx 모음/STG0016(13화A)-ID00003-script-통합.xlsx	e526cbdfb1700c9ca6e5a9cad53d8202fdc0903527e90e44a65f857d1cba5a06	b22b5673a98e3af052872b9a62707d1ac9f8853b5b4d08819e1be3806c725ed7	대통령		대통령	企搭敬		6	[]	imported	
