entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0046a/ID00003/000004	stage	STG0046a	ID00003	4	01_스테이지 xlsx 모음/STG0046a(28화)-ID00003-script-통합.xlsx	9ccbfe416de8e8e056612b73d26cbbd258780e6ebf28cb31683c35696854d4df	7790c2862e5b53dc873dc193fc9c9b6bcb3b319ade260d73fb4810c3c6b79ecf	~아르테아계 아이언시~		　　　　　　　～알테어계　아이언 씨～	　　　　　　　～硝砺嬢域　焼戚情　松～		38	[]	imported	
STG0046a/ID00003/000005	stage	STG0046a	ID00003	5	01_스테이지 xlsx 모음/STG0046a(28화)-ID00003-script-통합.xlsx	9ccbfe416de8e8e056612b73d26cbbd258780e6ebf28cb31683c35696854d4df	a8a168177d4aee7a960464ae189b4741a0e3ed1daa50ef26cc9152372f5c4eac	미카게		미카게	耕朝惟		6	[]	imported	
STG0046a/ID00003/000006	stage	STG0046a	ID00003	6	01_스테이지 xlsx 모음/STG0046a(28화)-ID00003-script-통합.xlsx	9ccbfe416de8e8e056612b73d26cbbd258780e6ebf28cb31683c35696854d4df	26411ce28343cee1b04b6190a7c09591d3ee8fa73fe36ad4f738a963e77cfd38	아르테아의 백성들이여…		알테어의 백성들이여…	硝砺嬢税　拷失級戚食…		22	[]	imported	
STG0046a/ID00003/000007	stage	STG0046a	ID00003	7	01_스테이지 xlsx 모음/STG0046a(28화)-ID00003-script-통합.xlsx	9ccbfe416de8e8e056612b73d26cbbd258780e6ebf28cb31683c35696854d4df	4eec9ae1ef6a4f81188fd76bbed826efbd4b3b3b9053d8aa10621f1e53991d8b	아르테아병		알테어병	硝砺嬢佐		8	[]	imported	
STG0046a/ID00003/000008	stage	STG0046a	ID00003	8	01_스테이지 xlsx 모음/STG0046a(28화)-ID00003-script-통합.xlsx	9ccbfe416de8e8e056612b73d26cbbd258780e6ebf28cb31683c35696854d4df	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0046a/ID00003/000009	stage	STG0046a	ID00003	9	01_스테이지 xlsx 모음/STG0046a(28화)-ID00003-script-통합.xlsx	9ccbfe416de8e8e056612b73d26cbbd258780e6ebf28cb31683c35696854d4df	4eec9ae1ef6a4f81188fd76bbed826efbd4b3b3b9053d8aa10621f1e53991d8b	아르테아병		알테어병	硝砺嬢佐		8	[]	imported	
STG0046a/ID00003/000010	stage	STG0046a	ID00003	10	01_스테이지 xlsx 모음/STG0046a(28화)-ID00003-script-통합.xlsx	9ccbfe416de8e8e056612b73d26cbbd258780e6ebf28cb31683c35696854d4df	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0046a/ID00003/000011	stage	STG0046a	ID00003	11	01_스테이지 xlsx 모음/STG0046a(28화)-ID00003-script-통합.xlsx	9ccbfe416de8e8e056612b73d26cbbd258780e6ebf28cb31683c35696854d4df	a8a168177d4aee7a960464ae189b4741a0e3ed1daa50ef26cc9152372f5c4eac	미카게		미카게	耕朝惟		6	[]	imported	
STG0046a/ID00003/000012	stage	STG0046a	ID00003	12	01_스테이지 xlsx 모음/STG0046a(28화)-ID00003-script-통합.xlsx	9ccbfe416de8e8e056612b73d26cbbd258780e6ebf28cb31683c35696854d4df	3aa158bd9ab06c5f851b806584c8e8e8df6e72f9054a6f17f3248d3119fc7813	영혼은 돌고 도는...		영혼은 순환한다…	慎肇精　授発廃陥…		18	[]	imported	
STG0046a/ID00003/000013	stage	STG0046a	ID00003	13	01_스테이지 xlsx 모음/STG0046a(28화)-ID00003-script-통합.xlsx	9ccbfe416de8e8e056612b73d26cbbd258780e6ebf28cb31683c35696854d4df	a8a168177d4aee7a960464ae189b4741a0e3ed1daa50ef26cc9152372f5c4eac	미카게		미카게	耕朝惟		6	[]	imported	
