entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0034/ID00003/000004	stage	STG0034	ID00003	4	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	39adb489d0bbdead255223c06ad3539107d89b1371fb82cfd7bee9e51bd4be96	~네엘 아가마 격납고~		　　　　　　　～넬・아가마 격납고～	　　　　　　　～楽・焼亜原　維崖壱～		36	[]	imported	
STG0034/ID00003/000005	stage	STG0034	ID00003	5	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0034/ID00003/000006	stage	STG0034	ID00003	6	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	2c1d16137c199c0b7ef23880f99ca40b8f79c182184f23071c3e33d0aef4e07a	바나지 링크스!		버나지・링크스！	獄蟹走・元滴什！		16	[]	imported	
STG0034/ID00003/000007	stage	STG0034	ID00003	7	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	ebbb6c00c8e21a8e2072239f582bb1c11a6ea87f08a8b02ec9918bb263953a9b	유니콘의 조정은 아직인가!		유니콘의 조정은 아직인가！	政艦嬬税　繕舛精　焼送昔亜！		28	[]	imported	
STG0034/ID00003/000008	stage	STG0034	ID00003	8	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	b36cd8018c110f113a367f9d832d2b74705bd2e47d755b38ef810a92c5bbbe07	배너지		버나지	獄蟹走		6	[]	imported	
STG0034/ID00003/000009	stage	STG0034	ID00003	9	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	478d751e14bfc026c92abb37e80e10b5df51c00b64ab5b0c1a1e4c6a80e719b8	지금 하고 있어요		지금 하고 있습니다	走榎　馬壱　赤柔艦陥		20	[]	imported	
STG0034/ID00003/000010	stage	STG0034	ID00003	10	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0034/ID00003/000011	stage	STG0034	ID00003	11	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	0176bd53d075f08bddc89ad736725e79c8015589442c1403f3ccaf21a106545e	서둘러...!		서둘러…！	辞却君…！		10	[]	imported	
STG0034/ID00003/000012	stage	STG0034	ID00003	12	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	0c14f3b46626fb397f26e72b8d4c86d93ec47e37c1fcb502d1da01f23ed0ca13	$c가 우주에 올라간 일은		$c가 우주로 올라간 것은	$ｃ亜　酔爽稽　臣虞娃　依精		28	"[""$c""]"	imported	
STG0034/ID00003/000013	stage	STG0034	ID00003	13	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	1533247b0bb3d5350260351c742ca191f1b12da56238bc6f29a8e83ec9af2972	분명 네오 지온도 느끼고 있을 거야!		분명 네오・지온도 눈치챘을 거다！	歳誤　革神・走紳亀　勧帖谷聖　暗陥！		36	[]	imported	
STG0034/ID00003/000014	stage	STG0034	ID00003	14	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0034/ID00003/000015	stage	STG0034	ID00003	15	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	f5a66077ce84193ad663b9916111490d09d695dd1e5d519df3a896ef4f163f13	또, 붉은 혜성이 올지도 모르는 것이다...!		또,붉은 혜성이 나타날지도 몰라…！	暁，采精　駁失戚　蟹展劾走亀　侯虞…！		38	[]	imported	
STG0034/ID00003/000016	stage	STG0034	ID00003	16	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	a0839a92272e3e8b35a628348e2a920a15e69e9c747a63aa49f5e9b6b97b30d1	그때는 유니콘도 나와달라고 할거야!		그때는 유니콘도 출격시킬 거다！	益凶澗　政艦嬬亀　窒維獣迭　暗陥！		34	[]	imported	
STG0034/ID00003/000017	stage	STG0034	ID00003	17	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	b36cd8018c110f113a367f9d832d2b74705bd2e47d755b38ef810a92c5bbbe07	배너지		버나지	獄蟹走		6	[]	imported	
STG0034/ID00003/000018	stage	STG0034	ID00003	18	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	328887b5095211c224106908d9763035f79b961889e7d211786f044ae66595c2	그런데 알베르토 씨...		하지만,알베르토 씨… 카미유 씨 말로는,	馬走幻，硝今牽塘　松…　朝耕政　松　源稽澗，		44	[]	imported	
STG0034/ID00003/000019	stage	STG0034	ID00003	19	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	d2b569f80c831172e6945a5e6615973088f52914b0727c180540481ae1487120	카밀씨의 말로는 인더스트리얼7 탈출 후에 나타난		인더스트리얼7 탈출 후에 나타난	昔希什闘軒杖７　纏窒　板拭　蟹展貝		34	[]	imported	
STG0034/ID00003/000020	stage	STG0034	ID00003	20	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	fd77a46cfc30a71e532b5dcea1b3dd621b275c8e0d06ffe6ceeb66eb80c37b45	저 빨간 기체는 샤아 아즈나블의 것이 아니라고…		그 붉은 기체는 샤아・아즈나블의 것이 아니라고…	益　采精　奄端澗　時焼・焼綜蟹鷺税　依戚　焼艦虞壱…		52	[]	imported	
STG0034/ID00003/000021	stage	STG0034	ID00003	21	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0034/ID00003/000022	stage	STG0034	ID00003	22	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	5cf923ed3af7b2fd076ba4042c11caaa126ccf2950822876ea95f11c7137d646	그렇다면, 신한주(シナンジュに)에 타고 있던 사람은 누구야!?		그럼,시난주에 타고 있던 건 누구냐！？	益軍，獣貝爽拭　展壱　赤揮　闇　刊姥劃！？		42	[]	imported	
STG0034/ID00003/000023	stage	STG0034	ID00003	23	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	70141f7bc0ff5c9a3521ba792aaf647a91040463561f0a48ad3db56a68dce440	빨간 기체를 타고 3배의 속도로 다가왔단 말이야!		붉은 기체에 타고,3배의 속도로 다가왔잖아！	采精　奄端拭　展壱，３壕税　紗亀稽　陥亜尽摂焼！		48	[]	imported	
STG0034/ID00003/000024	stage	STG0034	ID00003	24	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	b36cd8018c110f113a367f9d832d2b74705bd2e47d755b38ef810a92c5bbbe07	배너지		버나지	獄蟹走		6	[]	imported	
STG0034/ID00003/000025	stage	STG0034	ID00003	25	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	d564714740820ea3229a26a7d1db5c7020c61c8b74ff8de9a17f2ec64264a252	나한테 물어봤다고,		저한테 물어봐도,	煽廃砺　弘嬢坐亀，		18	[]	imported	
STG0034/ID00003/000026	stage	STG0034	ID00003	26	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	b63ba43aa4a28fe0f286142e8ab4b0e9fb4a5f29f52fad68fe020410b68315ed	알 리가 없잖아요...		알 리가 없잖습니까…	硝　軒亜　蒸摂柔艦猿…		22	[]	imported	
STG0034/ID00003/000027	stage	STG0034	ID00003	27	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	39c9d8efde6d077cd46c9bb45a6cfb8dcb98376999a97c99a71448d06929387b	미콧		미코토	耕坪塘		6	[]	imported	
STG0034/ID00003/000028	stage	STG0034	ID00003	28	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	9160a60be44ca5fcc7c8417fbb4568376a78935b130e5a805d4bc8e6f1e5a72a	거칠어졌네요, 알베르토 씨		흥분하셨네요,알베르토 씨	被歳馬写革推，硝今牽塘　松		26	[]	imported	
STG0034/ID00003/000029	stage	STG0034	ID00003	29	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	9b908470c2bfc560370a80ca34247f6bc41997db9e85709141df72702e2ef34c	타쿠야		타쿠야	展庭醤		6	[]	imported	
STG0034/ID00003/000030	stage	STG0034	ID00003	30	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	cb445509d1879eb8be2af266ce97d8aaef5ca3f6614ddb960109bd6de192f700	네오지온이 선전포고하고 나서		네오・지온이 선전포고한 후부터	革神・走紳戚　識穿匂壱廃　板採斗		32	[]	imported	
STG0034/ID00003/000031	stage	STG0034	ID00003	31	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	af0c383e23975098b6ca1406c6d1599c3f65a63d0b71894558189d1a370af763	계속 저 모양이야		계속 저 상태예요	域紗　煽　雌殿森推		18	[]	imported	
STG0034/ID00003/000032	stage	STG0034	ID00003	32	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	4db10c7578e6017dced8ecca371d6e39665618dca7b7e7fe5d97aeb56038eadc	커틀릿		카츠	朝苧		4	[]	imported	
STG0034/ID00003/000033	stage	STG0034	ID00003	33	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	65a162509a00d3bd78128cff789b2b83333cc30b130a823e3d052c378e30c497	저 사람 나름대로 지온의 위협에 초조해 하고 있겠지		나름대로 지온의 위협에 초조해하는 거겠죠	蟹硯企稽　走紳税　是漠拭　段繕背馬澗　暗畏倉		44	[]	imported	
STG0034/ID00003/000034	stage	STG0034	ID00003	34	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	9b908470c2bfc560370a80ca34247f6bc41997db9e85709141df72702e2ef34c	타쿠야		타쿠야	展庭醤		6	[]	imported	
STG0034/ID00003/000035	stage	STG0034	ID00003	35	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	842eecb7c18a752f1dd754c303053ad5ca5c3cb80a01267426ba2a184ba00d6f	글쎄…		글쎄요…	越所推…		8	[]	imported	
STG0034/ID00003/000036	stage	STG0034	ID00003	36	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	b0be3aeb3e76d83b2cb4fdb3d238bcd2e2b3b9a40680d282150e670f1bc1c912	알베르토 씨 같은 경우는 유니콘밖에		알베르토 씨는 유니콘에만	硝今牽塘　松澗　政艦嬬拭幻		26	[]	imported	
STG0034/ID00003/000037	stage	STG0034	ID00003	37	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	5d56df125218bd2514158433501861e962e947dcc4a6aca8b590388b6932048c	흥미가 없는 것 같아		관심 있는 것 같아요	淫宿　赤澗　依　旭焼推		22	[]	imported	
STG0034/ID00003/000038	stage	STG0034	ID00003	38	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	a23753fe36e82b72471f5b64e2aa17ae4dbd83447327d0e2425facf6b5639b07	화		화	鉢		2	[]	imported	
STG0034/ID00003/000039	stage	STG0034	ID00003	39	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	f77d17fc3561a3bd1531fa638e1034169eb1253eb3c0402e11bf58cbbd9e10b9	그 이후로 NT-D에 대해서		그 후,NT-D에 대해	益　板，ＮＴ－Ｄ拭　企背		24	[]	imported	
STG0034/ID00003/000040	stage	STG0034	ID00003	40	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	ef1ca087abd90b16c14547651e9478c2def4068c2610ce7caf246fab3cf7933c	뭐 알게 된 거 있어?		뭔가 알아낸 거 있어？	杭亜　硝焼浬　暗　赤嬢？		24	[]	imported	
STG0034/ID00003/000041	stage	STG0034	ID00003	41	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	9b908470c2bfc560370a80ca34247f6bc41997db9e85709141df72702e2ef34c	타쿠야		타쿠야	展庭醤		6	[]	imported	
STG0034/ID00003/000042	stage	STG0034	ID00003	42	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	e86e183c7356f981c9e5e07d412399a753074bf4a081007d2071aa13cc74924e	전혀요.		전혀 없어요	穿粕　蒸嬢推		12	[]	imported	
STG0034/ID00003/000043	stage	STG0034	ID00003	43	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	f0d0c2f18700a73298509696bdc2c47bf1ad03299607e010bafc67cd63dd3787	전투가 끝나면 알베르토씨에게 전달하기 위해서		전투가 끝나면,알베르토 씨에게 넘겨드리기 위해	穿燈亜　魁蟹檎，硝今牽塘　松拭惟　角移球軒奄　是背		50	[]	imported	
STG0034/ID00003/000044	stage	STG0034	ID00003	44	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	1df818c9098a32b606482678382abf1392680da3fac9366722db5bf2e2acbc71	기체의 데이터 수집을 하고 있는데...		기체 데이터를 수집하고 있지만…	奄端　汽戚斗研　呪増馬壱　赤走幻…		34	[]	imported	
STG0034/ID00003/000045	stage	STG0034	ID00003	45	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	9b908470c2bfc560370a80ca34247f6bc41997db9e85709141df72702e2ef34c	타쿠야		타쿠야	展庭醤		6	[]	imported	
STG0034/ID00003/000046	stage	STG0034	ID00003	46	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	5810c16ab4833d27adc8b278d22701eea5c6f4f0b1e18f95152eb25c3cc49bab	특별히 눈에 띄는 수확은 없음.		딱히 눈에 띄는 수확은 없음	亨備　勧拭　句澗　呪溌精　蒸製		30	[]	imported	
STG0034/ID00003/000047	stage	STG0034	ID00003	47	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	42c95e214303c3370f4817ce9e9d4c40c1e6cfe6929e06019d29534e8ada141a	…뭐, 배너지가 기체를 타고 있는 것만은		…뭐,버나지가 기체를 조종하는 데 익숙해지고	…更，獄蟹走亜　奄端研　繕曽馬澗　汽　斥寿背走壱		48	[]	imported	
STG0034/ID00003/000048	stage	STG0034	ID00003	48	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	bbf8773d070406e5d615ea7ea7f16dafe1ed5daeb4830d62120ccf8880967242	데이터상으로도 확실하지만요		있는 것 정도는 데이터 상으로도 확실하지만요	赤澗　依　舛亀澗　汽戚斗　雌生稽亀　溌叔馬走幻推		48	[]	imported	
STG0034/ID00003/000049	stage	STG0034	ID00003	49	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신		신	重		2	[]	imported	
STG0034/ID00003/000050	stage	STG0034	ID00003	50	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	c98d576d9a4d87c2704054e62ff63996a8367cc171f8ea66a5b0dc66a66c5e20	하는군, 저 녀석		대단하네,그 녀석	企舘馬革，益　橿汐		18	[]	imported	
STG0034/ID00003/000051	stage	STG0034	ID00003	51	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0034/ID00003/000052	stage	STG0034	ID00003	52	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	fcf445006f23391c1e18068db85109de1db5ae6fe085388d06b4886bea48954c	시뮬레이션에서도		시뮬레이션에서도	獣皇傾戚芝拭辞亀		16	[]	imported	
STG0034/ID00003/000053	stage	STG0034	ID00003	53	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	268378a00baca1e125eeab0be9a094f29261eefaa6288d0419550cb8d5caa1ab	그레이드Ⅱ에서 격파율 72%를 기록하고 있다		그레이드Ⅱ에서 격파율 72%를 기록하고 있어	益傾戚球Ⅱ拭辞　維督晴　７２％研　奄系馬壱　赤嬢		48	[]	imported	
STG0034/ID00003/000054	stage	STG0034	ID00003	54	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신		신	重		2	[]	imported	
STG0034/ID00003/000055	stage	STG0034	ID00003	55	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	eaeabeead47c76de562d3359a1d08c01672ce46c9e3d8d474d187f43013b9e72	$n의 점수는?		$n의 점수는？	$ｎ税　繊呪澗？		16	"[""$n""]"	imported	
STG0034/ID00003/000056	stage	STG0034	ID00003	56	01_스테이지 xlsx 모음/STG0034(22화A)-ID00003-script-통합.xlsx	5dfa4bc574cc80f5b2ba68d8f44ce432abdc6552820e08a8ff67848c384c2319	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
