entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0064/ID00003/000004	stage	STG0064	ID00003	4	01_스테이지 xlsx 모음/STG0064(36화C)-ID00003-script-통합.xlsx	659ed3f695a00f3c9958ec205169205298f5b8724c6b24a32473b17d319be920	17758ccede6e07be2e7bcb97f447972cfae817b4710c568341393692d0343429	~프톨레마이오스 2개 격납고~		　　　　～프톨레마이오스2개 격납고～	　　　　～覗島傾原戚神什２鯵　維崖壱～		38	[]	imported	
STG0064/ID00003/000005	stage	STG0064	ID00003	5	01_스테이지 xlsx 모음/STG0064(36화C)-ID00003-script-통합.xlsx	659ed3f695a00f3c9958ec205169205298f5b8724c6b24a32473b17d319be920	5522eea27f7d2d12d5887c99d046be62e139b7e41d8a08fdd04c47ebb78d7856	카나메		카나메	朝蟹五		6	[]	imported	
STG0064/ID00003/000006	stage	STG0064	ID00003	6	01_스테이지 xlsx 모음/STG0064(36화C)-ID00003-script-통합.xlsx	659ed3f695a00f3c9958ec205169205298f5b8724c6b24a32473b17d319be920	e444b994f4605499cad67a8cfadd9ea6cb3300562587fd38b69b1b66e5ed8673	자, 소스케.		그럼,소스케	益軍，社什追		12	[]	imported	
STG0064/ID00003/000007	stage	STG0064	ID00003	7	01_스테이지 xlsx 모음/STG0064(36화C)-ID00003-script-통합.xlsx	659ed3f695a00f3c9958ec205169205298f5b8724c6b24a32473b17d319be920	259cd2dc6dfdaec20064a1f33e9c651ac1d33d13efdbcb5b840704a7d30d8753	나는 코지군들과 함께 일본으로 돌아가니까		나는 코우지 군들과 함께 일본으로 돌아갈 테니까	蟹澗　坪酔走　浦級引　敗臆　析沙生稽　宜焼哀　砺艦猿		52	[]	imported	
STG0064/ID00003/000008	stage	STG0064	ID00003	8	01_스테이지 xlsx 모음/STG0064(36화C)-ID00003-script-통합.xlsx	659ed3f695a00f3c9958ec205169205298f5b8724c6b24a32473b17d319be920	6f42d8c360d18f29d6f3eb31b4566d00027dcf6d3990efd479a16ce8c1f811ed	소스케		소스케	社什追		6	[]	imported	
STG0064/ID00003/000009	stage	STG0064	ID00003	9	01_스테이지 xlsx 모음/STG0064(36화C)-ID00003-script-통합.xlsx	659ed3f695a00f3c9958ec205169205298f5b8724c6b24a32473b17d319be920	2fb937bb287133051b1fcf6a5299448521e077efd06411367d2701fa08c725e4	나는 이대로 임무를 맡겠다.		나는 이대로 임무에 복귀한다	蟹澗　戚企稽　績巷拭　差瑛廃陥		30	[]	imported	
STG0064/ID00003/000010	stage	STG0064	ID00003	10	01_스테이지 xlsx 모음/STG0064(36화C)-ID00003-script-통합.xlsx	659ed3f695a00f3c9958ec205169205298f5b8724c6b24a32473b17d319be920	44c7166b7fed8d21dfba549465209311f01b203455391bf202ba86e57a3451d1	갑아들도 일본에서의 활동이 있을것이기 때문에,		코우지 일행도 일본에서 활동할 테니	坪酔走　析楳亀　析沙拭辞　醗疑拝　砺艦		38	[]	imported	
STG0064/ID00003/000011	stage	STG0064	ID00003	11	01_스테이지 xlsx 모음/STG0064(36화C)-ID00003-script-통합.xlsx	659ed3f695a00f3c9958ec205169205298f5b8724c6b24a32473b17d319be920	6b7dbfbab828d3e13cf79b0d0ba7fe545d8e69b4db98811930104a1a194f0e17	너는 너 자신을 지켜야 한다		너는 너 자신을 지켜야 한다	格澗　格　切重聖　走佃醤　廃陥		30	[]	imported	
STG0064/ID00003/000012	stage	STG0064	ID00003	12	01_스테이지 xlsx 모음/STG0064(36화C)-ID00003-script-통합.xlsx	659ed3f695a00f3c9958ec205169205298f5b8724c6b24a32473b17d319be920	6f42d8c360d18f29d6f3eb31b4566d00027dcf6d3990efd479a16ce8c1f811ed	소스케		소스케	社什追		6	[]	imported	
STG0064/ID00003/000013	stage	STG0064	ID00003	13	01_스테이지 xlsx 모음/STG0064(36화C)-ID00003-script-통합.xlsx	659ed3f695a00f3c9958ec205169205298f5b8724c6b24a32473b17d319be920	288ad9ec3283f1cc7c60cb07ae6acfcb1dd543c27d8679af8cab1cdee9a9f82b	그렇기 때문에 이것을 선물한다		그런 셈이니,이것을 줄게	益訓　疾戚艦，戚依聖　匝惟		26	[]	imported	
STG0064/ID00003/000014	stage	STG0064	ID00003	14	01_스테이지 xlsx 모음/STG0064(36화C)-ID00003-script-통합.xlsx	659ed3f695a00f3c9958ec205169205298f5b8724c6b24a32473b17d319be920	5522eea27f7d2d12d5887c99d046be62e139b7e41d8a08fdd04c47ebb78d7856	카나메		카나메	朝蟹五		6	[]	imported	
