entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0302/ID00003/000004	dlc	DLC0302	ID00003	4	!DLC/DLC0302_cpk/DLC0302(DLC-02)-ID00003-script-통합.xlsx	1643d0580f7dd1f6df8d0928bf017aeb3d7745d79b9c71dbd120c9ee30ffcf0d	a173c668906f6f4c9f87323cbbb82c70f2ed9f208c2a624f74feb49ffc924cb7	~마크로스 쿼터 브리핑룸~		　　～마크로스・쿼터 브리핑룸～	　　～原滴稽什・汀斗　崎軒芭結～		32	[]	imported	
DLC0302/ID00003/000005	dlc	DLC0302	ID00003	5	!DLC/DLC0302_cpk/DLC0302(DLC-02)-ID00003-script-통합.xlsx	1643d0580f7dd1f6df8d0928bf017aeb3d7745d79b9c71dbd120c9ee30ffcf0d	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0302/ID00003/000006	dlc	DLC0302	ID00003	6	!DLC/DLC0302_cpk/DLC0302(DLC-02)-ID00003-script-통합.xlsx	1643d0580f7dd1f6df8d0928bf017aeb3d7745d79b9c71dbd120c9ee30ffcf0d	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
DLC0302/ID00003/000007	dlc	DLC0302	ID00003	7	!DLC/DLC0302_cpk/DLC0302(DLC-02)-ID00003-script-통합.xlsx	1643d0580f7dd1f6df8d0928bf017aeb3d7745d79b9c71dbd120c9ee30ffcf0d	6f42d8c360d18f29d6f3eb31b4566d00027dcf6d3990efd479a16ce8c1f811ed	소스케		소스케	社什追		6	[]	imported	
DLC0302/ID00003/000008	dlc	DLC0302	ID00003	8	!DLC/DLC0302_cpk/DLC0302(DLC-02)-ID00003-script-통합.xlsx	1643d0580f7dd1f6df8d0928bf017aeb3d7745d79b9c71dbd120c9ee30ffcf0d	26a74c3f5bfb6227581d79cc335ca53500152d65120c11fef3801cfcab661222	뭐야, $n?		뭐야,$n？	更醤，$ｎ？		12	"[""$n""]"	imported	
DLC0302/ID00003/000009	dlc	DLC0302	ID00003	9	!DLC/DLC0302_cpk/DLC0302(DLC-02)-ID00003-script-통합.xlsx	1643d0580f7dd1f6df8d0928bf017aeb3d7745d79b9c71dbd120c9ee30ffcf0d	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0302/ID00003/000010	dlc	DLC0302	ID00003	10	!DLC/DLC0302_cpk/DLC0302(DLC-02)-ID00003-script-통합.xlsx	1643d0580f7dd1f6df8d0928bf017aeb3d7745d79b9c71dbd120c9ee30ffcf0d	4c2f66fc5e496f0b01c62ae847e743ff7cac56dedb7fa0255eaaa94b73d1af95	전부터 의문으로 생각하고 있었지만,		예전부터 궁금했었는데	森穿採斗　叡榎梅醸澗汽		22	[]	imported	
DLC0302/ID00003/000011	dlc	DLC0302	ID00003	11	!DLC/DLC0302_cpk/DLC0302(DLC-02)-ID00003-script-통합.xlsx	1643d0580f7dd1f6df8d0928bf017aeb3d7745d79b9c71dbd120c9ee30ffcf0d	599238200cc5af5fa31435806d2fc7e674ca5adfb5f44337300838ce51a1d3b5	너는 무슨 경위로 미스릴에 들어갔니?		너는 어떤 경위로 미스릴에 들어왔어？	格澗　嬢恐　井是稽　耕什険拭　級嬢尽嬢？		40	[]	imported	
DLC0302/ID00003/000012	dlc	DLC0302	ID00003	12	!DLC/DLC0302_cpk/DLC0302(DLC-02)-ID00003-script-통합.xlsx	1643d0580f7dd1f6df8d0928bf017aeb3d7745d79b9c71dbd120c9ee30ffcf0d	6f42d8c360d18f29d6f3eb31b4566d00027dcf6d3990efd479a16ce8c1f811ed	소스케		소스케	社什追		6	[]	imported	
DLC0302/ID00003/000013	dlc	DLC0302	ID00003	13	!DLC/DLC0302_cpk/DLC0302(DLC-02)-ID00003-script-통합.xlsx	1643d0580f7dd1f6df8d0928bf017aeb3d7745d79b9c71dbd120c9ee30ffcf0d	f2bd3337e3910bad7ba0e7c7cb41124509aec92050dbdce4f964b83c8b802e6f	흔히 있는 얘기다.		흔한 이야기야	泌廃　戚醤奄醤		14	[]	imported	
