entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0002/ID00003/000004	stage	STG0002	ID00003	4	01_스테이지 xlsx 모음/STG0002(2화)-ID00003-script-통합.xlsx	17d3c3238b2a9442d05d56107d094520a31a43d59e54c61e9f5b347523aa0500	65db3aecb1761e544664f9608bf2d112926043dba422573e0a625e13153aa0da	~잠수함 투아하 데 다낭 함장실	　　　　　～잠수함 투아하 데 다낭 함장실～	　　　　　～잠수함 투아하・데・다난 함장실～	　　　　　～節呪敗　燈焼馬・汽・陥貝　敗舌叔～		46	[]	imported	
STG0002/ID00003/000005	stage	STG0002	ID00003	5	01_스테이지 xlsx 모음/STG0002(2화)-ID00003-script-통합.xlsx	17d3c3238b2a9442d05d56107d094520a31a43d59e54c61e9f5b347523aa0500	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	텟사	텟사	텟사	倒紫		4	[]	imported	
STG0002/ID00003/000006	stage	STG0002	ID00003	6	01_스테이지 xlsx 모음/STG0002(2화)-ID00003-script-통합.xlsx	17d3c3238b2a9442d05d56107d094520a31a43d59e54c61e9f5b347523aa0500	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………	………	………	………		6	[]	imported	
STG0002/ID00003/000007	stage	STG0002	ID00003	7	01_스테이지 xlsx 모음/STG0002(2화)-ID00003-script-통합.xlsx	17d3c3238b2a9442d05d56107d094520a31a43d59e54c61e9f5b347523aa0500	7d3ac086ebfa8b25fbb8391c80cdb02398f667e31bb43f1f778f2c12ae840da4	칼리닌	칼리닌	칼리닌	町軒観		6	[]	imported	
STG0002/ID00003/000008	stage	STG0002	ID00003	8	01_스테이지 xlsx 모음/STG0002(2화)-ID00003-script-통합.xlsx	17d3c3238b2a9442d05d56107d094520a31a43d59e54c61e9f5b347523aa0500	4ec4701548c1b9f9996c57d27a2882ea8399cc6c244fb5fea8f8026aa4b58fb6	그 표정을 보는 한,	그 표정을 보니,	그 표정을 보니,	益　妊舛聖　左艦，		18	[]	imported	
STG0002/ID00003/000009	stage	STG0002	ID00003	9	01_스테이지 xlsx 모음/STG0002(2화)-ID00003-script-통합.xlsx	17d3c3238b2a9442d05d56107d094520a31a43d59e54c61e9f5b347523aa0500	36f9a732300e88200f25be94b69395cf1694ec4149c384a623398047893499e0	별로 좋은 소식이 아닌 것 같습니다.	그다지 좋은 소식은 아닌 것 같군요.	별로 좋은 소식은 아닌 것 같군요	紺稽　疏精　社縦精　焼観　依　旭浦推		36	[]	imported	
STG0002/ID00003/000010	stage	STG0002	ID00003	10	01_스테이지 xlsx 모음/STG0002(2화)-ID00003-script-통합.xlsx	17d3c3238b2a9442d05d56107d094520a31a43d59e54c61e9f5b347523aa0500	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	텟사	텟사	텟사	倒紫		4	[]	imported	
STG0002/ID00003/000011	stage	STG0002	ID00003	11	01_스테이지 xlsx 모음/STG0002(2화)-ID00003-script-통합.xlsx	17d3c3238b2a9442d05d56107d094520a31a43d59e54c61e9f5b347523aa0500	47d28785933cac5462946e0613350d35c8a9eed1241f1aaad66f772e016809e2	그래…	네….	네…	革…		4	[]	imported	
STG0002/ID00003/000012	stage	STG0002	ID00003	12	01_스테이지 xlsx 모음/STG0002(2화)-ID00003-script-통합.xlsx	17d3c3238b2a9442d05d56107d094520a31a43d59e54c61e9f5b347523aa0500	7e427d119d9d7c3aee3af5fe06c7ec70282955abc939ae0715d3514f41f75925	울즈2의 현지 소견을 듣는 한,	울즈2의 현지 소견을 들어보니,	울즈2의 현지 소견을 듣자니,	随綜２税　薄走　社胃聖　笈切艦，		32	[]	imported	
STG0002/ID00003/000013	stage	STG0002	ID00003	13	01_스테이지 xlsx 모음/STG0002(2화)-ID00003-script-통합.xlsx	17d3c3238b2a9442d05d56107d094520a31a43d59e54c61e9f5b347523aa0500	dd494aeffc795020aaa39b20c4a91803758aff9e14a3b67a8a02a171d5874096	예 안노운…	그 수수께끼의 언노운…	문제의 언노운…	庚薦税　情葛錘…		16	[]	imported	
