entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0212-8화후B분기/ID00003/000002	stage	STG0212-8화후B분기	ID00003	2	01_스테이지 xlsx 모음/STG0212(8화후B분기)-ID00003-script-통합.xlsx	4d80ca8f8010fa3f9ad1b184a469d667117d83c50fdb0c8fd176297244b11a76	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n			$ｎ		4	"[""$n""]"	imported	
STG0212-8화후B분기/ID00003/000003	stage	STG0212-8화후B분기	ID00003	3	01_스테이지 xlsx 모음/STG0212(8화후B분기)-ID00003-script-통합.xlsx	4d80ca8f8010fa3f9ad1b184a469d667117d83c50fdb0c8fd176297244b11a76	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………			………		6	[]	imported	
STG0212-8화후B분기/ID00003/000006	stage	STG0212-8화후B분기	ID00003	6	01_스테이지 xlsx 모음/STG0212(8화후B분기)-ID00003-script-통합.xlsx	4d80ca8f8010fa3f9ad1b184a469d667117d83c50fdb0c8fd176297244b11a76	f8f79cfefa9e11706140035c0318ca52eac153121c751dc58da2ded78d29a199	　　　　　　　　　　~D 트레이더~			　　　　　　　　　　～Ｄ闘傾戚希～		34	[]	imported	
STG0212-8화후B분기/ID00003/000007	stage	STG0212-8화후B분기	ID00003	7	01_스테이지 xlsx 모음/STG0212(8화후B분기)-ID00003-script-통합.xlsx	4d80ca8f8010fa3f9ad1b184a469d667117d83c50fdb0c8fd176297244b11a76	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ			ＡＧ		4	[]	imported	
STG0212-8화후B분기/ID00003/000008	stage	STG0212-8화후B분기	ID00003	8	01_스테이지 xlsx 모음/STG0212(8화후B분기)-ID00003-script-통합.xlsx	4d80ca8f8010fa3f9ad1b184a469d667117d83c50fdb0c8fd176297244b11a76	2123058de5b7432b71a54874934e329dc5a5e35c74a8db380cf5ec864690a97b	자, 자, $n님들은			切，切，$ｎ　松級精		20	"[""$n""]"	imported	
STG0212-8화후B분기/ID00003/000009	stage	STG0212-8화후B분기	ID00003	9	01_스테이지 xlsx 모음/STG0212(8화후B분기)-ID00003-script-통합.xlsx	4d80ca8f8010fa3f9ad1b184a469d667117d83c50fdb0c8fd176297244b11a76	8e28fdfdbdd7f83485825f52fc3f855becad292c79ea9150d36902b9cebfe4cc	동아리의 조력자를 맡게 된 것 같습니다만...			疑焼軒税　走据聖　乎惟　鞠醸陥澗汽…		36	[]	imported	
STG0212-8화후B분기/ID00003/000010	stage	STG0212-8화후B분기	ID00003	10	01_스테이지 xlsx 모음/STG0212(8화후B분기)-ID00003-script-통합.xlsx	4d80ca8f8010fa3f9ad1b184a469d667117d83c50fdb0c8fd176297244b11a76	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ			ＡＧ		4	[]	imported	
STG0212-8화후B분기/ID00003/000011	stage	STG0212-8화후B분기	ID00003	11	01_스테이지 xlsx 모음/STG0212(8화후B분기)-ID00003-script-통합.xlsx	4d80ca8f8010fa3f9ad1b184a469d667117d83c50fdb0c8fd176297244b11a76	c247829273b7b8986f9ac19c224384c06ddb31739c20b2823f77dbf63cc748b0	도대체 무슨 동아리를 도와주는 일인지.			企端　巷充　疑焼軒研　欺惟　吃猿推．益軒壱，益　蒋拭		52	[]	imported	
STG0212-8화후B분기/ID00003/000012	stage	STG0212-8화후B분기	ID00003	12	01_스테이지 xlsx 모음/STG0212(8화후B분기)-ID00003-script-통합.xlsx	4d80ca8f8010fa3f9ad1b184a469d667117d83c50fdb0c8fd176297244b11a76	1404f0f12a6155ab21698b0eda48342700354aedad597eb13f37cb321c5b9301	그리고 그 앞에 기다리는 것은 폭풍우인가, 천둥인가?			奄陥軒壱　赤澗　依精　賑燃析猿推，探逆析猿推？		46	[]	imported	
STG0212-8화후B분기/ID00003/000013	stage	STG0212-8화후B분기	ID00003	13	01_스테이지 xlsx 모음/STG0212(8화후B분기)-ID00003-script-통합.xlsx	4d80ca8f8010fa3f9ad1b184a469d667117d83c50fdb0c8fd176297244b11a76	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ			ＡＧ		4	[]	imported	
STG0212-8화후B분기/ID00003/000014	stage	STG0212-8화후B분기	ID00003	14	01_스테이지 xlsx 모음/STG0212(8화후B분기)-ID00003-script-통합.xlsx	4d80ca8f8010fa3f9ad1b184a469d667117d83c50fdb0c8fd176297244b11a76	e406ddd06ef5c3fdf4ad8783321f80c9c07aea022168d6b108181fdc4087c9f8	이런, 불안을 부추겨 버리기도 하고.			益撹　災照聖　採蓄移　左澗　暗遇艦陥		36	[]	imported	
STG0212-8화후B분기/ID00003/000015	stage	STG0212-8화후B분기	ID00003	15	01_스테이지 xlsx 모음/STG0212(8화후B분기)-ID00003-script-통합.xlsx	4d80ca8f8010fa3f9ad1b184a469d667117d83c50fdb0c8fd176297244b11a76	c46d7290248b44507db8e776b60c7e9ca0e47fb7b035bf238ad4a905869c7e12	자, 오늘도 힘내서 장사, 장사!			切，神潅亀　毘鎧辞…舌紫，舌紫！		32	[]	imported	
