entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0210-8화후분기/ID00003/000004	stage	STG0210-8화후분기	ID00003	4	01_스테이지 xlsx 모음/STG0210(8화후분기)-ID00003-script-통합.xlsx	3be8d05964586ceb291facb4848965aa7e0fed6419f26a2b4d99c7deaf5363cd	7bacbb765b0327cf6906df76a505ff90fa8a518b877317f2ed1ae45e7af4bbe2	~진시로 고등학교 2학년 4반~	　　　　　　　　～진다이 고교 2학년 4반～	　　　　　　　　～진다이 고교 2학년 4반～	　　　　　　　　～遭陥戚　壱嘘　２俳鰍　４鋼～		46	[]	imported	
STG0210-8화후분기/ID00003/000005	stage	STG0210-8화후분기	ID00003	5	01_스테이지 xlsx 모음/STG0210(8화후분기)-ID00003-script-통합.xlsx	3be8d05964586ceb291facb4848965aa7e0fed6419f26a2b4d99c7deaf5363cd	5522eea27f7d2d12d5887c99d046be62e139b7e41d8a08fdd04c47ebb78d7856	카나메	카나메	카나메	朝蟹五		6	[]	imported	
STG0210-8화후분기/ID00003/000006	stage	STG0210-8화후분기	ID00003	6	01_스테이지 xlsx 모음/STG0210(8화후분기)-ID00003-script-통합.xlsx	3be8d05964586ceb291facb4848965aa7e0fed6419f26a2b4d99c7deaf5363cd	75e6400beeb381f39c84e7d40054a552466da080bf44660dc5ad751935a25e3f	이렇게 방과후에 모두에게 남은 건	이렇게 방과 후에 모두 남아달라고 한 건	이렇게 방과 후에 모두 남아달라고 한 건	戚係惟　号引　板拭　乞砧　害焼含虞壱　廃　闇		44	[]	imported	
STG0210-8화후분기/ID00003/000007	stage	STG0210-8화후분기	ID00003	7	01_스테이지 xlsx 모음/STG0210(8화후분기)-ID00003-script-통합.xlsx	3be8d05964586ceb291facb4848965aa7e0fed6419f26a2b4d99c7deaf5363cd	437bd3190821720b5fef80cc67006b966628ca9cb43e6e9155a08eca589548b7	다름이 아니라...	다름이 아니라…	다름이 아니라…	陥硯戚　焼艦虞…		16	[]	imported	
STG0210-8화후분기/ID00003/000008	stage	STG0210-8화후분기	ID00003	8	01_스테이지 xlsx 모음/STG0210(8화후분기)-ID00003-script-통합.xlsx	3be8d05964586ceb291facb4848965aa7e0fed6419f26a2b4d99c7deaf5363cd	fa9340198eeaa266f350a59c09940fabea3390fb9800cf2afc7cba1324d1e800	알토	알토	알토	硝塘		4	[]	imported	
STG0210-8화후분기/ID00003/000009	stage	STG0210-8화후분기	ID00003	9	01_스테이지 xlsx 모음/STG0210(8화후분기)-ID00003-script-통합.xlsx	3be8d05964586ceb291facb4848965aa7e0fed6419f26a2b4d99c7deaf5363cd	005ae5901bd39d00cd282fa81164deb5c5d6104e7bd20b3fee3343a9eea2ad9b	이야기라면 빨리 해 주게	할 말 있으면 빨리 해	할 말 있으면 빨리 해	拝　源　赤生檎　察軒　背		24	[]	imported	
STG0210-8화후분기/ID00003/000010	stage	STG0210-8화후분기	ID00003	10	01_스테이지 xlsx 모음/STG0210(8화후분기)-ID00003-script-통합.xlsx	3be8d05964586ceb291facb4848965aa7e0fed6419f26a2b4d99c7deaf5363cd	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n	$n	$n	$ｎ		4	"[""$n""]"	imported	
STG0210-8화후분기/ID00003/000011	stage	STG0210-8화후분기	ID00003	11	01_스테이지 xlsx 모음/STG0210(8화후분기)-ID00003-script-통합.xlsx	3be8d05964586ceb291facb4848965aa7e0fed6419f26a2b4d99c7deaf5363cd	3e3ea49f6f27cd8006044c060d4ffe4a62474389221a06f3553d8787ccd90aa4	우리들, 오노D나 카자마 타츠와	우리,오노D랑 카자마네랑	우리,오노D랑 카자마네랑	酔軒，神葛Ｄ櫛　朝切原革櫛		26	[]	imported	
STG0210-8화후분기/ID00003/000012	stage	STG0210-8화후분기	ID00003	12	01_스테이지 xlsx 모음/STG0210(8화후분기)-ID00003-script-통합.xlsx	3be8d05964586ceb291facb4848965aa7e0fed6419f26a2b4d99c7deaf5363cd	893692addd6050c29bc805cc18478d4d036cb6dee67e5381a180bb40b31f47bd	은하라면을 먹으러 가기로 약속을 한거야	깅가 라멘 먹으러 가기로 약속했단 말이야	깅가 라멘 먹으러 가기로 약속했단 말이야	焔亜　虞伍　股生君　亜奄稽　鉦紗梅舘　源戚醤		44	[]	imported	
STG0210-8화후분기/ID00003/000013	stage	STG0210-8화후분기	ID00003	13	01_스테이지 xlsx 모음/STG0210(8화후분기)-ID00003-script-통합.xlsx	3be8d05964586ceb291facb4848965aa7e0fed6419f26a2b4d99c7deaf5363cd	5522eea27f7d2d12d5887c99d046be62e139b7e41d8a08fdd04c47ebb78d7856	카나메	카나메	카나메	朝蟹五		6	[]	imported	
