entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0096/ID00003/000004	stage	STG0096	ID00003	4	01_스테이지 xlsx 모음/STG0096(57화)-ID00003-script-통합.xlsx	fbd206127f0bfcefebba1e6745bd4a6bc6fd2368669aca5157956f1633e38a60	39075b20c460cf8a94fdcdc23c7a1bb97f6bc0d775482b8fa6b9ef4aeebfbb25	~지구연방정부의사당~		　　　　　　　　～지구연방정부 의사당～	　　　　　　　　～走姥尻号舛採　税紫雁～		40	[]	imported	
STG0096/ID00003/000005	stage	STG0096	ID00003	5	01_스테이지 xlsx 모음/STG0096(57화)-ID00003-script-통합.xlsx	fbd206127f0bfcefebba1e6745bd4a6bc6fd2368669aca5157956f1633e38a60	b22b5673a98e3af052872b9a62707d1ac9f8853b5b4d08819e1be3806c725ed7	대통령		대통령	企搭敬		6	[]	imported	
STG0096/ID00003/000006	stage	STG0096	ID00003	6	01_스테이지 xlsx 모음/STG0096(57화)-ID00003-script-통합.xlsx	fbd206127f0bfcefebba1e6745bd4a6bc6fd2368669aca5157956f1633e38a60	3832a6072a4e10b90bbb8eaf4653eaabe9051391d49b1889207275409784c1e5	이 방송을 보고 계신 모든 분들께...		이 방송을 보고 계신 모든 분들께…	戚　号勺聖　左壱　域重　乞窮　歳級臆…		38	[]	imported	
STG0096/ID00003/000007	stage	STG0096	ID00003	7	01_스테이지 xlsx 모음/STG0096(57화)-ID00003-script-통합.xlsx	fbd206127f0bfcefebba1e6745bd4a6bc6fd2368669aca5157956f1633e38a60	b22b5673a98e3af052872b9a62707d1ac9f8853b5b4d08819e1be3806c725ed7	대통령		대통령	企搭敬		6	[]	imported	
STG0096/ID00003/000008	stage	STG0096	ID00003	8	01_스테이지 xlsx 모음/STG0096(57화)-ID00003-script-통합.xlsx	fbd206127f0bfcefebba1e6745bd4a6bc6fd2368669aca5157956f1633e38a60	e432968047306a3b48cb65b9a677fa41230053854162790b0203217eab0296cb	오늘 이 자리에서 저는,		오늘 이 자리에서 저는	神潅　戚　切軒拭辞　煽澗		24	[]	imported	
STG0096/ID00003/000009	stage	STG0096	ID00003	9	01_스테이지 xlsx 모음/STG0096(57화)-ID00003-script-통합.xlsx	fbd206127f0bfcefebba1e6745bd4a6bc6fd2368669aca5157956f1633e38a60	cc2f3a6d1b87f2b83ac54aa8e9de97992a59dba66a3e5ed86bec0cec9f6aec94	여러분에게 이터니티 플랫이라고 호칭되게 되었다		여러분께 이터니티・플랫이라 불리게 된	食君歳臆　戚斗艦銅・巴熊戚虞　災軒惟　吉		40	[]	imported	
STG0096/ID00003/000010	stage	STG0096	ID00003	10	01_스테이지 xlsx 모음/STG0096(57화)-ID00003-script-통합.xlsx	fbd206127f0bfcefebba1e6745bd4a6bc6fd2368669aca5157956f1633e38a60	72f900a3852a3d01b8b56c5627e4e3277cf42f0cdba1ceceb053f76944f5c0bd	미증유의 시공 재해에 대해 설명하겠습니다		미증유의 시공재해에 대해 설명드리겠습니다	耕装政税　獣因仙背拭　企背　竺誤球軒畏柔艦陥		44	[]	imported	
STG0096/ID00003/000011	stage	STG0096	ID00003	11	01_스테이지 xlsx 모음/STG0096(57화)-ID00003-script-통합.xlsx	fbd206127f0bfcefebba1e6745bd4a6bc6fd2368669aca5157956f1633e38a60	b22b5673a98e3af052872b9a62707d1ac9f8853b5b4d08819e1be3806c725ed7	대통령		대통령	企搭敬		6	[]	imported	
STG0096/ID00003/000012	stage	STG0096	ID00003	12	01_스테이지 xlsx 모음/STG0096(57화)-ID00003-script-통합.xlsx	fbd206127f0bfcefebba1e6745bd4a6bc6fd2368669aca5157956f1633e38a60	a4c54a41af6f543429cd77552e753455f451383a4a4ea69d6f54076fd5ee588c	동시에 여러분에게는 우리 인류에게 천적이라고 할 만한 존재…		우리 인류에게 천적이라 할 수 있는 존재…	酔軒　昔嫌拭惟　探旋戚虞　拝　呪　赤澗　糎仙…		46	[]	imported	
STG0096/ID00003/000013	stage	STG0096	ID00003	13	01_스테이지 xlsx 모음/STG0096(57화)-ID00003-script-통합.xlsx	fbd206127f0bfcefebba1e6745bd4a6bc6fd2368669aca5157956f1633e38a60	64cca7e3cf3d8f3025c0be8728d0a401aba77a809b1570b8f6e005af0a273567	우주생물 바알에 대해서도 알아보겠습니다		우주생물 바알에 대해서도 알려드리겠습니다	酔爽持弘　郊硝拭　企背辞亀　硝形球軒畏柔艦陥		44	[]	imported	
