entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
사전2-flowman/정리본/000002	dictionary	사전2-flowman	정리본	2	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	0bc75a90f5eb2ac9cdfeef20f15226981d9e6340bf840f59e87b663964435572			（현재⑲HP⑲대미지％÷３）⑲％값이㊥최종대미지에⑲추가됩니다㊦	（薄仙⑲ＨＰ⑲企耕走％÷３）⑲％葵戚㊥置曽企耕走拭⑲蓄亜桔艦陥㊦	74	62	"[""㊥"",""㊦""]"	imported	
사전2-flowman/정리본/000003	dictionary	사전2-flowman	정리본	3	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	a0fb8bfc7a26604d6826ee651b7fcc82906323487378ab093da90dc723b2e5b0			（현재⑲HP⑲대미지％÷３）⑲％값이⑲최종대미지에⑲추가됩니다㊦	（薄仙⑲ＨＰ⑲企耕走％÷３）⑲％葵戚⑲置曽企耕走拭⑲蓄亜桔艦陥㊦	69	63	"[""㊦""]"	imported	
사전2-flowman/정리본/000004	dictionary	사전2-flowman	정리본	4	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	ce349ea151e6e192e6a499e7fb35da9ace0d36233b1fdf94ae8013167464f89a			（현재⑲HP⑲대미지％÷３）⑲％값이㊥최종대미지에⑲추가됩니다㊦	（薄仙⑲ＨＰ⑲企耕走％÷３）⑲％葵戚㊥置曽企耕走拭⑲蓄亜桔艦陥㊦	72	62	"[""㊥"",""㊦""]"	imported	
사전2-flowman/정리본/000005	dictionary	사전2-flowman	정리본	5	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	fbaad8962dc425b2172d4f6e30388a3ff51f0e4053ddadbad8e4a78904958c0a			（현재⑲HP⑲대미지％÷３）⑲％값이㊥최종대미지에⑲추가된다㊥ＤＬ전용㊦	（薄仙⑲ＨＰ⑲企耕走％÷３）⑲％葵戚㊥置曽企耕走拭⑲蓄亜吉陥㊥ＤＬ穿遂㊦	77	69	"[""㊥"",""㊥"",""㊦""]"	imported	
사전2-flowman/정리본/000006	dictionary	사전2-flowman	정리본	6	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	a9846ef8b6f3e0a3f5edc230dbd04aa3660726202a220e666c1f688ea0ad0490			（현재⑲HP⑲대미지％÷３）⑲％값이㊥최종대미지에⑲추가된다㊦	（薄仙⑲ＨＰ⑲企耕走％÷３）⑲％葵戚㊥置曽企耕走拭⑲蓄亜吉陥㊦	68	60	"[""㊥"",""㊦""]"	imported	
사전2-flowman/정리본/000007	dictionary	사전2-flowman	정리본	7	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	f65b5fabe1b1c2d683d926bc4fc44a0dfef48fa552114f6c9eadf095b10dd0e9			（현재⑲HP⑲대미지％÷３）⑲％값이⑲최종대미지에⑲추가된다㊦	（薄仙⑲ＨＰ⑲企耕走％÷３）⑲％葵戚⑲置曽企耕走拭⑲蓄亜吉陥㊦	67	61	"[""㊦""]"	imported	
사전2-flowman/정리본/000008	dictionary	사전2-flowman	정리본	8	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	dc74e61c42cc16bbdf8e294a0e28e8c43e5d893bf0b719efec74460213fccd4d			「…이탈한다」㊦	「…戚纏廃陥」㊦	15	15	"[""㊦""]"	imported	
사전2-flowman/정리본/000009	dictionary	사전2-flowman	정리본	9	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	ce23fad62c2f9c0743d55ee545a4598df1ac22bef18f520e3349533cabb63398			「아⑲아아…！㊥⑲다⑲탈출합니다⑲죄송합니다！」㊦	「焼⑲焼焼…！㊥⑲陥⑲纏窒杯艦陥⑲阻勺杯艦陥！」㊦	50	48	"[""㊥"",""⑲"",""㊦""]"	imported	
사전2-flowman/정리본/000010	dictionary	사전2-flowman	정리본	10	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	30edfd872f504166be2a5801a864e2b67765764435afe07011366113f861ada2			「아앗！㊥⑲이러다간⑲수리비로⑲파산이다！」㊦	「焼粧！㊥⑲戚君陥娃⑲呪軒搾稽⑲督至戚陥！」㊦	44	44	"[""㊥"",""⑲"",""㊦""]"	imported	
사전2-flowman/정리본/000011	dictionary	사전2-flowman	정리본	11	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	aa5a406cec8c765f594d3967c665b0fb7197ba86ca1a1d0d73c15e247897f2e8			「아앗！⑲아아아아앗！！」㊦	「焼粧！⑲焼焼焼焼粧！！」㊦	31	27	"[""⑲"",""㊦""]"	imported	
사전2-flowman/정리본/000012	dictionary	사전2-flowman	정리본	12	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	763722ffbb99f90725130e47b4ce397e725c9278fb6661b071495e15722d844a			「내가⑲당하다니…！？」㊦	「鎧亜⑲雁馬陥艦…！？」㊦	31	25	"[""㊦""]"	imported	
사전2-flowman/정리본/000013	dictionary	사전2-flowman	정리본	13	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	b7e4ab778a86576f69a581622be5fb3cf9a6f70c54366bed9543049005560bc3			「앗차！⑲이⑲이상은⑲무리인⑲것⑲같아！」㊦	「粧託！⑲戚⑲戚雌精⑲巷軒昔⑲依⑲旭焼！」㊦	43	43	"[""⑲"",""㊦""]"	imported	
사전2-flowman/정리본/000014	dictionary	사전2-flowman	정리본	14	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	ad6aa3bb206fefedb799aef9447851004a439cfcf88febf2a96ea36bb1e1652b			「이⑲이런！⑲셔틀이！」㊦	「戚⑲戚訓！⑲偲堂戚！」㊦	31	25	"[""⑲"",""㊦""]"	imported	
사전2-flowman/정리본/000015	dictionary	사전2-flowman	정리본	15	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	ca07eb1f3dc1745c63ae34e19dde6a0eef9b0e76e6116173d5855d2fb3f271d1			「이⑲이야！㊥⑲더⑲이상은⑲무리！」㊦	「戚⑲戚醤！㊥⑲希⑲戚雌精⑲巷軒！」㊦	40	36	"[""㊥"",""⑲"",""㊦""]"	imported	
사전2-flowman/정리본/000016	dictionary	사전2-flowman	정리본	16	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	5398336381b6daf3e29e32d66fe3fa600e3a7ec043bbba2e3c049341b5ff90ea			「이런！㊥⑲이상은⑲정말로⑲목숨이⑲위험해！」㊦	「戚訓！㊥⑲戚雌精⑲舛源稽⑲鯉需戚⑲是蝿背！」㊦	46	46	"[""㊥"",""⑲"",""㊦""]"	imported	
사전2-flowman/정리본/000017	dictionary	사전2-flowman	정리본	17	사전2-flowman.xlsx	d134bef421c7531c62227e8531e9255aec3c2aa6ffa0ff38431d47065a7af732	732d13d3abe888808d97e3640f67652d9c7de9b43f006df20e73112c46ba1227			「안⑲돼…！㊥⑲이⑲이상은⑲무리다！」㊦	「照⑲掬…！㊥⑲戚⑲戚雌精⑲巷軒陥！」㊦	38	38	"[""㊥"",""⑲"",""㊦""]"	imported	
