entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0050b/ID00003/000002	stage	STG0050b	ID00003	2	01_스테이지 xlsx 모음/STG0050b(32화)-ID00003-script-통합.xlsx	1d0c01f0a5665e347a91d1f507d3364cedcbe5ad6fa808a6ddf97bb050dab4c7	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0050b/ID00003/000003	stage	STG0050b	ID00003	3	01_스테이지 xlsx 모음/STG0050b(32화)-ID00003-script-통합.xlsx	1d0c01f0a5665e347a91d1f507d3364cedcbe5ad6fa808a6ddf97bb050dab4c7	3361aa9df2009f02b0cc9b415950489f898b0dff5831651d510501287cb98e78	우와아아아악!!		으아아아아아악!!	生焼焼焼焼焼焦！！		18	[]	imported	
STG0050b/ID00003/000004	stage	STG0050b	ID00003	4	01_스테이지 xlsx 모음/STG0050b(32화)-ID00003-script-통합.xlsx	1d0c01f0a5665e347a91d1f507d3364cedcbe5ad6fa808a6ddf97bb050dab4c7	7a098615626f62dfa87b27d60e9eef35c75518e010ff83ccdc69a0232fe66ff4	도로시		도로시	亀稽獣		6	[]	imported	
STG0050b/ID00003/000005	stage	STG0050b	ID00003	5	01_스테이지 xlsx 모음/STG0050b(32화)-ID00003-script-통합.xlsx	1d0c01f0a5665e347a91d1f507d3364cedcbe5ad6fa808a6ddf97bb050dab4c7	4bfc48a77291ee72af0571a34e387bf6a9c972b568328cfffab8eba200cfb428	괜찮아요?		괜찮으세요?	右諾生室推？		12	[]	imported	
STG0050b/ID00003/000006	stage	STG0050b	ID00003	6	01_스테이지 xlsx 모음/STG0050b(32화)-ID00003-script-통합.xlsx	1d0c01f0a5665e347a91d1f507d3364cedcbe5ad6fa808a6ddf97bb050dab4c7	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0050b/ID00003/000007	stage	STG0050b	ID00003	7	01_스테이지 xlsx 모음/STG0050b(32화)-ID00003-script-통합.xlsx	1d0c01f0a5665e347a91d1f507d3364cedcbe5ad6fa808a6ddf97bb050dab4c7	1b076e569704607fda093cfe5318a32ced45390439f4b86843913acd4c9930e7	어... 어...		에…아…	拭…焼…		8	[]	imported	
STG0050b/ID00003/000008	stage	STG0050b	ID00003	8	01_스테이지 xlsx 모음/STG0050b(32화)-ID00003-script-통합.xlsx	1d0c01f0a5665e347a91d1f507d3364cedcbe5ad6fa808a6ddf97bb050dab4c7	7a098615626f62dfa87b27d60e9eef35c75518e010ff83ccdc69a0232fe66ff4	도로시		도로시	亀稽獣		6	[]	imported	
STG0050b/ID00003/000009	stage	STG0050b	ID00003	9	01_스테이지 xlsx 모음/STG0050b(32화)-ID00003-script-통합.xlsx	1d0c01f0a5665e347a91d1f507d3364cedcbe5ad6fa808a6ddf97bb050dab4c7	4c83eb4eb22889c03a3df9714c9d398a738b9023a21e336e8ae7b851700f5d97	다친 곳은 없는 것 같네요.		다친 곳은 없는 것 같네요	陥庁　員精　蒸澗　依　旭革推		28	[]	imported	
STG0050b/ID00003/000010	stage	STG0050b	ID00003	10	01_스테이지 xlsx 모음/STG0050b(32화)-ID00003-script-통합.xlsx	1d0c01f0a5665e347a91d1f507d3364cedcbe5ad6fa808a6ddf97bb050dab4c7	86cb365a769a47ef4bc41f08a58a9a7af5dc34935200988185ba4643aacf387e	갑자기 차 앞으로 뛰어나오는 바람에		갑자기 차 앞으로 뛰어들어서	逢切奄　託　蒋生稽　禽嬢級嬢辞		30	[]	imported	
STG0050b/ID00003/000011	stage	STG0050b	ID00003	11	01_스테이지 xlsx 모음/STG0050b(32화)-ID00003-script-통합.xlsx	1d0c01f0a5665e347a91d1f507d3364cedcbe5ad6fa808a6ddf97bb050dab4c7	a6249238a7c0b6577077afbcf374d2bded7cdf434ff5f01311e9c866a605e2da	놀랐어요		놀랐어요	且串嬢推		8	[]	imported	
STG0050b/ID00003/000012	stage	STG0050b	ID00003	12	01_스테이지 xlsx 모음/STG0050b(32화)-ID00003-script-통합.xlsx	1d0c01f0a5665e347a91d1f507d3364cedcbe5ad6fa808a6ddf97bb050dab4c7	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0050b/ID00003/000013	stage	STG0050b	ID00003	13	01_스테이지 xlsx 모음/STG0050b(32화)-ID00003-script-통합.xlsx	1d0c01f0a5665e347a91d1f507d3364cedcbe5ad6fa808a6ddf97bb050dab4c7	fc846a538a19d5b06f41edce5a0c17ca2d19b4b2ee74d913ba830378c1b7c7f6	스, 죄송합니다…!		죄,죄송합니다…!	阻，阻勺杯艦陥…！		18	[]	imported	
STG0050b/ID00003/000014	stage	STG0050b	ID00003	14	01_스테이지 xlsx 모음/STG0050b(32화)-ID00003-script-통합.xlsx	1d0c01f0a5665e347a91d1f507d3364cedcbe5ad6fa808a6ddf97bb050dab4c7	97b404e05a4238618c804d5e7e37d09113c7acefe2bb44084a4b6314e3e22aaa	여기는...어디죠...!?		여기는…어디죠…!?	食奄澗…嬢巨倉…！？		20	[]	imported	
STG0050b/ID00003/000015	stage	STG0050b	ID00003	15	01_스테이지 xlsx 모음/STG0050b(32화)-ID00003-script-통합.xlsx	1d0c01f0a5665e347a91d1f507d3364cedcbe5ad6fa808a6ddf97bb050dab4c7	7a098615626f62dfa87b27d60e9eef35c75518e010ff83ccdc69a0232fe66ff4	도로시		도로시	亀稽獣		6	[]	imported	
