entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0700/ID00003@FILE-ID00001/000002	stage	STG0700	ID00003@FILE-ID00001	2	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
STG0700/ID00003@FILE-ID00001/000003	stage	STG0700	ID00003@FILE-ID00001	3	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	3b52498e20e93b6c4cb72e1beb261a961c32ba1b75cbb975a8404735bdfd80a7	나 스파로보는 모든 유닛을		나,슈퍼로봇대전은 모든 유닛을	蟹，輯遁稽鎖企穿精　乞窮　政間聖		32	[]	imported	
STG0700/ID00003@FILE-ID00001/000004	stage	STG0700	ID00003@FILE-ID00001	4	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	92a4113d2b94774a4bd454cfce1380691b1d84dda4143e621021ee2dc4d9dd6e	두루두루 키우는 편이지		골고루 키우는 파거든	茨壱欠　徹酔澗　督暗窮		22	[]	imported	
STG0700/ID00003@FILE-ID00001/000005	stage	STG0700	ID00003@FILE-ID00001	5	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
STG0700/ID00003@FILE-ID00001/000006	stage	STG0700	ID00003@FILE-ID00001	6	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	2ab578e057b761c6f099e2640678c9e8a5285078af2246f65fcabb8aeb4d77c0	하지만 이번에는 누구와 누구로 팀을 꾸릴까 생각중이라고		하지만,이번에는 누구와 누구를 팀으로 짜게 할지	馬走幻，戚腰拭澗　刊姥人　刊姥研　得生稽　促惟　拝走		52	[]	imported	
STG0700/ID00003@FILE-ID00001/000007	stage	STG0700	ID00003@FILE-ID00001	7	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	ad16cb7749b0ded29d77decee24160117ab82bffa84d4aa106ad9c850cc22faf	밤에도 잠을 못자---이!		생각하다 보니 밤에도 잠이 안 와!	持唖馬陥　左艦　鴻拭亀　節戚　照　人！		38	[]	imported	
STG0700/ID00003@FILE-ID00001/000008	stage	STG0700	ID00003@FILE-ID00001	8	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
STG0700/ID00003@FILE-ID00001/000009	stage	STG0700	ID00003@FILE-ID00001	9	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	8a3bd42c96f8fecf744b3897dac646a5c38057fa651a977a29d40bf30ee70b78	다음 번 『제3차 슈퍼로봇대전Z』,		다음『제3차 슈퍼로봇대전 Z』,	陥製『薦３託　輯遁稽鎖企穿　Ｚ』，		34	[]	imported	
STG0700/ID00003@FILE-ID00001/000010	stage	STG0700	ID00003@FILE-ID00001	10	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	dfcb8578585a870ace9dea4cc951cd4c3d19f52dda07201e879bf9956b933853	금지된 태그		『금지된 팀』	『榎走吉　得』		14	[]	imported	
STG0700/ID00003@FILE-ID00001/000011	stage	STG0700	ID00003@FILE-ID00001	11	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
STG0700/ID00003@FILE-ID00001/000012	stage	STG0700	ID00003@FILE-ID00001	12	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	62d495de0a89747531783661a12d3bfec0c520209762fc34dfad27e761e4181b	나, 정말로 어떻게 하면 좋을까...!?		나,정말 어떻게 해야 하지…!?	蟹，舛源　嬢胸惟　背醤　馬走…！？		34	[]	imported	
STG0700/ID00003@FILE-ID00001/000013	stage	STG0700	ID00003@FILE-ID00001	13	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	3ed138b3fe035348c6f93ce9c8f7ee4cfca2ba2f5abb4f26059a55e03eebb2e9	앤디		앤디	裳巨		4	[]	imported	
STG0700/ID00003@FILE-ID00001/000014	stage	STG0700	ID00003@FILE-ID00001	14	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	71e21ba6f9efc7a1e1fd2b94b89001da417f372e8023b35eecd7cad8f78345df	수고했어!		수고했어!	呪壱梅嬢！		10	[]	imported	
STG0700/ID00003@FILE-ID00001/000015	stage	STG0700	ID00003@FILE-ID00001	15	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	5a4bb6eb72a77db8b435596d62cc8f9e5c132d0250fab9fc569ddb4be43f011d	그럼, 나랑 최고의 휴식을 취하러 갈까!		그럼,나랑 최고의 휴식을 취하러 갈까!	益軍，蟹櫛　置壱税　妃縦聖　昼馬君　哀猿！		42	[]	imported	
STG0700/ID00003@FILE-ID00001/000016	stage	STG0700	ID00003@FILE-ID00001	16	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	f203a121cf92905c0182118c505953ea3088519c87749854f51a8374ab052ea3	ＭＩＸ		MIX	ＭＩＸ		6	[]	imported	
STG0700/ID00003@FILE-ID00001/000017	stage	STG0700	ID00003@FILE-ID00001	17	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	2c31c79366b8751127c9eab11e5fa8858b7005a8c6554b09f7ad3d45f9f4cf0d	설마 그게...		설마,그건…	竺原，益闇…		12	[]	imported	
STG0700/ID00003@FILE-ID00001/000018	stage	STG0700	ID00003@FILE-ID00001	18	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	3ed138b3fe035348c6f93ce9c8f7ee4cfca2ba2f5abb4f26059a55e03eebb2e9	앤디		앤디	裳巨		4	[]	imported	
STG0700/ID00003@FILE-ID00001/000019	stage	STG0700	ID00003@FILE-ID00001	19	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	528ad08eb2c2f91ec0298accea85c5a32a462836716a334e30a9d7d5bb80afbb	정해져 있지!		정해져 있지!	舛背閃　赤走！		14	[]	imported	
STG0700/ID00003@FILE-ID00001/000020	stage	STG0700	ID00003@FILE-ID00001	20	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	ac9085936fe46f5ccd8802a1d4ad87ada38ededc14f2fd9e426c80fa2abc670e	남자의 영혼이 향하는 곳...! 그것은 굴 파기...		남자의 영혼이 향하는 곳…!　그건 구멍 파기…	害切税　慎肇戚　狽馬澗　員…！　益闇　姥雇　督奄…		50	[]	imported	
STG0700/ID00003@FILE-ID00001/000021	stage	STG0700	ID00003@FILE-ID00001	21	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	f203a121cf92905c0182118c505953ea3088519c87749854f51a8374ab052ea3	ＭＩＸ		MIX	ＭＩＸ		6	[]	imported	
STG0700/ID00003@FILE-ID00001/000022	stage	STG0700	ID00003@FILE-ID00001	22	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	0a4c0b3960a5b5381331e3fe87bf1aa25e1f92e3425fa9edaff2010de1cbad89	공간보전!		공간 보수!	因娃　左呪！		12	[]	imported	
STG0700/ID00003@FILE-ID00001/000023	stage	STG0700	ID00003@FILE-ID00001	23	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	f203a121cf92905c0182118c505953ea3088519c87749854f51a8374ab052ea3	ＭＩＸ		MIX	ＭＩＸ		6	[]	imported	
STG0700/ID00003@FILE-ID00001/000024	stage	STG0700	ID00003@FILE-ID00001	24	01_스테이지 xlsx 모음/STG0700(종료메시지)-ID00001-script-통합.xlsx	45aaa169cfd29ddf46ed8be601a7451cfa9ac1111e1a9a2a3f3261b26343aaac	661eaf351a58191c0971c12bb36b183de9ba303d1b5532ccc0243624dec09a18	플레이어들 모두.		플레이어 여러분	巴傾戚嬢　食君歳		16	[]	imported	
