entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0008/ID00003/000004	stage	STG0008	ID00003	4	01_스테이지 xlsx 모음/STG0008(6화B)-ID00003-script-통합.xlsx	3b7036a8241279d14f01e10e322f0edbbb882dfc7159c767fe86fc5f1bb6aa71	379c769f64480b2e13ab2a6a57700774180a3b5632c7a6b9fe88f8dc0c516dc8	～네오・지온 당 본부～	　　　　　　　　～네오 지온 당 본부～	　　　　　　　　～네오 지온 당 본부～	　　　　　～革神　走紳　雁　沙採～		34	[]	imported	
STG0008/ID00003/000005	stage	STG0008	ID00003	5	01_스테이지 xlsx 모음/STG0008(6화B)-ID00003-script-통합.xlsx	3b7036a8241279d14f01e10e322f0edbbb882dfc7159c767fe86fc5f1bb6aa71	0c9eb5fed2411ef9759c1c61b5bdf10498b88a6674844626223ebd59da6deb3d	카이자스	카이자스	카이자스	朝戚煽什		8	[]	imported	
STG0008/ID00003/000006	stage	STG0008	ID00003	6	01_스테이지 xlsx 모음/STG0008(6화B)-ID00003-script-통합.xlsx	3b7036a8241279d14f01e10e322f0edbbb882dfc7159c767fe86fc5f1bb6aa71	546c3a6a3d00b20e9eeea5a5345f4a332dfc41872afde1787faf7909bf463ffd	… 지구에 내려온 부대는	…지구에 강하한 부대는	…지구에 강하한 부대는	…走姥拭　悪馬廃　採企澗		24	[]	imported	
STG0008/ID00003/000007	stage	STG0008	ID00003	7	01_스테이지 xlsx 모음/STG0008(6화B)-ID00003-script-통합.xlsx	3b7036a8241279d14f01e10e322f0edbbb882dfc7159c767fe86fc5f1bb6aa71	c43956622b268af3ab139203f316b5dabb35f52962bbac80625b29ec83ecfd79	안전하게 목적을 달성 한 것 같습니다.	무사히 목적을 달성한 것 같군요	무사히 목적을 달성한 것 같군요	巷紫備　鯉旋聖　含失廃　依　旭浦推		34	[]	imported	
STG0008/ID00003/000008	stage	STG0008	ID00003	8	01_스테이지 xlsx 모음/STG0008(6화B)-ID00003-script-통합.xlsx	3b7036a8241279d14f01e10e322f0edbbb882dfc7159c767fe86fc5f1bb6aa71	c799af3b0540386742f6513e1d711f308d869dd0d4ddd11ade1013144d7428f9	하만	하만	하만	馬幻		4	[]	imported	
STG0008/ID00003/000009	stage	STG0008	ID00003	9	01_스테이지 xlsx 모음/STG0008(6화B)-ID00003-script-통합.xlsx	3b7036a8241279d14f01e10e322f0edbbb882dfc7159c767fe86fc5f1bb6aa71	7086d82f9e300fc40030245e1c9295a3b6827a4a96aef620e283946e6cdd22e7	규네이 가스….	규네이 거스….	규네이 거스….	鋭革戚　亜什…		14	[]	imported	
STG0008/ID00003/000010	stage	STG0008	ID00003	10	01_스테이지 xlsx 모음/STG0008(6화B)-ID00003-script-통합.xlsx	3b7036a8241279d14f01e10e322f0edbbb882dfc7159c767fe86fc5f1bb6aa71	5a5ee885b940dacd40cb724d1d9e6286e2378fdf9c2ac443cd2d78d4f21ef82d	생각 밖에,사용할 수 있는 것 같다	생각보다 쓸 만한 것 같군	생각보다 쓸 만한 것 같군	持唖左陥　承幻廃　依　旭浦		26	[]	imported	
STG0008/ID00003/000011	stage	STG0008	ID00003	11	01_스테이지 xlsx 모음/STG0008(6화B)-ID00003-script-통합.xlsx	3b7036a8241279d14f01e10e322f0edbbb882dfc7159c767fe86fc5f1bb6aa71	0c9eb5fed2411ef9759c1c61b5bdf10498b88a6674844626223ebd59da6deb3d	카이자스	카이자스	카이자스	朝戚煽什		8	[]	imported	
STG0008/ID00003/000012	stage	STG0008	ID00003	12	01_스테이지 xlsx 모음/STG0008(6화B)-ID00003-script-통합.xlsx	3b7036a8241279d14f01e10e322f0edbbb882dfc7159c767fe86fc5f1bb6aa71	4ba400bebe67a98059aa4c7c21a9d768966b7db83b7593050638f219b4350c05	자,이제 지구 연방의 의사가	자,이걸로 지구연방의 의사가	자,이걸로 지구연방의 의사가	切，戚杏稽　走姥尻号税　税走亜		30	[]	imported	
STG0008/ID00003/000013	stage	STG0008	ID00003	13	01_스테이지 xlsx 모음/STG0008(6화B)-ID00003-script-통합.xlsx	3b7036a8241279d14f01e10e322f0edbbb882dfc7159c767fe86fc5f1bb6aa71	cbbd6fc66ba4c37fdf633e5a62ef271d28b04cc51276b33b3a5b665b1752f643	분명히 할까요?	확실해지겠지요…	확실해지겠지요…	溌叔背走畏倉…		14	[]	imported	
