entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0253-35화후C분기/ID00003/000002	stage	STG0253-35화후C분기	ID00003	2	01_스테이지 xlsx 모음/STG0253(35화후C분기)-ID00003-script-통합.xlsx	92499e2fa6ab30203363659523163496905b30048218ad6b572159396600eae2	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0253-35화후C분기/ID00003/000003	stage	STG0253-35화후C분기	ID00003	3	01_스테이지 xlsx 모음/STG0253(35화후C분기)-ID00003-script-통합.xlsx	92499e2fa6ab30203363659523163496905b30048218ad6b572159396600eae2	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0253-35화후C분기/ID00003/000006	stage	STG0253-35화후C분기	ID00003	6	01_스테이지 xlsx 모음/STG0253(35화후C분기)-ID00003-script-통합.xlsx	92499e2fa6ab30203363659523163496905b30048218ad6b572159396600eae2	f8f79cfefa9e11706140035c0318ca52eac153121c751dc58da2ded78d29a199	　　　　　　　　　　~D 트레이더~		　　　　　　　　　　～D트레이더～	　　　　　　　　　　～Ｄ闘傾戚希～		34	[]	imported	
STG0253-35화후C분기/ID00003/000007	stage	STG0253-35화후C분기	ID00003	7	01_스테이지 xlsx 모음/STG0253(35화후C분기)-ID00003-script-통합.xlsx	92499e2fa6ab30203363659523163496905b30048218ad6b572159396600eae2	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0253-35화후C분기/ID00003/000008	stage	STG0253-35화후C분기	ID00003	8	01_스테이지 xlsx 모음/STG0253(35화후C분기)-ID00003-script-통합.xlsx	92499e2fa6ab30203363659523163496905b30048218ad6b572159396600eae2	91741898475771b6a13c7d657bb7b67e7bb323d100f319295914d76bac8329b8	$n상은,		$n님은,	$ｎ還精，		10	"[""$n""]"	imported	
STG0253-35화후C분기/ID00003/000009	stage	STG0253-35화후C분기	ID00003	9	01_스테이지 xlsx 모음/STG0253(35화후C분기)-ID00003-script-통합.xlsx	92499e2fa6ab30203363659523163496905b30048218ad6b572159396600eae2	9d6f0868fdd8bd27d6f41af9265b2f5c97a8b1b3dacc49ad8f27665ae6b57807	미스릴 작전에 참여하시는 거죠?		미스릴의 작전에 참가하시는 거죠?	耕什険税　拙穿拭　凧亜馬獣澗　暗倉？		36	[]	imported	
STG0253-35화후C분기/ID00003/000010	stage	STG0253-35화후C분기	ID00003	10	01_스테이지 xlsx 모음/STG0253(35화후C분기)-ID00003-script-통합.xlsx	92499e2fa6ab30203363659523163496905b30048218ad6b572159396600eae2	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0253-35화후C분기/ID00003/000011	stage	STG0253-35화후C분기	ID00003	11	01_스테이지 xlsx 모음/STG0253(35화후C분기)-ID00003-script-통합.xlsx	92499e2fa6ab30203363659523163496905b30048218ad6b572159396600eae2	5eccc9a8ae61e1eb5a0e0a96b181a30f8f3f32e3420fa9685d7d8e39c76a5d46	그렇게 정해졌다		그렇게 결정됐다	益係惟　衣舛菊陥		16	[]	imported	
STG0253-35화후C분기/ID00003/000012	stage	STG0253-35화후C분기	ID00003	12	01_스테이지 xlsx 모음/STG0253(35화후C분기)-ID00003-script-통합.xlsx	92499e2fa6ab30203363659523163496905b30048218ad6b572159396600eae2	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0253-35화후C분기/ID00003/000013	stage	STG0253-35화후C분기	ID00003	13	01_스테이지 xlsx 모음/STG0253(35화후C분기)-ID00003-script-통합.xlsx	92499e2fa6ab30203363659523163496905b30048218ad6b572159396600eae2	5ab94b4a73576f5f3f3df1b4c00071f618f58e674b552e4a6ba57e54677f1b9b	어딜 가든 꼭 제미니스와 싸우게 될 거라고		어디를 가든,분명 제미니스와 싸우게 될 거라고	嬢巨研　亜窮，歳誤　薦耕艦什人　塾酔惟　吃　暗虞壱		50	[]	imported	
