entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0032/ID00003/000004	stage	STG0032	ID00003	4	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	00a37703fc6cf429d5b01b6bc0e11919373284653242886ae687a93d6446d61e	~미스릴 협찬기업 연구시설~		　　　　　　～미스릴 협찬기업 연구시설～	　　　　　　～耕什険　漠濁奄穣　尻姥獣竺～		42	[]	imported	
STG0032/ID00003/000005	stage	STG0032	ID00003	5	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	텟사		텟사	倒紫		4	[]	imported	
STG0032/ID00003/000006	stage	STG0032	ID00003	6	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	e0d6cb6eb1dd9f3061fdf369b4ec8511bdb232bfce03001e68c50872f56e52a8	나리타 공항에서 체포된 그 인물로부터 예의 반응이?		…나리타 공항에서 체포된 인물에게서 그 반응이？	…蟹軒展　因牌拭辞　端匂吉　昔弘拭惟辞　益　鋼誓戚？		52	[]	imported	
STG0032/ID00003/000007	stage	STG0032	ID00003	7	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	7d3ac086ebfa8b25fbb8391c80cdb02398f667e31bb43f1f778f2c12ae840da4	칼리닌		칼리닌	町軒観		6	[]	imported	
STG0032/ID00003/000008	stage	STG0032	ID00003	8	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	2910a18eec8fd2dd5cd180079f7daaa70fc264fbed0798ef916403245c1c3d55	네。		네	革		2	[]	imported	
STG0032/ID00003/000009	stage	STG0032	ID00003	9	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	f40b7a5d2a7b2ec8bac3cdf74a4756eaa279d543de09371bcb9553ba6f8f6ce4	공항직원에게 갑자기 달려들어, 목을 조르려고 하는 바람에,		공항 직원에게 갑자기 덤벼들어 목 졸라 죽이려고	因牌　送据拭惟　逢切奄　棋梱級嬢　鯉　噌虞　宋戚形壱		52	[]	imported	
STG0032/ID00003/000010	stage	STG0032	ID00003	10	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	d62ea7d4d9ff8d62977a8b6899649ad2c53f29084a3fa864c454e7d2d5262275	약물 검사를 했는데…		했기 때문에 약물 검사를 한 결과…	梅奄　凶庚拭　鉦弘　伊紫研　廃　衣引…		38	[]	imported	
STG0032/ID00003/000011	stage	STG0032	ID00003	11	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	7d3ac086ebfa8b25fbb8391c80cdb02398f667e31bb43f1f778f2c12ae840da4	칼리닌		칼리닌	町軒観		6	[]	imported	
STG0032/ID00003/000012	stage	STG0032	ID00003	12	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	28f4cf9755a41faaacbd9091a868311a22790b28b5d5c748cb9371b90efcd61c	혈중에서 T1971의 반응이 나왔습니다		혈액에서 T1971의 반응이 나왔습니다	迫衝拭辞　Ｔ１９７１税　鋼誓戚　蟹尽柔艦陥		42	[]	imported	
STG0032/ID00003/000013	stage	STG0032	ID00003	13	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	텟사		텟사	倒紫		4	[]	imported	
STG0032/ID00003/000014	stage	STG0032	ID00003	14	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	44f48f4ba6eff89c2afc83a886341ccb3a7b2eadac5542d21657d84e028a8809	그 남자... 구가야마 타쿠마는,		그 남자…쿠가야마 타쿠마는	益　害切…庭亜醤原　展庭原澗		28	[]	imported	
STG0032/ID00003/000015	stage	STG0032	ID00003	15	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	4cb3c8f3673306fdd4443ae9809d4aab16171ae16ef6dff1f90fa7cb6cb2fb2c	람다 드라이버를 제어하기 위한 조정을		람다 드라이버를 제어하기 위한 조정을	寓陥　球虞戚獄研　薦嬢馬奄　是廃　繕舛聖		40	[]	imported	
STG0032/ID00003/000016	stage	STG0032	ID00003	16	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	994262bdc82ca6ea1e4fbe33230461c52799dc25e57f5b40c5cb14d43ad5977f	받고 있을 가능성이 높군요		받고 있을 가능성이 높네요	閤壱　赤聖　亜管失戚　株革推		28	[]	imported	
STG0032/ID00003/000017	stage	STG0032	ID00003	17	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	7d3ac086ebfa8b25fbb8391c80cdb02398f667e31bb43f1f778f2c12ae840da4	칼리닌		칼리닌	町軒観		6	[]	imported	
STG0032/ID00003/000018	stage	STG0032	ID00003	18	01_스테이지 xlsx 모음/STG0032(20화)-ID00003-script-통합.xlsx	de6a008f42ab049907222473acdf57de27f5f678525d18a5e40357ccc737e6bd	bc64d44ab109aa3104fd1f9868daeb4f883c3a762d8bb5e840cfcacc1d45c28a	그 확인을 위해 대령님께도		그 확인을 위해 대좌님께도	益　溌昔聖　是背　企疎還臆亀		28	[]	imported	
